action,player,mfl_id,franchise,pos,current_status,current_contractInfo,proposed_status,proposed_contractInfo,proposed_AAV,confidence,check_codes,evidence,keith_ruling
PROPOSED,"Adams, Davante",11675,Pure Greatness,WR,Vet-FAA-FL,"CL 3| TCV 90K| AAV 20K| Y1-50, Y2-20, Y3-20| GTD: 67.5K",Vet-FAA-FL,"CL 3| TCV 90K| AAV 30K| Y1-50, Y2-20, Y3-20| GTD: 67.5K",30K,HIGH,AAV_TCVCL,non-ext canon AAV=round(TCV/CL); 2025 roster AAV=30K,
PROPOSED,"Bond, Isaiah",17076,L.A. Looks,WR,Vet-WW-BL,"CL 3| TCV 24K| AAV 5K| Y1-5, Y2-5, Y3-14| GTD: 18K",Vet-WW-BL,"CL 3| TCV 24K| AAV 8K| Y1-5, Y2-5, Y3-14| GTD: 18K",8K,HIGH,AAV_TCVCL,non-ext canon AAV=round(TCV/CL); 2025 roster AAV=8K,
PROPOSED,"Kmet, Cole",14867,CBP,TE,Vet-FAA-FL,"CL 3| TCV 27K| AAV 6K| Y1-20, Y2-1, Y3-6| GTD: 20.3K",Vet-FAA-FL,"CL 3| TCV 27K| AAV 9K| Y1-20, Y2-1, Y3-6| GTD: 20.3K",9K,HIGH,AAV_TCVCL,non-ext canon AAV=round(TCV/CL); 2025 roster AAV=9K,
PROPOSED,"Levis, Will",16149,The Long Haulers,QB,Vet-ERA,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 1K",Vet-ERA,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",1K,HIGH,GTD_OFF,canon GTD (CL-1)x$1K = 2K (league norm: 48/50 $3K/3yr deals show $2K),
PROPOSED,"Mayfield, Baker",13590,Pure Greatness,QB,Vet-FAA-FL,"CL 2| TCV 62K| AAV 26K| Y1-36, Y2-26| GTD: 46.5K| ,",Vet-FAA-FL,"CL 2| TCV 62K| AAV 31K| Y1-36, Y2-26| GTD: 46.5K",31K,HIGH,AAV_TCVCL,non-ext canon AAV=round(TCV/CL); 2025 roster AAV=31K,
PROPOSED,"Purdy, Brock",15698,Blake Bombers,QB,Vet-FAA-FL,"CL 3| TCV 84K| AAV 22K| Y1-40K, Y2-22K, Y3-22K| GTD: 63K",Vet-FAA-FL,"CL 3| TCV 84K| AAV 28K| Y1-40K, Y2-22K, Y3-22K| GTD: 63K",28K,HIGH,AAV_TCVCL,non-ext canon AAV=round(TCV/CL); 2025 roster AAV=28K,
PROPOSED,"Shakir, Khalil",15761,Cleon Ca$h,WR,Vet-ERA-BL,"CL 3| TCV 57K| AAV 25K| Y1-14K, Y2-25K, Y3-18K| GTD: 42.8K",Vet-ERA-BL,"CL 3| TCV 57K| AAV 19K| Y1-14K, Y2-25K, Y3-18K| GTD: 42.8K",19K,HIGH,AAV_TCVCL,non-ext canon AAV=round(TCV/CL); 2025 roster AAV=19K,
PROPOSED,"Spears, Tyjae",16165,The Long Haulers,RB,Vet-ERA,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 1K",Vet-ERA,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",1K,HIGH,GTD_OFF,canon GTD (CL-1)x$1K = 2K (league norm: 48/50 $3K/3yr deals show $2K),
DONE,"Achane, De'Von",16167,Sex Manther,RB,Vet-Ext2-BL,"CL 2| TCV 50K| AAV 25K| Y1-10K, Y2-40K| GTD: 37.5K| Restructured 2026",Vet-Ext2-BL,"CL 2| TCV 50K| AAV 25K| Y1-10K, Y2-40K| GTD: 37.5K| Restructured 2026",25K,HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
DONE,"Chase, Ja'Marr",15281,HammerTime 🔨 ⏰,WR,Vet-Ext2-BL,"CL 2| TCV 129K| AAV 54K| Y1-26K, Y2-103K| GTD: 96.8K| Ext: Creel, Hammer| restructure: 2026",Vet-Ext2-BL,"CL 2| TCV 129K| AAV 54K| Y1-26K, Y2-103K| GTD: 96.8K| Ext: Creel, Hammer| restructure: 2026",54K,HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
