Franchise,Player,Pos,Contract Type,Salary,TCV,AAV,Years,Details (MFL contract_info),Confidence,Confidence Reason,Forum-Confirmed
Blake Bombers,"Purdy, Brock",QB,FL,40000,84000,28000,3,"CL 3| TCV 84K| AAV 28K| Y1-40K, Y2-22K, Y3-22K|",HIGH,Full MFL contract_info (TCV + per-year),No
Blake Bombers,"Barkley, Saquon",RB,Tag,61000,61000,61000,1,CL 1| TCV 61K| AAV 61K| No Further Extensions,MEDIUM,"MFL TCV present, per-year not itemized",No
C-Town Chivalry,"London, Drake",WR,BL,14000,66000,33000,2,"CL 2| TCV 66K| AAV 33K| Y1-14, Y2-52| Ext: PG",HIGH,Full MFL contract_info (TCV + per-year),No
C-Town Chivalry,"Pollard, Tony",RB,BL,27000,54000,17000,2,"CL 2| TCV 54K| AAV 17K, 17K| Y1-27, Y2-27| Ext: C-Town",HIGH,Full MFL contract_info (TCV + per-year),No
C-Town Chivalry,"Mixon, Joe",RB,FL,9000,38000,19000,2,"CL 2| TCV 38K| AAV 19K| Y1-29K, Y2-9K",HIGH,Full MFL contract_info (TCV + per-year),No
C-Town Chivalry,"Smith-Njigba, Jaxon",WR,FL,14000,70000,10000,3,"CL 3| TCV 70K| AAV 10K, 30K| Y1-14K, Y2-1K, Y3-55K| Ext: C-Town",HIGH,Full MFL contract_info (TCV + per-year),No
C-Town Chivalry,"Tagovailoa, Tua",QB,FL,15000,116000,49000,3,CL 3| TCV 116K| AAV 49K| Y1-86 Y2-15 Y3-15| Ext: C-Town,HIGH,Full MFL contract_info (TCV + per-year),No
C-Town Chivalry,"Allen, Josh",QB,Tag,46000,46000,46000,1,No Further Extension Allowed,LOW,Sparse contract_info — details derived,No
C-Town Chivalry,"Jackson, Lamar",QB,Tag,46000,46000,46000,1,No Further Extension Allowed,LOW,Sparse contract_info — details derived,No
CBP,"Collins, Nico",WR,BL,16000,110000,22000,3,"CL 3| TCV 110K| AAV 22K, 42K |Y1-16K, Y2-47K, Y3-47K|  Ext: C-Town, CBP",HIGH,Full MFL contract_info (TCV + per-year),No
CBP,"Metcalf, DK",WR,BL,38000,66000,33000,2,"CL 2| TCV 66K| AAV 33K| Y1-28K, Y2-38K| Not eligible for tag or extension",HIGH,Full MFL contract_info (TCV + per-year),No
CBP,"Wilson, Garrett",WR,BL,24000,68000,34000,2,"CL 2| TCV 68K| AAV 34K| Y1-24, Y2-44| Ext: CBP",HIGH,Full MFL contract_info (TCV + per-year),No
CBP,"Kmet, Cole",TE,FL,1000,27000,9000,3,"CL 3| TCV 27K| AAV 9K| Y1-20, Y2-1, Y3-6",HIGH,Full MFL contract_info (TCV + per-year),No
Cleon Ca$h,"Shakir, Khalil",WR,BL,14000,57000,19000,3,"CL 3| TCV 57K| AAV 19K| Y1-14K, Y2-25K, Y3-18K",HIGH,Full MFL contract_info (TCV + per-year),No
Cleon Ca$h,"Stevenson, Rhamondre",RB,BL,32000,40000,25000,2,"CL 2| TCV 40K| AAV 25K| Y1-8K, Y2-32K| Ext: Mafia, Hammer",HIGH,Full MFL contract_info (TCV + per-year),No
