pid,name,pos,entry_season,entry_type,entry_overall,entry_bid,market_rank,rank_src,tier,end_season,length_seasons,censored,n_extensions,ext_terms,ext_seasons
0530,0530,,2010,WAIVER,,2,,,,2010,1,0,0,,
8302,8302,,2010,WAIVER,,1,,,,2011,2,0,0,,
8708,8708,,2010,WAIVER,,5,,,,2010,1,0,0,,
6955,6955,,2010,WAIVER,,1,,,,2010,1,0,0,,
8474,8474,,2010,WAIVER,,1,,,,2010,1,0,0,,
3869,3869,,2010,WAIVER,,6,,,,2010,1,0,0,,
0515,0515,,2010,WAIVER,,1,,,,2010,1,0,0,,
9604,9604,,2010,WAIVER,,1,,,,2010,1,0,0,,
7740,7740,,2010,WAIVER,,3,,,,2010,1,0,0,,
0511,0511,,2010,WAIVER,,1,,,,2010,1,0,0,,
9924,9924,,2010,WAIVER,,1,,,,2010,1,0,0,,
0532,0532,,2010,WAIVER,,1,,,,2010,1,0,0,,
7867,7867,,2010,WAIVER,,1,,,,2010,1,0,0,,
8911,8911,,2010,WAIVER,,10,,,,2012,3,0,0,,
8010,8010,,2010,WAIVER,,3,,,,2011,2,0,0,,
3298,3298,,2010,WAIVER,,1,,,,2010,1,0,0,,
9531,9531,,2010,WAIVER,,1,,,,2010,1,0,0,,
0509,0509,,2010,WAIVER,,1,,,,2010,1,0,0,,
7403,7403,,2010,WAIVER,,3,,,,2010,1,0,0,,
8072,8072,,2010,WAIVER,,2,,,,2010,1,0,0,,
8298,8298,,2010,WAIVER,,1,,,,2011,2,0,0,,
6522,6522,,2010,WAIVER,,1,,,,2010,1,0,0,,
7834,7834,,2010,WAIVER,,3,,,,2010,1,0,0,,
6559,6559,,2010,WAIVER,,1,,,,2010,1,0,0,,
0525,0525,,2010,WAIVER,,5,,,,2010,1,0,0,,
8490,8490,,2010,WAIVER,,10,,,,2010,1,0,0,,
9221,9221,,2010,WAIVER,,1,,,,2010,1,0,0,,
9137,9137,,2010,WAIVER,,2,,,,2010,1,0,0,,
0513,0513,,2010,WAIVER,,4,,,,2010,1,0,0,,
9639,9639,,2010,WAIVER,,1,,,,2010,1,0,0,,
8700,8700,,2010,WAIVER,,1,,,,2010,1,0,0,,
8498,8498,,2010,WAIVER,,3,,,,2010,1,0,0,,
10066,10066,,2010,WAIVER,,1,,,,2010,1,0,0,,
9794,9794,,2010,WAIVER,,1,,,,2010,1,0,0,,
