cohort_type,pos,entry_tier,n_spells,E_total_years_under_contract,S1,S2,S3,S4,S5
auction+rookie blended,QB,ALL,279,2.1,0.444,0.236,0.107,0.092,0.069
auction+rookie blended,QB,T1,47,1.73,0.426,0.255,0.023,0.023,0.0
auction+rookie blended,QB,T2,122,2.21,0.475,0.252,0.126,0.105,0.084
auction+rookie blended,QB,T3,39,3.15,0.59,0.36,0.24,0.192,0.192
auction+rookie blended,QB,T4,71,1.83,0.324,0.072,0.072,0.072,0.072
auction+rookie blended,RB,ALL,687,1.74,0.3,0.2,0.109,0.057,0.031
auction+rookie blended,RB,T1,38,1.39,0.211,0.12,0.06,0.0,0.0
auction+rookie blended,RB,T2,41,1.51,0.22,0.073,0.037,0.037,0.037
auction+rookie blended,RB,T3,272,1.71,0.261,0.188,0.117,0.049,0.033
auction+rookie blended,RB,T4,336,1.84,0.351,0.233,0.114,0.081,0.032
auction+rookie blended,TE,ALL,319,1.83,0.345,0.206,0.105,0.068,0.048
auction+rookie blended,TE,T1,27,1.62,0.37,0.165,0.041,0.041,0.0
auction+rookie blended,TE,T2,33,2.18,0.394,0.158,0.158,0.158,0.158
auction+rookie blended,TE,T3,97,1.95,0.371,0.282,0.163,0.054,0.054
auction+rookie blended,TE,T4,162,1.73,0.315,0.178,0.073,0.055,0.027
auction+rookie blended,WR,ALL,743,1.97,0.394,0.234,0.122,0.087,0.066
auction+rookie blended,WR,T1,61,1.63,0.361,0.164,0.082,0.02,0.0
auction+rookie blended,WR,T2,79,1.6,0.278,0.167,0.084,0.033,0.017
auction+rookie blended,WR,T3,309,1.96,0.337,0.204,0.122,0.103,0.088
auction+rookie blended,WR,T4,294,2.21,0.493,0.3,0.142,0.109,0.081
rookie-entry only,QB,T2,31,4.39,0.968,0.619,0.465,0.465,0.348
rookie-entry only,QB,T3,13,5.55,0.846,0.529,0.529,0.529,0.529
rookie-entry only,RB,T3,34,4.63,0.912,0.829,0.634,0.37,0.296
rookie-entry only,RB,T4,85,3.39,0.918,0.675,0.302,0.211,0.07
rookie-entry only,TE,T2,5,9.0,1.0,1.0,1.0,1.0,1.0
rookie-entry only,TE,T3,23,3.52,0.913,0.761,0.507,0.169,0.169
rookie-entry only,TE,T4,14,2.57,0.786,0.357,0.071,0.071,0.071
rookie-entry only,WR,T3,57,5.08,0.912,0.757,0.514,0.472,0.419
rookie-entry only,WR,T4,84,3.69,0.929,0.735,0.368,0.27,0.193
