pid,name,pos,owner,status,cy,cl,salary,tcv,canon_aav,extended,rem_cash,dyn_raw,ep,entry_type,tier,cohort,coh_n,elapsed,exp_ext_years,E_total_years,ext_ann_cost,cur_ultimate,reb_ultimate,delta,opt_band
16185,Jaxon Smith-Njigba,WR,C-Town Chivalry,Vet-Ext2-FL,2,3,1000,70000.0,1000.0,True,1|55,67,63,ROOKIE,T3,rookie WR T3,57,3,3.02,5.02,11000,138.4,214.8,76.4,24.7
16580,Drake Maye,QB,Pure Greatness,Rookie-Draft,1,3,8000,24000.0,8000,False,8,61,61,ROOKIE,T2,rookie QB top-tier(T1-3 pooled),44,2,2.78,3.78,18000,114.0,197.3,83.3,32.6
16211,Puka Nacua,WR,Blake Bombers,Vet-Ext2,2,2,22000,44000.0,22000.0,True,22|22,62,70,ROOKIE,T4,rookie WR T4,84,3,1.43,3.43,32000,148.8,175.1,26.3,37.8
16581,Jayden Daniels,QB,C-Town Chivalry,Rookie-Draft,1,3,12000,36000.0,12000,False,12,55,56,ROOKIE,T2,rookie QB top-tier(T1-3 pooled),44,2,2.78,3.78,22000,99.0,163.4,64.4,25.0
16579,Caleb Williams,QB,Sex Manther,Rookie-Draft,1,3,15000,45000.0,15000,False,15,57,57,ROOKIE,T2,rookie QB top-tier(T1-3 pooled),44,2,2.78,3.78,25000,99.0,158.8,59.8,23.1
17032,Jaxson Dart,QB,Cleon Ca$h,Rookie-Draft,2,3,9000,27000.0,9000,False,9|9,44,44,ROOKIE,T2,rookie QB top-tier(T1-3 pooled),44,1,2.78,4.78,19000,108.9,147.9,39.0,15.0
16582,Bo Nix,QB,L.A. Looks,Rookie-Draft,1,3,5000,15000.0,5000,False,5,41,41,ROOKIE,T3,rookie QB T3,13,2,4.0,5.0,15000,77.0,145.9,68.9,0.0
15281,Ja'Marr Chase,WR,HammerTime 🔨 ⏰,Vet-Ext2-BL,2,2,26000,129000.0,26000.0,True,26|103,71,72,ROOKIE,T3,rookie WR T3,57,5,4.0,6.0,36000,80.7,141.9,61.1,0.0
17042,Ashton Jeanty,RB,Pure Greatness,Rookie-Draft,2,3,15000,45000.0,15000,False,15|15,53,52,ROOKIE,T1,rookie RB top-tier(T1-3 pooled),34,1,1.81,3.81,25000,117.7,132.3,14.6,10.8
17044,Omarion Hampton,RB,Blake Bombers,Rookie-Draft,2,3,13000,39000.0,13000,False,13|13,44,49,ROOKIE,T2,rookie RB top-tier(T1-3 pooled),34,1,1.81,3.81,23000,107.1,121.6,14.5,11.0
17071,Tetairoa McMillan,WR,Real Deal Creel,Rookie-Draft,2,3,7000,21000.0,7000,False,7|7,41,37,ROOKIE,T2,rookie WR top-tier(T1-3 pooled),57,1,2.3,4.3,17000,95.7,115.9,20.2,13.4
16641,Brock Bowers,TE,C-Town Chivalry,Rookie-Draft,1,3,9000,27000.0,9000,False,9,50,45,ROOKIE,T2,rookie TE top-tier(T1-3 pooled),28,2,1.75,2.75,19000,86.0,115.8,29.8,31.9
16615,Malik Nabers,WR,Cleon Ca$h,Rookie-Draft,1,3,13000,39000.0,13000,False,13,50,45,ROOKIE,T2,rookie WR top-tier(T1-3 pooled),57,2,2.3,3.3,23000,82.0,110.0,28.0,18.5
17081,Emeka Egbuka,WR,CBP,Rookie-Draft,2,3,5000,15000.0,5000,False,5|5,37,33,ROOKIE,T3,rookie WR T3,57,1,2.3,4.3,15000,88.1,106.4,18.3,12.1
16162,Jahmyr Gibbs,RB,Pure Greatness,Vet-Ext2,2,3,31000,73000.0,31000.0,True,31|31,67,53,ROOKIE,T2,rookie RB top-tier(T1-3 pooled),34,3,2.4,4.4,41000,115.7,103.1,-12.6,0.0
17104,Colston Loveland,TE,Cleon Ca$h,Rookie-Draft,2,3,5000,15000.0,5000,False,5|5,36,32,ROOKIE,T2,rookie TE top-tier(T1-3 pooled),28,1,1.75,3.75,15000,85.6,100.6,15.0,15.8
17070,Luther Burden III,WR,HammerTime 🔨 ⏰,Rookie-Draft,2,3,5000,15000.0,5000,False,5|5,34,31,ROOKIE,T3,rookie WR T3,57,1,2.3,4.3,15000,81.4,97.2,15.7,10.3
16161,Bijan Robinson,RB,Cleon Ca$h,Vet-Ext2,2,2,35000,70000.0,35000.0,True,35|35,69,52,ROOKIE,T1,rookie RB top-tier(T1-3 pooled),34,3,2.4,4.4,45000,95.7,95.7,0.0,0.0
15754,Chris Olave,WR,Pure Greatness,Vet-Ext2-FL,1,2,11000,62000.0,11000.0,True,11,34,39,ROOKIE,T3,rookie WR T3,57,4,3.02,4.02,21000,42.0,90.7,48.7,8.2
17102,Tyler Warren,TE,The Long Haulers,Rookie-Draft,2,3,5000,15000.0,5000,False,5|5,32,29,ROOKIE,T1,rookie TE top-tier(T1-3 pooled),28,1,1.75,3.75,15000,76.0,87.8,11.8,12.2
16167,De'Von Achane,RB,Sex Manther,Vet-Ext2,2,3,25000,55000.0,25000.0,True,25|25,44,48,ROOKIE,T4,rookie RB T4,85,3,1.33,3.33,35000,95.2,83.1,-12.1,1.2
17103,Harold Fannin Jr.,TE,Sex Manther,Rookie-Draft,2,3,5000,15000.0,5000,False,5|5,31,28,ROOKIE,T3,rookie TE T3,23,1,1.11,3.11,15000,73.2,80.8,7.6,14.1
16627,Ladd McConkey,WR,HammerTime 🔨 ⏰,Rookie-Draft,1,3,5000,15000.0,5000,False,5,32,31,ROOKIE,T3,rookie WR T3,57,2,2.3,3.3,15000,58.0,78.8,20.8,13.8
17039,Tyler Shough,QB,CBP,Rookie-Draft,2,3,5000,15000.0,5000,False,5|5,25,25,ROOKIE,T2,rookie QB top-tier(T1-3 pooled),44,1,2.78,4.78,15000,62.1,75.9,13.8,5.2
17030,Cam Ward,QB,Blake Bombers,Rookie-Draft,2,3,10000,30000.0,10000,False,10|10,29,29,ROOKIE,T2,rookie QB top-tier(T1-3 pooled),44,1,2.78,4.78,20000,64.1,74.9,10.9,3.9
15698,Brock Purdy,QB,Blake Bombers,Vet-FAA-FL,2,3,22000,84000.0,28000,False,22|22,39,39,FAA,T3,QB T3,39,1,2.27,4.27,38000,58.5,69.9,11.4,0.0
15715,James Cook III,RB,C-Town Chivalry,Vet-Ext2,1,3,27000,61000.0,27000.0,True,27,41,52,ROOKIE,T4,rookie RB T4,85,4,1.33,2.33,37000,72.7,69.5,-3.2,7.0
15287,Amon-Ra St. Brown,WR,L.A. Looks,Tag,1,1,51000,51000.0,51000,False,51,57,63,ROOKIE,T4,rookie WR T4,84,5,1.33,2.33,61000,69.0,69.0,0.0,0.0
16618,Brian Thomas Jr.,WR,Pure Greatness,Rookie-Draft,1,3,5000,15000.0,5000,False,5,30,27,ROOKIE,T3,rookie WR T3,57,2,2.3,3.3,15000,52.0,66.6,14.6,9.5
14782,Jordan Love,QB,CBP,Vet-Ext2,1,3,21000,43000.0,21000.0,True,21,37,37,FAA,T3,QB T3,39,4,4.0,5.0,31000,59.7,61.1,1.5,0.0
15789,Christian Watson,WR,Real Deal Creel,Vet-WW,2,3,1000,3000.0,1000,False,1|1,18,21,ERA,T4,WR T4,294,1,1.24,3.24,11000,54.7,60.1,5.4,9.9
16181,Chase Brown,RB,L.A. Looks,Vet-Ext2,2,2,22000,44000.0,22000.0,True,22|22,30,40,ROOKIE,T4,rookie RB T4,85,3,1.33,3.33,32000,59.9,59.9,0.0,0.0
16194,Rashee Rice,WR,Sex Manther,Vet-Ext2,2,3,25000,55000.0,18333,False,25|25,28,40,ROOKIE,T4,rookie WR T4,84,3,1.43,3.43,28333,66.6,58.5,-8.1,4.4
17045,Cam Skattebo,RB,Gride,Rookie-Draft,2,3,5000,15000.0,5000,False,5|5,24,22,ROOKIE,T3,rookie RB T3,34,1,1.81,3.81,15000,53.9,55.2,1.3,0.4
15751,Drake London,WR,C-Town Chivalry,Vet-Ext2-BL,1,2,52000,66000.0,52000.0,True,52,46,57,ROOKIE,T3,rookie WR T3,57,4,3.02,4.02,62000,70.0,51.0,-19.0,0.0
15711,Kenneth Walker III,RB,HammerTime 🔨 ⏰,Vet-Ext1-BL,2,2,15000,74000.0,15000.0,True,15|59,35,43,ROOKIE,T3,rookie RB T3,34,4,2.67,4.67,25000,41.8,50.9,9.1,3.5
16190,Zay Flowers,WR,Pure Greatness,Vet-Ext2,2,3,25000,55000.0,25000.0,True,25|18,28,35,ROOKIE,T3,rookie WR T3,57,3,3.02,5.02,35000,57.5,50.8,-6.7,0.0
15794,Trey McBride,TE,HammerTime 🔨 ⏰,Vet-Ext2-BL,1,2,35000,44000.0,35000.0,True,35,45,40,ROOKIE,T2,rookie TE top-tier(T1-3 pooled),28,4,2.69,3.69,45000,63.0,50.0,-13.0,0.0
16616,Rome Odunze,WR,Sex Manther,Rookie-Draft,1,3,10000,30000.0,10000,False,10,29,26,ROOKIE,T3,rookie WR T3,57,2,2.3,3.3,20000,45.0,49.2,4.2,2.3
14779,Justin Herbert,QB,Cleon Ca$h,Vet-FAA-FL,2,3,51000,153000.0,51000,False,51|51,51,51,FAA,T3,QB T3,39,1,2.27,4.27,61000,49.2,49.2,0.0,0.0
15237,Trevor Lawrence,QB,The Long Haulers,Tag,1,1,37000,37000.0,37000,False,37,43,43,ROOKIE,T2,rookie QB top-tier(T1-3 pooled),44,5,2.78,3.78,47000,49.0,49.0,0.0,0.0
14832,CeeDee Lamb,WR,Cleon Ca$h,Vet-Ext2,1,3,64000,172000.0,64000.0,True,64,53,60,ROOKIE,T3,rookie WR T3,57,6,4.0,5.0,74000,55.7,49.0,-6.7,0.0
17099,Oronde Gadsden II,TE,Sex Manther,Rookie-FAA,2,3,4000,12000.0,4000,False,4|4,20,18,FAA,T3,TE T3,97,1,1.06,3.06,14000,45.6,46.7,1.0,1.2
16614,Marvin Harrison Jr.,WR,Real Deal Creel,Rookie-Draft,1,3,14000,42000.0,14000,False,14,30,27,ROOKIE,T1,rookie WR top-tier(T1-3 pooled),57,2,2.3,3.3,24000,43.0,43.7,0.7,0.3
14836,Justin Jefferson,WR,Pure Greatness,Vet-Ext2-BL,1,2,71000,96000.0,71000.0,True,71,56,58,ROOKIE,T3,rookie WR T3,57,6,4.0,5.0,81000,66.0,43.0,-23.0,0.0
17051,Quinshon Judkins,RB,Blake Bombers,Rookie-Draft,2,3,8000,24000.0,8000,False,8|8,29,16,ROOKIE,T3,rookie RB T3,34,1,1.81,3.81,18000,42.5,42.5,0.0,0.0
15290,Nico Collins,WR,CBP,Vet-Ext2,2,3,47000,110000.0,47000.0,True,47|47,36,52,ROOKIE,T4,rookie WR T4,84,5,4.0,6.0,57000,61.9,42.2,-19.6,0.0
15253,Travis Etienne Jr.,RB,Real Deal Creel,Tag,1,1,19000,19000.0,19000,False,19,27,33,FAA,T4,RB T4,336,1,1.31,2.31,29000,41.0,41.0,0.0,0.0
17043,TreVeyon Henderson,RB,Real Deal Creel,Rookie-Draft,2,3,12000,36000.0,12000,False,12|12,28,19,ROOKIE,T2,rookie RB top-tier(T1-3 pooled),34,1,1.81,3.81,22000,39.2,39.2,0.0,0.0
16150,C.J. Stroud,QB,HammerTime 🔨 ⏰,Vet-Ext1,1,1,22000,22000.0,22000.0,True,22,30,30,ROOKIE,T2,rookie QB top-tier(T1-3 pooled),44,3,2.98,3.98,32000,38.0,38.0,0.0,0.0
14835,Tee Higgins,WR,C-Town Chivalry,Vet-Ext1,1,2,24000,48000.0,24000.0,True,24,27,35,ROOKIE,T3,rookie WR T3,57,6,4.0,5.0,34000,38.0,38.0,0.0,0.0
15768,Alec Pierce,WR,L.A. Looks,Vet-FAA,1,2,2000,4000.0,2000,False,2,19,17,ERA,T4,WR T4,294,1,1.28,2.28,12000,34.0,37.1,3.1,4.2
16222,Tucker Kraft,TE,Cleon Ca$h,Vet-Ext1,1,1,12000,12000.0,12000.0,True,12,26,23,ROOKIE,T3,rookie TE T3,23,3,0.67,1.67,22000,37.0,37.0,0.0,0.0
16598,Bucky Irving,RB,Pure Greatness,Rookie-Draft,1,3,2000,6000.0,2000,False,2,24,14,ROOKIE,T4,rookie RB T4,85,2,0.97,1.97,12000,36.0,36.1,0.1,0.2
14109,Terry McLaurin,WR,Blake Bombers,Vet-FAA,2,3,19000,57000.0,19000,False,19|19,17,30,FAA,T3,WR T3,309,1,1.88,3.88,29000,36.0,36.0,0.0,0.0
15710,Kyren Williams,RB,Hawks,Vet-Ext2,1,2,22000,44000.0,22000.0,True,22,25,33,ROOKIE,T4,rookie RB T4,85,4,1.33,2.33,32000,36.0,36.0,0.0,0.0
15762,George Pickens,WR,C-Town Chivalry,Tag,1,1,51000,51000.0,51000,False,51,38,48,ROOKIE,T4,rookie WR T4,84,4,1.43,2.43,61000,35.0,35.0,0.0,0.0
16583,Michael Penix Jr.,QB,HammerTime 🔨 ⏰,Rookie-Draft,1,3,5000,15000.0,5000,False,5,18,18,ROOKIE,T2,rookie QB top-tier(T1-3 pooled),44,2,2.78,3.78,15000,31.0,34.3,3.3,0.9
16206,Michael Wilson,WR,Hawks,Vet-MYM,2,3,5000,15000.0,5000,False,5|5,16,14,WAIVER,T4,WR T4,294,1,1.24,3.24,15000,32.2,32.2,0.0,0.0
14783,Jalen Hurts,QB,The Long Haulers,Vet-Ext2-BL,1,2,67000,84000.0,67000.0,True,67,48,51,ROOKIE,T3,rookie QB T3,13,6,4.0,5.0,77000,57.0,32.0,-25.0,0.0
15708,Breece Hall,RB,C-Town Chivalry,Vet-Ext2,1,2,35000,70000.0,35000.0,True,35,34,33,ROOKIE,T3,rookie RB T3,34,4,2.4,3.4,45000,32.0,32.0,0.0,0.0
14104,A.J. Brown,WR,The Long Haulers,Vet-Ext1,1,2,56000,129000.0,56000.0,True,56,31,56,ROOKIE,T3,rookie WR T3,57,7,4.0,5.0,66000,22.5,31.0,8.5,0.0
13113,Deshaun Watson,QB,Real Deal Creel,Vet-FAA,2,3,1000,3000.0,1000,False,1|1,9,12,FAA,T4,QB T4,71,1,4.0,6.0,11000,29.5,29.5,0.0,0.0
16269,Brenton Strange,TE,Blake Bombers,Vet-FAA,2,3,2000,6000.0,2000,False,2|2,12,11,FAA,T4,TE T4,162,1,1.03,3.03,12000,28.5,28.5,0.0,0.0
13592,Sam Darnold,QB,Gride,Vet-FAA,1,2,18000,36000.0,18000,False,18,23,23,FAA,T4,QB T4,71,1,0.89,1.89,28000,28.0,28.0,0.0,0.0
13590,Baker Mayfield,QB,Pure Greatness,Vet-FAA-FL,1,2,26000,62000.0,31000,False,26,27,27,FAA,T2,QB T2,122,1,1.19,2.19,41000,23.0,28.0,5.0,0.0
16622,Ricky Pearsall,WR,CBP,Rookie-Draft,1,3,5000,15000.0,5000,False,5,15,14,ROOKIE,T3,rookie WR T3,57,2,2.3,3.3,15000,24.0,24.0,0.0,0.0
15753,Garrett Wilson,WR,CBP,Vet-Ext2-BL,1,2,44000,68000.0,44000.0,True,44,36,32,ROOKIE,T4,rookie WR T4,84,4,1.43,2.43,54000,34.0,24.0,-10.0,0.0
16620,Xavier Worthy,WR,Hawks,Rookie-Draft,1,3,5000,15000.0,5000,False,5,15,14,ROOKIE,T3,rookie WR T3,57,2,2.3,3.3,15000,24.0,24.0,0.0,0.0
16214,Sam LaPorta,TE,C-Town Chivalry,Vet-Ext2-BL,2,2,10000,50000.0,10000.0,True,10|40,26,23,ROOKIE,T4,rookie TE T4,14,3,4.0,6.0,20000,21.0,22.7,1.8,0.0
