season,player_id,player,pos,gp_started,gp_all,apw_started,apw_bestball,par_started,par_bestball,apwe_started,apwe_bestball
2020,11675,"Adams, Davante",WR,10,10,8.043,8.043,191.0,193.6,16.81,17.04
2020,13128,"Cook, Dalvin",RB,11,11,8.846,8.846,191.0,193.5,16.81,17.03
2020,13132,"Kamara, Alvin",RB,12,12,9.645,9.645,181.1,182.1,15.94,16.03
2020,12801,"Hill, Tyreek",WR,12,12,8.638,8.638,180.2,184.3,15.86,16.22
2020,11244,"Kelce, Travis",TE,12,12,10.2,10.2,168.1,169.7,14.8,14.94
2020,13116,"Mahomes, Patrick",QB,12,12,7.727,7.727,166.3,172.5,14.63,15.18
2020,11317,"Poyer, Jordan",CB+S,12,12,9.158,9.158,148.0,148.0,13.02,13.02
2020,13403,"Koo, Younghoe",PK,11,11,8.591,8.591,144.3,144.3,12.7,12.7
2020,13251,"Baker, Budda",CB+S,11,11,7.635,7.635,144.2,144.2,12.69,12.69
2020,12626,"Henry, Derrick",RB,12,12,8.177,8.177,139.1,142.7,12.24,12.56
2020,13737,"Bates, Jessie",CB+S,12,12,8.15,8.15,137.9,137.9,12.14,12.14
2020,14102,"Metcalf, DK",WR,12,12,7.826,7.826,137.8,145.3,12.13,12.79
2020,7836,"Rodgers, Aaron",QB,12,12,7.909,7.909,133.6,155.7,11.75,13.7
2020,14927,"Chinn, Jeremy",CB+S,11,11,6.952,6.952,133.5,133.5,11.75,11.75
2020,13214,"Watt, T.J.",LB,12,12,8.181,8.181,128.5,128.5,11.31,11.31
2020,14168,"White, Devin",LB,12,12,7.88,7.88,127.5,127.5,11.22,11.22
2020,11222,"Allen, Keenan",WR,12,12,7.672,7.672,127.2,128.3,11.2,11.29
2020,14056,"Murray, Kyler",QB,12,12,7.455,7.455,126.1,138.5,11.09,12.19
2020,13696,"Smith, Roquan",LB,12,12,7.692,7.692,125.5,125.5,11.04,11.04
2020,11232,"Hopkins, DeAndre",WR,12,12,7.672,7.672,125.2,128.2,11.02,11.28
2020,13589,"Allen, Josh",QB,12,12,7.364,7.364,124.8,133.2,10.98,11.72
2020,12767,"Simmons, Justin",CB+S,12,12,7.111,7.111,124.3,124.3,10.94,10.94
2020,14813,,RB,11,12,7.916,8.353,124.2,126.2,10.93,11.11
2020,12186,"Diggs, Stefon",WR,12,12,8.189,8.189,121.8,121.8,10.72,10.72
2020,12788,,LB,12,12,8.203,8.203,121.0,121.0,10.65,10.65
2020,10703,"Wilson, Russell",QB,12,12,6.364,6.364,119.7,137.6,10.53,12.1
2020,10272,,DT+DE,12,12,8.51,8.51,116.5,116.5,10.25,10.25
2020,10768,"David, Lavonte",LB,12,12,7.517,7.517,116.0,116.0,10.21,10.21
2020,10775,"Wagner, Bobby",LB,12,12,7.271,7.271,116.0,116.0,10.21,10.21
2020,10976,"Tucker, Justin",PK,12,12,7.091,7.091,114.2,114.2,10.05,10.05
2020,11938,"Thielen, Adam",WR,11,11,6.991,6.991,114.1,124.3,10.04,10.94
2020,12263,"Waller, Darren",TE,12,12,8.351,8.351,113.9,120.7,10.03,10.62
2020,13216,"Cunningham, Zach",LB,12,12,7.181,7.181,114.0,114.0,10.03,10.03
2020,12239,"Kendricks, Eric",LB,11,11,7.385,7.385,113.5,113.5,9.99,9.99
2020,13274,,CB+S,12,12,6.781,6.781,113.4,113.4,9.98,9.98
2020,13319,"Jones, Aaron",RB,10,10,6.997,6.997,113.2,113.2,9.96,9.96
2020,13230,"Adams, Jamal",CB+S,8,8,5.837,5.837,111.4,111.4,9.8,9.8
2020,12956,"Lutz, Wil",PK,12,12,6.455,6.455,111.2,111.2,9.79,9.79
2020,12736,,CB+S,11,11,6.268,6.268,110.8,110.8,9.75,9.75
2020,12768,,LB,11,12,6.071,6.347,109.5,114.5,9.64,10.08
