year,win_k,player,pos,nfl,total_bids,forced,overtakes,duration_hrs,nominator
2019,50,#10276,,,22,12,9,117.7,L.A. Looks
2019,33,Jarvis Landry,WR,FA,14,7,6,92.9,The Long Haulers
2019,26,#10722,,,7,2,4,68.78,The Long Haulers
2019,16,#10960,,,6,4,1,27.61,C-Town Chivalry
2019,11,Budda Baker,S,ARI,9,2,6,70.78,C-Town Chivalry
2019,7,C.J. Mosley,LB,FA,5,1,3,47.59,Cleon Ca$h
2019,6,Cameron Jordan,DT,NOS,5,2,2,47.35,CBP
2019,6,#9884,,,4,0,3,72.43,Sex Manther
2019,4,Sam Hubbard,DE,FA,4,1,2,38.4,Cleon Ca$h
2019,3,#11323,,,3,0,2,24.65,Cleon Ca$h
2019,3,Zach Cunningham,LB,DET,2,1,0,24.02,Cleon Ca$h
2019,3,Tyrann Mathieu,S,FA,3,1,1,35.62,Sex Manther
2019,3,#8359,,,3,2,0,24.07,Cleon Ca$h
2020,25,#10276,,,10,1,8,77.81,CBP
2020,3,Shaq Barrett,DE,FA,3,2,0,24.01,Cleon Ca$h
2020,2,#10274,,,2,1,0,24.03,Cleon Ca$h
2020,2,Jimmy Garoppolo,QB,LAR,2,1,0,24.09,Cleon Ca$h
2020,2,Justin Tucker,PK,FA,2,1,0,24.48,Cleon Ca$h
2021,39,Aaron Rodgers,QB,PIT,10,4,5,85.87,Sex Manther
2021,4,#13188,,,2,1,0,24.01,Cleon Ca$h
2021,4,#13304,,,3,2,0,24.28,Cleon Ca$h
2021,4,Deion Jones,LB,TBB,2,1,0,24.01,Cleon Ca$h
2021,4,Jerome Baker,LB,CLE,4,1,2,44.64,C-Town Chivalry
2021,3,Jeffery Simmons,DT,TEN,3,0,2,45.27,Cleon Ca$h
2021,3,Maxx Crosby,DE,LVR,3,0,2,55.48,Real Deal Creel
2022,17,Carson Wentz,QB,MIN,10,3,6,51.88,Hawks
2022,15,Roquan Smith,LB,BAL,12,5,6,79.27,HammerTime 🔨 ⏰
2022,12,Allen Lazard,WR,FA,7,6,0,24.0,Cleon Ca$h
2022,8,Hunter Henry,TE,NEP,5,2,2,68.15,Cleon Ca$h
2022,6,#13607,,,5,0,4,56.35,Cleon Ca$h
2022,6,Kendrick Bourne,WR,SFO,5,4,0,24.03,Cleon Ca$h
2022,5,Marquez Valdes-Scantling,WR,PIT,5,4,0,24.04,Cleon Ca$h
2022,2,Braxton Berrios,WR,HOU,2,1,0,24.01,Cleon Ca$h
2023,50,Aaron Rodgers,QB,PIT,9,6,2,42.3,Real Deal Creel
2023,37,Marquise Brown,WR,KCC,15,2,12,101.35,Blake Bombers
2023,15,Justyn Ross,WR,FA,9,4,4,52.41,Cleon Ca$h
2023,5,#11757,,,4,0,3,53.87,The Long Haulers
2023,2,Devin White,LB,LVR,2,1,0,24.79,Cleon Ca$h
2024,16,Stefon Diggs,WR,NEP,5,1,3,42.23,Pure Greatness
2024,7,Sam Darnold,QB,SEA,6,2,3,67.49,Gride
2024,5,Julian Love,S,SEA,5,0,4,35.27,Cleon Ca$h
2024,5,Gardner Minshew,QB,KCC,5,1,3,62.22,The Long Haulers
2024,4,Roquan Smith,LB,BAL,3,1,1,28.84,Pure Greatness
2024,3,Jalen Thompson,S,ARI,3,2,0,24.17,Cleon Ca$h
2024,3,Jerry Jeudy,WR,CLE,3,2,0,24.13,Cleon Ca$h
2025,51,Justin Herbert,QB,LAC,5,2,2,24.31,HammerTime 🔨 ⏰
2025,10,Maxx Crosby,DE,LVR,5,3,1,30.48,Blake Bombers
2025,4,Ernest Jones,LB,SEA,4,1,2,33.6,Cleon Ca$h
2025,4,Quincy Williams,LB,NYJ,4,1,2,40.7,Cleon Ca$h
2025,2,Hunter Henry,TE,NEP,2,1,0,24.21,Cleon Ca$h
