metric,decile,range_low,range_high,lot_count,pct_of_total,mean,cumulative_lot_pct
duration_hrs_raw,1,24.0,24.01,66,9.9,24.0,9.9
duration_hrs_raw,2,24.01,24.06,67,10.1,24.03,20.0
duration_hrs_raw,3,24.06,24.29,66,9.9,24.15,29.9
duration_hrs_raw,4,24.3,25.99,67,10.1,24.85,40.0
duration_hrs_raw,5,25.99,30.19,66,9.9,27.9,49.9
duration_hrs_raw,6,30.3,35.87,67,10.1,32.86,60.0
duration_hrs_raw,7,35.89,41.85,66,9.9,39.0,69.9
duration_hrs_raw,8,41.92,47.32,67,10.1,44.73,80.0
duration_hrs_raw,9,47.35,55.78,66,9.9,49.69,89.9
duration_hrs_raw,10,55.97,144.9,67,10.1,75.23,100.0
duration_hrs_capped48,1,24.0,24.01,66,9.9,24.0,9.9
duration_hrs_capped48,2,24.01,24.06,67,10.1,24.03,20.0
duration_hrs_capped48,3,24.06,24.29,66,9.9,24.15,29.9
duration_hrs_capped48,4,24.3,25.99,67,10.1,24.85,40.0
duration_hrs_capped48,5,25.99,30.19,66,9.9,27.9,49.9
duration_hrs_capped48,6,30.3,35.87,67,10.1,32.86,60.0
duration_hrs_capped48,7,35.89,41.85,66,9.9,39.0,69.9
duration_hrs_capped48,8,41.92,47.32,67,10.1,44.73,80.0
duration_hrs_capped48,9,47.35,48.0,66,9.9,47.89,89.9
duration_hrs_capped48,10,48.0,48.0,67,10.1,48.0,100.0
total_bids,1,2,2,66,9.9,2.0,9.9
total_bids,2,2,2,67,10.1,2.0,20.0
total_bids,3,2,2,66,9.9,2.0,29.9
total_bids,4,2,3,67,10.1,2.69,40.0
total_bids,5,3,3,66,9.9,3.0,49.9
total_bids,6,3,4,67,10.1,3.43,60.0
total_bids,7,4,4,66,9.9,4.0,69.9
total_bids,8,4,6,67,10.1,4.94,80.0
total_bids,9,6,8,66,9.9,6.92,89.9
total_bids,10,9,30,67,10.1,11.45,100.0
forced,1,0,0,66,9.9,0.0,9.9
forced,2,0,0,67,10.1,0.0,20.0
forced,3,0,1,66,9.9,0.41,29.9
forced,4,1,1,67,10.1,1.0,40.0
forced,5,1,1,66,9.9,1.0,49.9
forced,6,1,2,67,10.1,1.01,60.0
forced,7,2,2,66,9.9,2.0,69.9
forced,8,2,3,67,10.1,2.16,80.0
forced,9,3,4,66,9.9,3.41,89.9
forced,10,4,14,67,10.1,6.43,100.0
overtakes,1,0,0,66,9.9,0.0,9.9
overtakes,2,0,0,67,10.1,0.0,20.0
overtakes,3,0,0,66,9.9,0.0,29.9
overtakes,4,0,1,67,10.1,0.87,40.0
overtakes,5,1,1,66,9.9,1.0,49.9
overtakes,6,1,1,67,10.1,1.0,60.0
overtakes,7,1,2,66,9.9,1.55,69.9
overtakes,8,2,2,67,10.1,2.0,80.0
overtakes,9,2,4,66,9.9,2.86,89.9
overtakes,10,4,15,67,10.1,5.69,100.0
