# EP_MODEL,v5-regime,flag=v5,ship_gate=True
# ARMS,ep=max(floor, affine, dyn_anchor); v5 scales max(affine,dyn_anchor) by m_money*m_pos*m_elite (floor never scaled)
# REGIME,R_now=1.4057,R_bar=2.56783,lambda=0.47699,gamma=0.0,m_money=0.8,m_pos={'QB': 1.0, 'RB': 1.0, 'WR': 1.0, 'TE': 1.0}
# TUNABLES (NOT fitted),m_money_clamp=[0.8, 1.6],m_pos_clamp=[0.85, 1.35],POS_DYN_W={'QB': 1.0, 'WR': 0.9, 'TE': 0.9, 'RB': 0.55},dyn_anchor_$75K,startability_floor_table
# BACKTEST (LOYO 2022-25, credible clears),v4={'mae': 5.595, 'dw_mae': 9.984, 'bias': 0.214, 'n': 126},v5={'mae': 5.421, 'dw_mae': 9.453, 'bias': -0.071, 'n': 126}
# ARM_TRUTH (credible historical clears),{'floor': {'n': 47, 'binding_share': 0.373, 'paid_share': 0.2238, 'mae': 3.426, 'dw_mae': 4.869, 'bias': -0.489}, 'affine': {'n': 76, 'binding_share': 0.6032, 'paid_share': 0.7371, 'mae': 7.0, 'dw_mae': 11.824, 'bias': 0.605}, 'dyn_anchor': {'n': 3, 'binding_share': 0.0238, 'paid_share': 0.039, 'mae': 4.0, 'dw_mae': 4.556, 'bias': 1.333}}
# WARNING,The dynasty-anchor arm binds 73% of the CREDIBLE 2026 board but only 2.4% of credible historical clears (n=3). This is structural, not a sampling accident: franchises do not release high-dynasty players into the FA auction, so the arm that prices most of today's board is essentially UNVALIDATABLE from the archive. POS_DYN_W remains a Keith-tunable judgement call, and the advertised MSE-31/MAE-$3.5K describes the affine arm on ALL clears — a set dominated by $1-2K scrubs — not the number the tool serves on the players you actually bid on.
player,pos,status,owner,dyn_sf_rank,fp_rank,redraft_worth_k,dynasty_worth_k,worth_k,ep_arm_floor_k,ep_arm_affine_k,ep_arm_dyn_anchor_k,ep_arm,m_money,m_pos,m_elite,ep_v4_k,ep_v5_k,ep_k,gap_k,e_apwe_p50,e_apwe_p90,per_apwe,value_ratio,verdict,fit_0008,deal_type,top_competitors
Ja'Marr Chase,WR,rostered,HammerTime 🔨 ⏰,WR1,WR1,83,73,78,30,72.39,65.7,affine,0.8,1.0,1.0,72,58,58,-20,12.7,21.4,4.6,1.34,VALUE,SURPLUS,anchor,
Josh Allen,QB,FA,,QB1,QB1,75,76,76,32,65.67,76.0,dyn_anchor,0.8,1.0,1.0,76,61,76,0,11.6,23.18,6.6,1.0,FAIR,NEED-STUD,anchor,Hawks; Gride; CBP
Jaxon Smith-Njigba,WR,rostered,C-Town Chivalry,WR2,WR3,72,64,68,30,63.15,57.6,affine,0.8,1.0,1.0,63,51,51,-17,11.14,20.88,4.6,1.33,VALUE,SURPLUS,multi-year build,
Bijan Robinson,RB,rostered,Cleon Ca$h,RB1,RB2,59,72,66,40,52.23,39.6,affine,0.8,1.0,1.0,52,42,42,-24,9.07,19.34,4.6,1.57,SPLURGE,DEPTH,multi-year build,
Puka Nacua,WR,rostered,Real Deal Creel,WR5,WR2,80,53,66,30,69.87,47.7,affine,0.8,1.0,1.0,70,56,56,-10,12.34,20.94,4.5,1.18,FAIR,SURPLUS,multi-year build,
Lamar Jackson,QB,FA,,QB2,QB2,74,53,64,32,64.83,53.0,affine,0.8,1.0,1.0,65,52,64,0,11.41,22.76,5.6,1.0,FAIR,NEED-STUD,anchor,Hawks; Gride; CBP
Amon-Ra St. Brown,WR,rostered,Gride,WR6,WR4,72,53,62,30,63.15,47.7,affine,0.8,1.0,1.0,63,51,51,-11,11.14,20.82,4.6,1.22,VALUE,SURPLUS,anchor,
Joe Burrow,QB,FA,,QB4,QB3,67,51,59,32,58.95,51.0,affine,0.8,1.0,1.0,59,47,58,-1,10.27,21.98,5.6,1.02,FAIR,NEED-STUD,anchor,Hawks; Gride; CBP
Justin Jefferson,WR,rostered,Blake Bombers,WR3,WR6,66,52,59,30,58.11,46.8,affine,0.8,1.0,1.0,58,46,46,-13,10.15,20.24,4.5,1.28,VALUE,SURPLUS,anchor,
Jahmyr Gibbs,RB,rostered,Pure Greatness,RB2,RB1,60,55,58,40,53.07,30.25,affine,0.8,1.0,1.0,53,42,42,-16,9.16,19.38,4.6,1.38,VALUE,DEPTH,multi-year build,
Caleb Williams,QB,rostered,Sex Manther,QB5,QB6,63,53,58,32,55.59,53.0,affine,0.8,1.0,1.0,56,44,44,-14,9.7,20.43,4.5,1.32,VALUE,NEED-STUD,multi-year build,
CeeDee Lamb,WR,rostered,Cleon Ca$h,WR4,WR5,68,47,58,30,59.79,42.3,affine,0.8,1.0,1.0,60,48,48,-10,10.39,20.56,4.6,1.21,VALUE,SURPLUS,anchor,
Jayden Daniels,QB,rostered,C-Town Chivalry,QB8,QB4,63,53,58,32,55.59,53.0,affine,0.8,1.0,1.0,56,44,44,-14,9.7,21.21,4.5,1.32,VALUE,NEED-STUD,multi-year build,
Drake Maye,QB,rostered,Pure Greatness,QB9,QB5,63,53,58,32,55.59,53.0,affine,0.8,1.0,1.0,56,44,44,-14,9.7,20.77,4.5,1.32,VALUE,NEED-STUD,multi-year build,
Ashton Jeanty,RB,rostered,Pure Greatness,RB3,RB5,59,49,54,40,52.23,26.95,affine,0.8,1.0,1.0,52,42,42,-12,9.07,19.12,4.6,1.29,VALUE,DEPTH,multi-year build,
Drake London,WR,rostered,Blake Bombers,WR8,WR7,65,40,52,30,57.27,36.0,affine,0.8,1.0,1.0,57,46,46,-6,9.97,20.24,4.6,1.13,FAIR,SURPLUS,multi-year build,
Jalen Hurts,QB,rostered,The Long Haulers,QB6,QB7,58,40,49,32,51.39,40.0,affine,0.8,1.0,1.0,51,41,41,-8,8.93,20.14,4.6,1.2,VALUE,NEED-STUD,1-yr / situational,
Omarion Hampton,RB,rostered,Blake Bombers,RB6,RB8,55,41,48,20,48.87,22.55,affine,0.8,1.0,1.0,49,39,39,-9,8.43,18.24,4.6,1.23,VALUE,DEPTH,multi-year build,
Justin Herbert,QB,rostered,Cleon Ca$h,QB7,QB9,50,44,47,18,44.67,44.0,affine,0.8,1.0,1.0,45,36,36,-11,7.7,14.78,4.7,1.31,VALUE,NEED-STUD,anchor,
James Cook III,RB,rostered,C-Town Chivalry,RB5,RB6,59,34,46,40,52.23,18.7,affine,0.8,1.0,1.0,52,42,42,-4,9.07,18.9,4.6,1.1,FAIR,DEPTH,anchor,
De'Von Achane,RB,rostered,Sex Manther,RB7,RB9,54,37,46,20,48.03,20.35,affine,0.8,1.0,1.0,48,38,38,-8,8.28,17.22,4.6,1.21,VALUE,DEPTH,multi-year build,
Jonathan Taylor,RB,FA,,RB9,RB3,59,33,46,40,52.23,18.15,affine,0.8,1.0,1.0,52,42,52,6,9.07,19.34,5.7,0.88,FAIR,DEPTH,1-yr / situational,CBP; Gride; Hawks
A.J. Brown,WR,rostered,The Long Haulers,WR15,WR8,64,27,46,30,56.43,24.3,affine,0.8,1.0,1.0,56,45,45,-1,9.89,20.24,4.6,1.02,FAIR,SURPLUS,1-yr rental / flip,
Nico Collins,WR,rostered,CBP,WR13,WR9,59,30,44,30,52.23,27.0,affine,0.8,1.0,1.0,52,42,42,-2,9.03,19.78,4.7,1.05,FAIR,SURPLUS,1-yr / situational,
Christian McCaffrey,RB,FA,,RB10,RB4,59,27,43,40,52.23,14.85,affine,0.8,1.0,1.0,52,42,52,9,9.07,19.31,5.7,0.83,FAIR,DEPTH,1-yr / situational,CBP; Gride; Hawks
Malik Nabers,WR,rostered,Cleon Ca$h,WR7,WR14,40,45,42,16,36.27,40.5,dyn_anchor,0.8,1.0,1.0,40,32,32,-10,6.21,11.1,5.2,1.31,VALUE,SURPLUS,multi-year build,
George Pickens,WR,FA,,WR11,WR10,54,31,42,30,48.03,27.9,affine,0.8,1.0,1.0,48,38,47,5,8.3,18.0,5.7,0.89,FAIR,SURPLUS,multi-year build,L.A. Looks; Hawks; Sex Manther
Trevor Lawrence,QB,rostered,The Long Haulers,QB11,QB10,46,37,42,18,41.31,37.0,affine,0.8,1.0,1.0,41,33,33,-9,7.08,14.78,4.7,1.27,VALUE,NEED-STUD,1-yr / situational,
Saquon Barkley,RB,FA,,RB15,RB7,59,25,42,20,52.23,13.75,affine,0.8,1.0,1.0,52,42,52,10,9.07,18.7,5.7,0.81,FAIR,DEPTH,1-yr rental / flip,CBP; Gride; Hawks
Patrick Mahomes II,QB,FA,,QB3,QB11,40,39,40,18,36.27,39.0,dyn_anchor,0.8,1.0,1.0,39,31,38,-2,6.22,13.12,6.1,1.05,FAIR,NEED-STUD,anchor,Hawks; Gride; CBP
Jeremiyah Love,RB,rostered,Cleon Ca$h,RB4,RB13,36,45,40,20,32.91,24.75,affine,0.8,1.0,1.0,33,26,26,-14,5.58,12.4,4.7,1.54,SPLURGE,DEPTH,1-yr / situational,
Kenneth Walker III,RB,rostered,HammerTime 🔨 ⏰,RB11,RB10,48,30,39,20,42.99,16.5,affine,0.8,1.0,1.0,43,34,34,-5,7.31,15.99,4.7,1.15,FAIR,DEPTH,multi-year build,
Jaxson Dart,QB,rostered,Cleon Ca$h,QB10,QB12,40,38,39,18,36.27,38.0,dyn_anchor,0.8,1.0,1.0,38,30,30,-9,6.22,13.12,4.8,1.3,VALUE,NEED-STUD,multi-year build,
Dak Prescott,QB,FA,,QB15,QB8,50,28,39,32,44.67,28.0,affine,0.8,1.0,1.0,45,36,45,6,7.7,19.08,5.8,0.87,FAIR,NEED-STUD,1-yr / situational,Hawks; Gride; CBP
Brock Bowers,TE,rostered,C-Town Chivalry,TE1,TE1,28,49,38,20,26.19,44.1,dyn_anchor,0.8,1.0,1.0,44,35,35,-3,4.3,11.96,8.1,1.09,FAIR,DEPTH,multi-year build,
Chris Olave,WR,rostered,Pure Greatness,WR12,WR13,43,28,36,16,38.79,25.2,affine,0.8,1.0,1.0,39,31,31,-5,6.58,11.29,4.7,1.16,FAIR,SURPLUS,multi-year build,
Brock Purdy,QB,rostered,Blake Bombers,QB13,QB13,39,33,36,18,35.43,33.0,affine,0.8,1.0,1.0,35,28,28,-8,5.95,13.09,4.7,1.29,VALUE,NEED-STUD,1-yr / situational,
DeVonta Smith,WR,FA,,WR19,WR11,47,26,36,30,42.15,23.4,affine,0.8,1.0,1.0,42,34,42,6,7.17,16.61,5.9,0.86,FAIR,SURPLUS,1-yr / situational,L.A. Looks; Hawks; Sex Manther
Chase Brown,RB,rostered,L.A. Looks,RB12,RB11,44,26,35,20,39.63,14.3,affine,0.8,1.0,1.0,40,32,32,-3,6.81,15.28,4.7,1.09,FAIR,DEPTH,1-yr / situational,
Tetairoa McMillan,WR,rostered,C-Town Chivalry,WR9,WR18,34,34,34,16,31.23,30.6,affine,0.8,1.0,1.0,31,25,25,-9,5.29,10.68,4.7,1.36,VALUE,SURPLUS,multi-year build,
Bo Nix,QB,rostered,L.A. Looks,QB12,QB15,33,34,34,18,30.39,34.0,dyn_anchor,0.8,1.0,1.0,34,27,27,-7,5.05,12.32,5.3,1.26,VALUE,NEED-STUD,1-yr / situational,
Rashee Rice,WR,rostered,Sex Manther,WR24,WR12,45,24,34,30,40.47,21.6,affine,0.8,1.0,1.0,40,32,32,-2,6.86,14.39,4.7,1.06,FAIR,SURPLUS,1-yr / situational,
Breece Hall,RB,rostered,C-Town Chivalry,RB8,RB14,36,29,32,20,32.91,15.95,affine,0.8,1.0,1.0,33,26,26,-6,5.57,12.4,4.7,1.23,VALUE,DEPTH,multi-year build,
Garrett Wilson,WR,rostered,CBP,WR10,WR19,33,31,32,16,30.39,27.9,affine,0.8,1.0,1.0,30,24,24,-8,5.04,10.68,4.8,1.33,VALUE,SURPLUS,multi-year build,
Emeka Egbuka,WR,rostered,CBP,WR14,WR20,32,33,32,16,29.55,29.7,dyn_anchor,0.8,1.0,1.0,30,24,24,-8,4.94,10.68,4.9,1.33,VALUE,SURPLUS,multi-year build,
Trey McBride,TE,rostered,HammerTime 🔨 ⏰,TE2,TE2,20,45,32,20,19.47,40.5,dyn_anchor,0.8,1.0,1.0,40,32,32,0,3.05,11.09,10.5,1.0,FAIR,DEPTH,anchor,
Zay Flowers,WR,rostered,Pure Greatness,WR25,WR15,38,25,32,16,34.59,22.5,affine,0.8,1.0,1.0,35,28,28,-4,5.83,10.83,4.8,1.14,FAIR,SURPLUS,1-yr / situational,
Derrick Henry,RB,rostered,The Long Haulers,RB22,RB12,44,18,31,20,39.63,9.9,affine,0.8,1.0,1.0,40,32,32,1,6.78,12.56,4.7,0.97,FAIR,DEPTH,1-yr rental / flip,
Ladd McConkey,WR,rostered,HammerTime 🔨 ⏰,WR18,WR17,34,28,31,16,31.23,25.2,affine,0.8,1.0,1.0,31,25,25,-6,5.29,10.68,4.7,1.24,VALUE,SURPLUS,multi-year build,
Tee Higgins,WR,rostered,C-Town Chivalry,WR26,WR16,38,24,31,16,34.59,21.6,affine,0.8,1.0,1.0,35,28,28,-3,5.83,10.83,4.8,1.11,FAIR,SURPLUS,1-yr / situational,
Kyren Williams,RB,rostered,Hawks,RB17,RB16,36,24,30,20,32.91,13.2,affine,0.8,1.0,1.0,33,26,26,-4,5.57,12.04,4.7,1.15,FAIR,DEPTH,multi-year build,
Luther Burden III,WR,rostered,HammerTime 🔨 ⏰,WR22,WR21,32,26,29,16,29.55,23.4,affine,0.8,1.0,1.0,30,24,24,-5,4.94,10.68,4.9,1.21,VALUE,SURPLUS,1-yr / situational,
Travis Etienne Jr.,RB,rostered,Real Deal Creel,RB14,RB15,36,21,28,20,32.91,11.55,affine,0.8,1.0,1.0,33,26,26,-2,5.57,12.4,4.7,1.08,FAIR,DEPTH,1-yr / situational,
Jordan Love,QB,rostered,CBP,QB14,QB18,26,31,28,13,24.51,31.0,dyn_anchor,0.8,1.0,1.0,31,25,25,-3,3.96,12.12,6.3,1.12,FAIR,NEED-STUD,1-yr / situational,
Jared Goff,QB,FA,,QB19,QB16,31,24,28,18,28.71,24.0,affine,0.8,1.0,1.0,29,23,18,-10,4.84,12.32,3.7,1.56,SPLURGE,NEED-STUD,1-yr / situational,Hawks; Gride; CBP
Matthew Stafford,QB,FA,,QB25,QB14,37,18,28,18,33.75,18.0,affine,0.8,1.0,1.0,34,27,18,-10,5.68,12.32,3.2,1.56,SPLURGE,NEED-STUD,1-yr rental / flip,Hawks; Gride; CBP
Colston Loveland,TE,rostered,Cleon Ca$h,TE3,TE3,20,34,27,20,19.47,30.6,dyn_anchor,0.8,1.0,1.0,31,24,24,-3,3.05,9.63,7.9,1.12,FAIR,DEPTH,multi-year build,
