season,mfl_id,name,pos,fp_pos_rank,fp_id
2022,13589,Josh Allen,QB,1,17298
2022,13116,Patrick Mahomes II,QB,2,16413
2022,14779,Justin Herbert,QB,3,18635
2022,13593,Lamar Jackson,QB,4,17233
2022,14056,Kyler Murray,QB,5,18600
2022,14783,Jalen Hurts,QB,6,19275
2022,14777,Joe Burrow,QB,7,19196
2022,5848,Tom Brady,QB,8,9603
2022,7836,Aaron Rodgers,QB,9,9001
2022,10703,Russell Wilson,QB,10,11180
2022,12620,Dak Prescott,QB,11,15600
2022,9431,Matthew Stafford,QB,12,9451
2022,15240,Trey Lance,QB,13,20082
2022,11644,Derek Carr,QB,14,12092
2022,10700,Kirk Cousins,QB,15,11177
2022,14778,Tua Tagovailoa,QB,16,19198
2022,15238,Justin Fields,QB,17,19781
2022,15237,Trevor Lawrence,QB,18,19780
2022,15241,Mac Jones,QB,19,20156
2022,10697,Ryan Tannehill,QB,20,11174
2022,12140,Jameis Winston,QB,21,13891
2022,9099,Matt Ryan,QB,22,9444
2022,13590,Baker Mayfield,QB,23,17237
2022,12610,Carson Wentz,QB,24,15520
2022,13113,Deshaun Watson,QB,25,16398
2022,15692,Kenny Pickett,QB,26,22722
2022,12611,Jared Goff,QB,27,15501
2022,14059,Daniel Jones,QB,28,18232
2022,13424,Taysom Hill,QB,29,17115
2022,15239,Zach Wilson,QB,30,22679
2022,15252,Davis Mills,QB,31,22799
2022,12141,Marcus Mariota,QB,32,13890
2022,13115,Mitchell Trubisky,QB,33,16381
2022,12616,Jacoby Brissett,QB,34,15642
2022,11150,Geno Smith,QB,35,11687
2022,11760,Jimmy Garoppolo,QB,36,12208
2022,15697,Desmond Ridder,QB,37,20080
2022,15694,Malik Willis,QB,38,23499
2022,14057,Drew Lock,QB,39,18225
2022,14802,Jonathan Taylor,RB,1,19217
2022,13130,Christian McCaffrey,RB,2,16393
2022,13404,Austin Ekeler,RB,3,16483
2022,12626,Derrick Henry,RB,4,15514
2022,15254,Najee Harris,RB,5,19302
2022,13128,Dalvin Cook,RB,6,16374
2022,13131,Joe Mixon,RB,7,16420
2022,14797,D'Andre Swift,RB,8,19210
2022,13132,Alvin Kamara,RB,9,16421
2022,13610,Nick Chubb,RB,10,17246
2022,13604,Saquon Barkley,RB,11,17240
2022,15256,Javonte Williams,RB,12,22739
2022,13319,Aaron Jones Sr.,RB,13,16673
2022,13129,Leonard Fournette,RB,14,16378
2022,12625,Ezekiel Elliott,RB,15,15498
2022,13146,James Conner,RB,16,16447
2022,14799,Cam Akers,RB,17,19268
2022,14071,David Montgomery,RB,18,18239
2022,15253,Travis Etienne Jr.,RB,19,19231
2022,15708,Breece Hall,RB,20,22982
2022,15263,Elijah Mitchell,RB,21,22813
2022,14073,Josh Jacobs,RB,22,18269
2022,14800,J.K. Dobbins,RB,23,19245
2022,14805,AJ Dillon,RB,24,19358
2022,14852,Antonio Gibson,RB,25,19624
2022,15717,Dameon Pierce,RB,26,22947
2022,14803,Clyde Edwards-Helaire,RB,27,19325
2022,13726,Chase Edmonds,RB,28,17496
2022,14075,Damien Harris,RB,29,18230
2022,13608,Rashaad Penny,RB,30,17308
2022,14079,Miles Sanders,RB,31,18283
2022,13138,Kareem Hunt,RB,32,16425
2022,11225,Cordarrelle Patterson,RB,33,11613
2022,14080,Devin Singletary,RB,34,18280
2022,14085,Tony Pollard,RB,35,18705
2022,15259,Rhamondre Stevenson,RB,36,22726
2022,15711,Kenneth Walker III,RB,37,23021
2022,15715,James Cook III,RB,38,22958
2022,12151,Melvin Gordon III,RB,39,13903
2022,14813,James Robinson,RB,40,19631
2022,14087,Darrell Henderson Jr.,RB,41,18588
2022,15258,Michael Carter,RB,42,22728
2022,13622,Nyheim Miller-Hines,RB,43,17297
2022,14223,Alexander Mattison,RB,44,18621
2022,15255,Kenny Gainwell,RB,45,23310
2022,12447,Raheem Mostert,RB,46,14338
2022,15712,Tyler Allgeier,RB,47,24172
2022,15716,Brian Robinson Jr.,RB,48,20094
2022,15721,Rachaad White,RB,49,23891
2022,15271,Khalil Herbert,RB,50,22763
2022,15709,Isaiah Spiller,RB,51,23143
2022,13139,Jamaal Williams,RB,52,16424
2022,15714,Zamir White,RB,53,20095
2022,13108,J.D. McKissic,RB,54,16230
2022,10276,Mark Ingram II,RB,55,9872
2022,13134,D'Onta Foreman,RB,56,16407
2022,14017,Jeff Wilson Jr.,RB,57,18026
2022,13623,Darrel Williams,RB,58,17514
2022,12164,Mike Davis,RB,59,13943
2022,15746,Tyrion Davis-Price,RB,60,22992
2022,15261,Chuba Hubbard,RB,61,19792
2022,12630,Kenyan Drake,RB,62,15637
2022,14801,Eno Benjamin,RB,63,19361
