year,player_id,nominator_fid,winner_fid,winning_bid_dollars,first_bid_at_utc,won_at_utc,duration_hrs_raw,duration_hrs_capped48,total_bids,forced_increases,overtakes,by_commish
2019,10266,0008,0009,2000,2019-08-23 04:45:22,2019-08-24 11:31:47,30.77,30.77,2,0,1,0
2019,10267,0001,0012,4000,2019-08-22 02:55:40,2019-08-24 02:52:10,47.94,47.94,4,2,1,0
2019,10276,0001,0011,50000,2019-08-18 12:24:20,2019-08-23 10:06:22,117.7,48.0,22,12,9,0
2019,10292,0002,0011,6000,2019-08-20 10:38:06,2019-08-22 09:59:23,47.35,47.35,5,2,2,0
2019,10308,0011,0012,4000,2019-08-20 09:38:44,2019-08-22 12:24:50,50.77,48.0,4,1,2,0
2019,10312,0003,0003,8000,2019-08-21 14:59:36,2019-08-23 22:57:53,55.97,48.0,5,1,3,0
2019,10389,0002,0008,7000,2019-08-21 13:17:20,2019-08-23 02:50:41,37.56,37.56,6,2,3,0
2019,10699,0003,0003,2000,2019-08-22 13:25:44,2019-08-23 13:27:01,24.02,24.02,2,1,0,0
2019,10700,0012,0002,6000,2019-08-21 02:11:06,2019-08-22 15:12:56,37.03,37.03,5,0,4,0
2019,10703,0008,0009,15000,2019-08-18 08:05:16,2019-08-20 01:42:46,41.62,41.62,7,2,4,0
2019,10708,0001,0001,11000,2019-08-18 12:24:55,2019-08-19 12:31:46,24.11,24.11,8,7,0,0
2019,10722,0006,0011,26000,2019-08-18 12:47:17,2019-08-21 09:34:16,68.78,48.0,7,2,4,0
2019,10723,0005,0006,6000,2019-08-20 12:17:17,2019-08-22 22:52:15,58.58,48.0,5,1,3,0
2019,10749,0008,0004,3000,2019-08-21 09:44:48,2019-08-22 10:32:36,24.8,24.8,3,1,1,0
2019,10768,0003,0007,7000,2019-08-20 04:02:36,2019-08-21 15:18:44,35.27,35.27,5,2,2,0
2019,10775,0010,0006,14000,2019-08-18 12:05:19,2019-08-20 03:36:43,39.52,39.52,8,3,4,0
2019,10783,0012,0008,2000,2019-08-23 03:37:01,2019-08-24 03:56:53,24.33,24.33,2,0,1,0
2019,10816,0004,0004,5000,2019-08-18 10:21:53,2019-08-21 09:48:48,71.45,48.0,5,1,3,0
2019,10823,0008,0003,3000,2019-08-23 04:44:59,2019-08-25 23:00:13,66.25,48.0,3,0,2,0
2019,10847,0004,0012,4000,2019-08-21 07:05:00,2019-08-24 03:12:05,68.12,48.0,4,0,3,0
2019,10868,0007,0006,4000,2019-08-20 01:18:32,2019-08-21 01:21:35,24.05,24.05,4,2,1,0
2019,10960,0009,0011,16000,2019-08-18 08:05:37,2019-08-19 11:42:24,27.61,27.61,6,4,1,0
2019,10973,0007,0007,3000,2019-08-23 01:38:48,2019-08-24 01:39:42,24.02,24.02,3,2,0,0
2019,10976,0009,0009,2000,2019-08-19 11:32:26,2019-08-20 11:32:30,24.0,24.0,2,1,0,0
2019,11250,0009,0012,4000,2019-08-24 11:42:53,2019-08-26 03:02:41,39.33,39.33,3,1,1,0
2019,11257,0007,0006,16000,2019-08-19 00:19:55,2019-08-21 21:45:18,69.42,48.0,8,2,5,0
2019,11293,0009,0007,3000,2019-08-26 10:24:41,2019-08-28 02:57:35,40.55,40.55,3,1,1,0
2019,11308,0008,0001,2000,2019-08-25 04:17:04,2019-08-27 00:13:06,43.93,43.93,2,0,1,0
2019,11313,0007,0011,3000,2019-08-21 02:20:04,2019-08-22 13:57:11,35.62,35.62,3,1,1,0
2019,11323,0011,0011,3000,2019-08-25 13:14:58,2019-08-26 13:53:44,24.65,24.65,3,0,2,0
2019,11330,0006,0006,3000,2019-08-21 21:03:01,2019-08-22 21:07:42,24.08,24.08,3,2,0,0
2019,11390,0008,0002,19000,2019-08-19 09:05:01,2019-08-20 10:03:13,24.97,24.97,8,6,1,0
2019,11516,0010,0010,6000,2019-08-23 10:11:48,2019-08-24 14:00:46,27.82,27.82,4,1,2,0
2019,11517,0010,0003,4000,2019-08-25 11:14:41,2019-08-27 10:33:55,47.32,47.32,4,0,3,0
2019,11644,0010,0002,2000,2019-08-21 10:05:15,2019-08-22 15:12:56,29.13,29.13,2,0,1,0
2019,11657,0010,0004,2000,2019-08-20 09:49:53,2019-08-21 11:11:51,25.37,25.37,2,0,1,0
2019,11670,0001,0009,15000,2019-08-19 04:11:47,2019-08-20 13:27:39,33.26,33.26,6,2,3,0
2019,11677,0002,0006,11000,2019-08-19 09:59:38,2019-08-21 04:07:55,42.14,42.14,4,1,2,0
2019,11680,0006,0011,33000,2019-08-18 12:51:20,2019-08-22 09:45:29,92.9,48.0,14,7,6,0
2019,11695,0010,0003,8000,2019-08-19 10:08:14,2019-08-21 02:38:35,40.51,40.51,5,2,2,0
2019,11706,0004,0004,7000,2019-08-19 07:19:46,2019-08-20 10:52:43,27.55,27.55,5,2,2,0
2019,11711,0001,0001,2000,2019-08-23 03:30:29,2019-08-24 03:33:05,24.04,24.04,2,1,0,0
