year,pid,player,pos,nfl,win_dollars,win_k,total_bids,forced,overtakes,duration_hrs,nominator,winner,self_nom
2019,11975,#11975,,,3000,3,3,1,1,48.54,Real Deal Creel,The Long Haulers,False
2019,12164,#12164,,,2000,2,2,1,0,24.01,The Long Haulers,The Long Haulers,True
2019,11293,#11293,,,3000,3,3,1,1,40.55,C-Town Chivalry,Sex Manther,False
2019,13868,Mike Boone,RB,FA,2000,2,2,0,1,24.58,Blake Bombers,The Long Haulers,False
2019,12295,#12295,,,2000,2,2,1,0,24.33,Blake Bombers,Blake Bombers,True
2019,12386,#12386,,,4000,4,4,2,1,42.77,Sex Manther,C-Town Chivalry,False
2019,11323,#11323,,,3000,3,3,0,2,24.65,Cleon Ca$h,Cleon Ca$h,True
2019,12616,Jacoby Brissett,QB,ARI,4000,4,3,1,1,38.17,C-Town Chivalry,Hawks,False
2019,11517,#11517,,,4000,4,4,0,3,47.32,Blake Bombers,Gride,False
2019,9861,Kareem Jackson,S,FA,2000,2,2,0,1,42.13,Pure Greatness,Hawks,False
2019,13412,#13412,,,3000,3,3,0,2,32.34,Pure Greatness,Pure Greatness,True
2019,12154,#12154,,,4000,4,3,1,1,34.04,Real Deal Creel,CBP,False
2019,11308,#11308,,,2000,2,2,0,1,43.93,Real Deal Creel,L.A. Looks,False
2019,14096,#14096,,,4000,4,4,2,1,33.17,L.A. Looks,C-Town Chivalry,False
2019,14098,#14098,,,4000,4,3,2,0,24.18,Sex Manther,Sex Manther,True
2019,12443,#12443,,,3000,3,2,0,1,30.43,Sex Manther,The Long Haulers,False
2019,13221,#13221,,,2000,2,2,0,1,26.81,Real Deal Creel,Gride,False
2019,14162,Christian Wilkins,DT,FA,2000,2,2,0,1,34.23,Cleon Ca$h,Gride,False
2019,11250,#11250,,,4000,4,3,1,1,39.33,C-Town Chivalry,Hawks,False
2019,13850,Gus Edwards,RB,FA,3000,3,3,1,1,29.03,Gride,Pure Greatness,False
2019,12205,#12205,,,6000,6,2,0,1,30.61,The Long Haulers,C-Town Chivalry,False
2019,13304,#13304,,,2000,2,2,1,0,24.04,Gride,Gride,True
2019,13136,#13136,,,2000,2,2,1,0,24.0,L.A. Looks,L.A. Looks,True
2019,7877,#7877,,,3000,3,3,2,0,24.04,L.A. Looks,L.A. Looks,True
2019,8687,#8687,,,3000,3,3,2,0,24.31,Sex Manther,Sex Manther,True
2019,9833,Jason Pierre-Paul,DE,TBB,4000,4,4,3,0,24.0,The Long Haulers,The Long Haulers,True
2019,8673,#8673,,,3000,3,3,0,2,38.23,CBP,Pure Greatness,False
2019,12912,#12912,,,5000,5,5,1,3,35.87,CBP,The Long Haulers,False
2019,13684,Sam Hubbard,DE,FA,4000,4,4,1,2,38.4,Cleon Ca$h,Cleon Ca$h,True
2019,13026,#13026,,,2000,2,2,0,1,25.67,Cleon Ca$h,Blake Bombers,False
2019,13231,Jabrill Peppers,S,PIT,2000,2,2,1,0,24.02,C-Town Chivalry,C-Town Chivalry,True
2019,11516,#11516,,,6000,6,4,1,2,27.82,Blake Bombers,Blake Bombers,True
2019,12274,#12274,,,4000,4,4,1,2,27.84,Blake Bombers,Blake Bombers,True
2019,12762,Nick Vigil,LB,FA,2000,2,2,0,1,26.22,Pure Greatness,Blake Bombers,False
2019,10266,Cameron Heyward,DT,PIT,2000,2,2,0,1,30.77,Real Deal Creel,C-Town Chivalry,False
2019,10823,#10823,,,3000,3,3,0,2,66.25,Real Deal Creel,Gride,False
2019,13201,Derek Barnett,DE,HOU,5000,5,4,2,1,45.44,Gride,Sex Manther,False
2019,10783,Harrison Smith,S,MIN,2000,2,2,0,1,24.33,Hawks,Real Deal Creel,False
2019,14267,Juwann Winfree,WR,FA,5000,5,4,2,1,48.04,L.A. Looks,Sex Manther,False
2019,11711,#11711,,,2000,2,2,1,0,24.04,L.A. Looks,L.A. Looks,True
2019,10973,#10973,,,3000,3,3,2,0,24.02,Sex Manther,Sex Manther,True
2019,13715,Ronnie Harrison,S,ATL,3000,3,3,2,0,24.04,Sex Manther,Sex Manther,True
2019,14159,Dexter Lawrence,DT,NYG,4000,4,4,1,2,42.65,HammerTime 🔨 ⏰,CBP,False
2019,11761,Jerick McKinnon,RB,FA,10000,10,5,2,2,32.46,Hawks,Hawks,True
2019,10699,#10699,,,2000,2,2,1,0,24.02,Gride,Gride,True
2019,7422,#7422,,,2000,2,2,1,0,24.0,CBP,CBP,True
2019,11850,#11850,,,7000,7,4,0,3,38.72,CBP,Hawks,False
2019,13216,Zach Cunningham,LB,DET,3000,3,2,1,0,24.02,Cleon Ca$h,Cleon Ca$h,True
2019,9427,#9427,,,4000,4,4,2,1,39.44,HammerTime 🔨 ⏰,L.A. Looks,False
2019,12233,Kwon Alexander,LB,FA,5000,5,4,2,1,39.85,The Long Haulers,Hawks,False
2019,12656,#12656,,,5000,5,4,3,0,24.02,The Long Haulers,The Long Haulers,True
2019,9829,#9829,,,3000,3,3,1,1,39.89,C-Town Chivalry,Hawks,False
2019,12222,#12222,,,3000,3,3,1,1,32.08,C-Town Chivalry,Hawks,False
2019,12088,#12088,,,6000,6,4,0,3,37.64,Blake Bombers,The Long Haulers,False
2019,13148,Dare Ogunbowale,RB,HOU,3000,3,2,1,0,24.02,Blake Bombers,Blake Bombers,True
2019,11772,#11772,,,3000,3,3,1,1,24.87,Real Deal Creel,C-Town Chivalry,False
2019,13229,Eddie Jackson,S,FA,3000,3,3,0,2,48.29,Pure Greatness,Pure Greatness,True
2019,10267,Von Miller,DE,WAS,4000,4,4,2,1,47.94,L.A. Looks,Hawks,False
2019,9902,#9902,,,4000,4,2,1,0,24.18,L.A. Looks,L.A. Looks,True
2019,12596,#12596,,,2000,2,2,1,0,24.2,Sex Manther,Sex Manther,True
2019,11330,#11330,,,3000,3,3,2,0,24.08,The Long Haulers,The Long Haulers,True
2019,12261,#12261,,,2000,2,2,1,0,24.0,Sex Manther,Sex Manther,True
2019,10312,#10312,,,8000,8,5,1,3,55.97,Gride,Gride,True
2019,10389,#10389,,,7000,7,6,2,3,37.56,CBP,Real Deal Creel,False
2019,12280,#12280,,,6000,6,6,5,0,24.02,CBP,CBP,True
2019,9075,#9075,,,7000,7,6,5,0,24.0,The Long Haulers,The Long Haulers,True
2019,8448,#8448,,,3000,3,3,0,2,31.25,HammerTime 🔨 ⏰,L.A. Looks,False
2019,12773,Chris Moore,WR,WAS,3000,3,3,0,2,36.55,HammerTime 🔨 ⏰,HammerTime 🔨 ⏰,True
2019,11644,Derek Carr,QB,FA,2000,2,2,0,1,29.13,Blake Bombers,CBP,False
2019,10749,#10749,,,3000,3,3,1,1,24.8,Real Deal Creel,Pure Greatness,False
2019,12176,#12176,,,4000,4,3,1,1,29.65,Real Deal Creel,CBP,False
2019,9925,#9925,,,5000,5,3,0,2,31.29,Pure Greatness,Pure Greatness,True
2019,10847,#10847,,,4000,4,4,0,3,68.12,Pure Greatness,Hawks,False
2019,13844,Logan Cooke,PN,JAC,2000,2,2,0,1,42.42,Hawks,HammerTime 🔨 ⏰,False
2019,12741,Chris Jones,DT,KCC,14000,14,11,4,6,94.73,Gride,The Long Haulers,False
2019,11313,Tyrann Mathieu,S,FA,3000,3,3,1,1,35.62,Sex Manther,Cleon Ca$h,False
2019,10700,Kirk Cousins,QB,ATL,6000,6,5,0,4,37.03,Hawks,CBP,False
2019,6997,#6997,,,3000,3,3,0,2,43.9,Hawks,Hawks,True
2019,7393,#7393,,,12000,12,7,2,4,61.76,Pure Greatness,L.A. Looks,False
2019,10723,#10723,,,6000,6,5,1,3,58.58,HammerTime 🔨 ⏰,The Long Haulers,False
2019,11740,#11740,,,5000,5,3,0,2,46.11,HammerTime 🔨 ⏰,HammerTime 🔨 ⏰,True
2019,14124,#14124,,,5000,5,4,1,2,26.98,C-Town Chivalry,HammerTime 🔨 ⏰,False
2019,13251,Budda Baker,S,ARI,11000,11,9,2,6,70.78,C-Town Chivalry,Cleon Ca$h,False
2019,10292,Cameron Jordan,DT,NOS,6000,6,5,2,2,47.35,CBP,Cleon Ca$h,False
2019,11657,#11657,,,2000,2,2,0,1,25.37,Blake Bombers,Pure Greatness,False
2019,14256,Jake Bailey,PN,MIA,3000,3,3,0,2,51.99,Real Deal Creel,The Long Haulers,False
2019,13871,#13871,,,4000,4,3,1,1,44.69,Blake Bombers,L.A. Looks,False
2019,11795,#11795,,,3000,3,3,0,2,35.91,Pure Greatness,Pure Greatness,True
2019,12287,Jordan Hicks,LB,FA,3000,3,3,0,2,28.93,Pure Greatness,Blake Bombers,False
2019,10308,#10308,,,4000,4,4,1,2,50.77,Cleon Ca$h,Hawks,False
2019,12956,Wil Lutz,PK,DEN,2000,2,2,1,0,24.05,CBP,CBP,True
2019,8359,#8359,,,3000,3,3,2,0,24.07,Cleon Ca$h,Cleon Ca$h,True
2019,14127,Jakobi Meyers,WR,JAC,7000,7,6,2,3,29.83,Real Deal Creel,The Long Haulers,False
2019,13354,Harrison Butker,PK,KCC,2000,2,2,1,0,24.01,Gride,Gride,True
2019,11769,Demarcus Lawrence,DE,SEA,6000,6,4,3,0,24.01,The Long Haulers,The Long Haulers,True
2019,10768,Lavonte David,LB,TBB,7000,7,5,2,2,35.27,Gride,Sex Manther,False
2019,12263,Darren Waller,TE,MIA,6000,6,5,4,0,24.1,The Long Haulers,The Long Haulers,True
2019,9099,#9099,,,10000,10,4,2,1,24.14,Hawks,CBP,False
2019,10868,Greg Zuerlein,PK,FA,4000,4,4,2,1,24.05,Sex Manther,The Long Haulers,False
2019,9884,#9884,,,6000,6,4,0,3,72.43,Sex Manther,Cleon Ca$h,False
2019,11728,C.J. Mosley,LB,FA,7000,7,5,1,3,47.59,Cleon Ca$h,Cleon Ca$h,True
2019,13274,John Johnson,S,FA,5000,5,4,1,2,39.2,Gride,Gride,True
2019,8416,#8416,,,9000,9,4,2,1,24.75,Gride,CBP,False
