year,pid,player,pos,posgroup,win_k,win_dollars,sf_ecr,overall_rank,rank_used,rank_src,par,dollars_per_par,skill_tier,idp_par_rank,idp_tier,tier,total_bids,forced,overtakes,duration_hrs,nominator,winner,self_nom
2019,11975,"Gabriel, Taylor",WR,SKILL,3.0,3000.0,,396.0,396.0,redraft_ovr,,,T7_150+,,,T7_150+,3,1,1,48.54,Real Deal Creel,The Long Haulers,False
2019,12164,"Davis, Mike",RB,SKILL,2.0,2000.0,,336.0,336.0,redraft_ovr,,,T7_150+,,,T7_150+,2,1,0,24.01,The Long Haulers,The Long Haulers,True
2019,11293,"Ogletree, Alec",LB,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,3,1,1,40.55,C-Town Chivalry,Sex Manther,False
2019,13868,Mike Boone,RB,SKILL,2.0,2000.0,,,,,,,unranked,,,unranked,2,0,1,24.58,Blake Bombers,The Long Haulers,False
2019,12295,"Geathers, Clayton",S,IDP,2.0,2000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,2,1,0,24.33,Blake Bombers,Blake Bombers,True
2019,12386,"Brown, Malcolm",RB,SKILL,4.0,4000.0,,332.0,332.0,redraft_ovr,,,T7_150+,,,T7_150+,4,2,1,42.77,Sex Manther,C-Town Chivalry,False
2019,11323,"Reid, Eric",S,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,3,0,2,24.65,Cleon Ca$h,Cleon Ca$h,True
2019,12616,Jacoby Brissett,QB,SKILL,4.0,4000.0,,284.0,284.0,redraft_ovr,,,T7_150+,,,T7_150+,3,1,1,38.17,C-Town Chivalry,Hawks,False
2019,11517,"McDougald, Bradley",S,IDP,4.0,4000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,4,0,3,47.32,Blake Bombers,Gride,False
2019,9861,Kareem Jackson,S,IDP,2.0,2000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,2,0,1,42.13,Pure Greatness,Hawks,False
