player_id,player,season,date,kind,event,franchise,type,cl,tcv,aav,years,confidence,source
16167,"Achane, De'Von",2023,2023-05-28,draft,Rookie Draft,C-Town Chivalry,,,,,,high,
16167,"Achane, De'Von",2023,2023-05-28,contract,Rookie Contract,C-Town Chivalry,Rookie-Draft,3,15000,5000,5000/5000/5000,high,
16167,"Achane, De'Von",2024,2024-11-15,trade,Traded,0003,Rookie,3,15000,5000,5000/5000/5000,low,
16167,"Achane, De'Von",2025,2025,extension,Extension,0003,Vet-Ext1,3,55000,5000,5000/25000/25000,high,"src_contracts:2025:extension_flag; ci=CL 3| TCV 55K| AAV 5K, 25K| Ext: Gride"
16167,"Achane, De'Von",2025,2025-11-09,trade,Traded,0007,Vet,3,55000,5000,5000/25000/25000,high,
11675,"Adams, Davante",2014,2014-06-15,draft,Rookie Draft,Blake Bombers,,,,,,high,
11675,"Adams, Davante",2018,2018,extension,Extension,0006,Vet-Ext1,3,115000,25000,25000/45000/45000,high,"src_contracts:2018:extension_flag,ci_ext_token; ci=Ext PG 17, 18 Hood 19 & 20 [25K, 45K, 45K]"
11675,"Adams, Davante",2019,2019-03-08,trade,Traded,0009,Vet,2,115000,25000,25000/45000/45000,high,
11675,"Adams, Davante",2020,2020-08-17,trade,Traded,0008,Vet,2,100000,50000,50000/50000,high,
11675,"Adams, Davante",2020,2020-09-07,extension,Extension,0008,Vet-Ext2,1,100000,55000,100000,high,contract_transaction_log:2020 Contract_Transaction_Log.xlsx
11675,"Adams, Davante",2021,2021-06-01,extension,Extension,0001,Vet-Ext3,1,110000,60000,110000,high,contract_transaction_log:2021_Contract_Transaction_Log.xlsx
11675,"Adams, Davante",2021,2021-07-16,trade,Traded,0001,Vet-FL,2,115000,65000,65000/50000,high,
11675,"Adams, Davante",2023,2023-05-15,auction,Auction Won,0001,Tag,1,72000,72000,72000,high,
11675,"Adams, Davante",2023,2023-05-16,trade,Traded,0006,Tag,1,72000,72000,72000,high,
11675,"Adams, Davante",2023,2023-10-27,trade,Traded,0001,Tag,1,72000,72000,72000,high,
11675,"Adams, Davante",2024,2024-07-29,auction,Auction Won,0004,FL,3,90000,50000,50000/20000/20000,high,
11675,"Adams, Davante",2024,2024-09-17,trade,Traded,0012,FL,3,90000,50000,50000/20000/20000,high,
11675,"Adams, Davante",2025,2025-11-12,trade,Traded,0004,FL,3,90000,20000,50000/20000/20000,high,
16186,"Addison, Jordan",2023,2023-05-28,draft,Rookie Draft,C-Town Chivalry,,,,,,high,
16186,"Addison, Jordan",2023,2023-05-28,contract,Rookie Contract,C-Town Chivalry,Rookie-Draft,3,21000,7000,7000/7000/7000,high,
16186,"Addison, Jordan",2024,2024-11-27,trade,Traded,0006,Rookie,3,21000,7000,7000/7000/7000,low,
16186,"Addison, Jordan",2025,2025-03-27,trade,Traded,0005,Vet-BL,2,24000,7000,7000/17000,high,
16186,"Addison, Jordan",2025,2025-03-27,extension,Extension,0005,Vet-Ext1,2,24000,7000,7000/17000,high,"src_contracts:2025:extension_flag; ci=CL 2| TCV 24K| AAV 7K, 17K| Ext: LH | discord:contract_activity:2025-03-27:briancross0914: ""Extend Jordan Addison I year by the Long Haulers"""
16746,"Ali, Rasheen",2024,2024-05-26,draft,Rookie Draft,The Long Haulers,,,,,,high,
16746,"Ali, Rasheen",2024,2024-05-26,contract,Rookie Contract,The Long Haulers,Rookie-Draft,3,6000,2000,2000/2000/2000,high,
16645,"All, Erick",2024,2024-05-26,draft,Rookie Draft,The Long Haulers,,,,,,high,
16645,"All, Erick",2024,2024-05-26,contract,Rookie Contract,The Long Haulers,Rookie-Draft,3,6000,2000,2000/2000/2000,high,
16645,"All, Erick",2025,2025-03-10,trade,Traded,0004,Rookie,3,6000,2000,2000/2000/2000,low,
16596,"Allen, Braelon",2024,2024-05-26,draft,Rookie Draft,Ulterior Warrior,,,,,,high,
16596,"Allen, Braelon",2024,2024-05-26,contract,Rookie Contract,Ulterior Warrior,Rookie-Draft,3,6000,2000,2000/2000/2000,high,
13589,"Allen, Josh",2018,2018-06-09,draft,Rookie Draft,Cleon Ca$h,,,,,,high,
13589,"Allen, Josh",2018,2018-06-09,contract,Rookie Contract,Cleon Ca$h,Vet,1,2000,2000,2000,high,
13589,"Allen, Josh",2019,2019-05-06,auction,Auction Won,0006,Vet-FAA,1,10000,10000,10000,low,
13589,"Allen, Josh",2019,2019-10-13,trade,Traded,0009,Vet,1,10000,10000,10000,low,
13589,"Allen, Josh",2020,2020-08-19,auction,Auction Won,0002,Vet-FAA,3,24000,8000,8000/8000/8000,low,
13589,"Allen, Josh",2021,2021-06-04,trade,Traded,0009,Vet,3,24000,8000,8000/8000/8000,low,
13589,"Allen, Josh",2021,2021-11-12,trade,Traded,0001,Vet,3,24000,8000,8000/8000/8000,low,
13589,"Allen, Josh",2022,2022,extension,Extension,0012,Vet-Ext1,3,48000,8000,8000/28000/28000,high,contract_transaction_log:Contract_Transaction_Log.xlsx
13589,"Allen, Josh",2022,2022-05-04,trade,Traded,0012,Vet,3,48000,8000,8000/28000/28000,high,
13589,"Allen, Josh",2024,2024-11-28,trade,Traded,0009,Vet,3,48000,28000,8000/28000/28000,high,
13589,"Allen, Josh",2025,2025,extension,Extension,0009,Vet-Ext2,1,46000,46000,46000,low,
17061,"Allen, LeQuint",2025,2025-05-25,draft,Rookie Draft,Hawks,,,,,,high,
17061,"Allen, LeQuint",2025,2025-05-25,contract,Rookie Contract,Hawks,Rookie-Draft,3,6000,2000,2000/2000/2000,high,
16223,"Anderson, Will",2023,2023-05-28,draft,Rookie Draft,Ulterior Warrior,,,,,,high,
16223,"Anderson, Will",2023,2023-05-28,contract,Rookie Contract,Ulterior Warrior,Rookie-Draft,3,6000,2000,2000/2000/2000,high,
16223,"Anderson, Will",2024,2024-05-26,trade,Traded,0006,Vet,3,3000,1000,1000/1000/1000,low,
16223,"Anderson, Will",2024,2024-09-19,add,Waiver Claim,0004,Vet-WW,3,3000,1000,1000/1000/1000,low,
16223,"Anderson, Will",2024,2024-10-31,trade,Traded,0010,Vet,3,3000,1000,1000/1000/1000,low,
17108,"Arroyo, Elijah",2025,2025-05-25,draft,Rookie Draft,Cleon Ca$h,,,,,,high,
17108,"Arroyo, Elijah",2025,2025-05-25,contract,Rookie Contract,Cleon Ca$h,Rookie-Draft,3,6000,2000,2000/2000/2000,high,
16414,"Aubrey, Brandon",2023,2023-09-21,add,Waiver Claim,0010,,,,,,high,
16414,"Aubrey, Brandon",2023,2023-10-21,add,Waiver Claim,0004,,,,,,high,
16414,"Aubrey, Brandon",2023,2023-10-26,add,Waiver Claim,0012,,,,,,high,
16414,"Aubrey, Brandon",2024,2024-05-16,auction,Auction Won,0008,Vet-FAA-WW,1,1000,1000,1000,high,
16414,"Aubrey, Brandon",2024,2024-12-05,add,Waiver Claim,0006,Vet-WW-WW,1,1000,1000,1000,high,
16414,"Aubrey, Brandon",2024,2024-12-15,add,Free Agent Add,0008,Vet-WW-WW,1,1000,1000,1000,high,
16414,"Aubrey, Brandon",2025,2025-08-05,auction,Auction Won,0001,Vet-FAA,2,4000,2000,2000/2000,low,
17073,"Ayomanor, Elic",2025,2025-05-25,draft,Rookie Draft,C-Town Chivalry,,,,,,high,
17073,"Ayomanor, Elic",2025,2025-05-25,contract,Rookie Contract,C-Town Chivalry,Rookie-Draft,3,6000,2000,2000/2000/2000,high,
16384,"Bagent, Tyson",2023,2023-09-24,add,Waiver Claim,0009,,,,,,high,
16384,"Bagent, Tyson",2023,2023-11-19,add,Waiver Claim,0004,,,,,,high,
16384,"Bagent, Tyson",2023,2023-12-03,drop,Dropped (waiver),0004,,,,,,high,
16384,"Bagent, Tyson",2024,2024-08-05,auction,Auction Won,0003,Vet-FAA-WW,1,4000,4000,4000,high,
