franchise,player,pos,before_status,after_status,before_salary,after_salary,before_contractYear,after_contractYear,before_contractInfo,after_contractInfo,status_changed,contractInfo_changed,salary_changed
Blake Bombers,"Allen, Kaytron",RB,R,Rookie-Draft,5000,5000,3,3,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",Y,,
Blake Bombers,"Anderson, Will",DE,Veteran,Vet-MYM,1000,1000,1,1,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,Y,,
Blake Bombers,"Barner, AJ",TE,Veteran,Vet-FAA,1000,1000,1,1,CL 2| TCV 2K| AAV 1K,CL 2| TCV 2K| AAV 1K,Y,,
Blake Bombers,"Boston, Denzel",WR,R,Rookie-Draft,6000,6000,3,3,"CL 3|TCV 18K|AAV 6K|Y1-6K, Y2-6K, Y3-6K|GTD: 13.5K|Keep Option as Y4Option =11K","CL 3|TCV 18K|AAV 6K|Y1-6K, Y2-6K, Y3-6K, Y4-11K Option|GTD: 13.5K",Y,Y,
Blake Bombers,"Brissett, Jacoby",QB,TAG,Tag,16000,16000,1,1,CL 1| TCV 16K| AAV 16K| GTD 12K| Tag| Tier 3| Formula: Avg Top 16-24 QB AAV,CL 1| TCV 16K| AAV 16K| GTD 12K| Tag| Tier 3| Formula: Avg Top 16-24 QB AAV,Y,,
Blake Bombers,"Bryant, Pat",WR,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Blake Bombers,"Corum, Blake",RB,(blank),Rookie-Draft,(blank),5000,(blank),1,(blank),CL 3| TCV 15K| AAV 5K,Y,Y,Y
Blake Bombers,"Dowdle, Rico",RB,Veteran,Vet-Ext1,11000,11000,1,1,CL 2| TCV 12K| AAV 11K| Ext: Blake,CL 2| TCV 12K| AAV 11K| Ext: Blake,Y,,
Blake Bombers,"Ferguson, Terrance",TE,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Blake Bombers,"Godwin, Chris",WR,Veteran,Vet-FAA,10000,10000,1,1,CL 2| TCV 20K| AAV 10K,CL 2| TCV 20K| AAV 10K,Y,,
Blake Bombers,"Golden, Matthew",WR,(blank),Rookie-Draft,(blank),5000,(blank),2,(blank),CL 3| TCV 15K| AAV 5K,Y,Y,Y
Blake Bombers,"Hampton, Omarion",RB,Rookie,Rookie-Draft,13000,13000,2,2,CL 3| TCV 39K| AAV 13K | Option Eligible,CL 3| TCV 39K| AAV 13K | Option Eligible,Y,,
Blake Bombers,"Heidenreich, Eli",RB,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Blake Bombers,"Hendrickson, Trey",DE,Veteran,Vet-FAA,3000,3000,1,1,CL 2| TCV 6K| AAV 3K,CL 2| TCV 6K| AAV 3K,Y,,
Blake Bombers,"Henley, Daiyan",LB,Veteran,Vet-FAA,2000,2000,1,1,CL 2| TCV 4K| AAV 2K,CL 2| TCV 4K| AAV 2K,Y,,
Blake Bombers,"Hunter, Jarquez",RB,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Blake Bombers,"Jefferson, Justin",LB,R,Rookie-Draft,1000,1000,3,3,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",Y,,
Blake Bombers,"Judkins, Quinshon",RB,Rookie,Rookie-Draft,8000,8000,2,2,CL 3| TCV 24K| AAV 8K | Option Eligible,CL 3| TCV 24K| AAV 8K | Option Eligible,Y,,
Blake Bombers,"McLaurin, Terry",WR,Veteran,Vet-FAA,19000,19000,2,2,CL 3| TCV 57K| AAV 19K,CL 3| TCV 57K| AAV 19K,Y,,
Blake Bombers,"Nacua, Puka",WR,EXT2,Vet-Ext2,22000,22000,2,2,"CL 2|TCV 44K|AAV 22K|Y1-22K, Y2-22K|Ext: Bomb|GTD: 33K","CL 2|TCV 44K|AAV 22K|Y1-22K, Y2-22K|Ext: Bomb|GTD: 33K",Y,,
Blake Bombers,"Purdy, Brock",QB,FL,Vet-FAA-FL,22000,22000,2,2,"CL 3| TCV 84K| AAV 28K| Y1-40K, Y2-22K, Y3-22K|","CL 3| TCV 84K| AAV 28K| Y1-40K, Y2-22K, Y3-22K|",Y,,
Blake Bombers,"Raridon, Eli",TE,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Blake Bombers,"Reed, Jayden",WR,EXT1,Vet-Ext1,15000,15000,1,1,CL 1|TCV 15K|AAV 15K|Y1-15K|Ext: Bomb|GTD: 11.3K,CL 1|TCV 15K|AAV 15K|Y1-15K|Ext: Bomb|GTD: 11.3K,Y,,
Blake Bombers,"Shaheed, Rashid",WR,Veteran,Vet-ERA,7000,7000,2,2,"CL 3| TCV 21K| AAV 7K| Y1-7K, Y2-7K, Y3-7K","CL 3| TCV 21K| AAV 7K| Y1-7K, Y2-7K, Y3-7K",Y,,
Blake Bombers,"Simpson, Ty",QB,R,Rookie-Draft,5000,5000,3,3,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",Y,,
Blake Bombers,"Strange, Brenton",TE,Veteran,Vet-FAA,2000,2000,2,2,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,Y,,
Blake Bombers,"Tuten, Bhayshul",RB,(blank),Rookie-Draft,(blank),5000,(blank),2,(blank),CL 3| TCV 15K| AAV 5K,Y,Y,Y
Blake Bombers,"Walker, Quay",LB,Veteran,Vet-MYM,1000,1000,1,1,CL 2| TCV 2K| AAV 1K,CL 2| TCV 2K| AAV 1K,Y,,
Blake Bombers,"Ward, Cam",QB,Rookie,Rookie-Draft,10000,10000,2,2,CL 3| TCV 30K| AAV 10K | Option Eligible,CL 3| TCV 30K| AAV 10K | Option Eligible,Y,,
Blake Bombers,"Watts, Xavier",S,Rookie,Rookie-MYM,1000,1000,2,2,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,Y,,
Blake Bombers,"Wilson, Emanuel",RB,Vet-ERA,Vet-ERA,2000,2000,1,1,CL 1| TCV 2K| AAV 2K,CL 1| TCV 2K| AAV 2K,,,
C-Town Chivalry,"Ayomanor, Elic",WR,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
C-Town Chivalry,"Bowers, Brock",TE,Rookie,Rookie-Draft,9000,9000,1,1,CL 3| TCV 27K| AAV 9K,CL 3| TCV 27K| AAV 9K,Y,,
C-Town Chivalry,"Branch, Brian",S,Vet-ERA,Vet-ERA,4000,4000,1,1,CL 1| TCV 4K| AAV 4K,CL 1| TCV 4K| AAV 4K,,,
C-Town Chivalry,"Cook, James",RB,Veteran,Vet-Ext2,27000,27000,1,1,"CL 3| TCV 61K| AAV 27K| Y1-7, Y2-27, Y3-27| Ext: CBP","CL 3| TCV 61K| AAV 27K| Y1-7, Y2-27, Y3-27| Ext: CBP",Y,,
C-Town Chivalry,"Daniels, Jayden",QB,Rookie,Rookie-Draft,12000,12000,1,1,CL 3| TCV 36K| AAV 12K,CL 3| TCV 36K| AAV 12K,Y,,
C-Town Chivalry,"Davis, Isaiah",RB,Veteran,Vet-ERA,1000,1000,2,2,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,Y,,
C-Town Chivalry,"Davis, Ray",RB,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
C-Town Chivalry,"Downs, Caleb",S,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
C-Town Chivalry,"Golday, Jake",LB,R,Rookie-Draft,1000,1000,3,3,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",Y,,
C-Town Chivalry,"Hall, Breece",RB,Veteran,Vet-Ext2,35000,35000,1,1,"CL 2| TCV 70K| AAV 35K| Y1-35K, Y2-35K| Ext: Blake","CL 2| TCV 70K| AAV 35K| Y1-35K, Y2-35K| Ext: Blake",Y,,
C-Town Chivalry,"Higgins, Tee",WR,Veteran,Vet-Ext1,24000,24000,1,1,"CL 2| TCV 48K| AAV 47K| Y1-24, Y2-24| Ext: Mafia, LH, C-Town","CL 2| TCV 48K| AAV 47K| Y1-24, Y2-24| Ext: Mafia, LH, C-Town| restructure: 2025",Y,Y,
C-Town Chivalry,"LaPorta, Sam",TE,EXT2-BL,Vet-Ext2-BL,10000,10000,2,2,"CL 2|TCV 50K|AAV 25K|Y1-10K, Y2-40K|Ext: CTwn|GTD: 37.5K","CL 2|TCV 50K|AAV 25K|Y1-10K, Y2-40K|Ext: CTwn|GTD: 37.5K",Y,,
C-Town Chivalry,"Lake, Quentin",S,Veteran,Vet-MYM,1000,1000,1,1,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1","CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",Y,,
C-Town Chivalry,"London, Drake",WR,BL,Vet-Ext2-BL,52000,52000,1,1,"CL 2| TCV 66K| AAV 33K| Y1-14, Y2-52| Ext: PG","CL 2| TCV 66K| AAV 33K| Y1-14, Y2-52| Ext: PG| restructure: 2025",Y,Y,
C-Town Chivalry,"McKinney, Xavier",S,Veteran,Vet-FAA,1000,1000,1,1,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1","CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",Y,,
C-Town Chivalry,"Milroe, Jalen",QB,(blank),Rookie-Draft,(blank),5000,(blank),2,(blank),CL 3| TCV 15K| AAV 5K,Y,Y,Y
C-Town Chivalry,"Pickens, George",WR,TAG,Tag,51000,51000,1,1,CL 1| TCV 51K| AAV 51K| GTD 38.3K| Tag| Tier 1| Formula: Avg Top 1-6 WR AAV,CL 1| TCV 51K| AAV 51K| GTD 38.3K| Tag| Tier 1| Formula: Avg Top 1-6 WR AAV,Y,,
C-Town Chivalry,"Pollard, Tony",RB,Veteran,Vet-Ext1,27000,27000,1,1,"CL 2| TCV 54K| AAV 27K| Y1-27K, Y2-27K| Ext: C-Town","CL 2| TCV 54K| AAV 27K| Y1-27K, Y2-27K| Ext: C-Town",Y,,
C-Town Chivalry,"Smith-Njigba, Jaxon",WR,FL,Vet-Ext2-FL,1000,1000,2,2,"CL 3| TCV 70K| AAV 30K| Y1-14K, Y2-1K, Y3-55K| Ext: C-Town","CL 3| TCV 70K| AAV 30K| Y1-14K, Y2-1K, Y3-55K| Ext: C-Town| restructure: 2025",Y,Y,
C-Town Chivalry,"Stutsman, Danny",LB,(blank),Rookie-Draft,(blank),1000,(blank),2,(blank),CL 3| TCV 3K| AAV 1K,Y,Y,Y
C-Town Chivalry,"Tagovailoa, Tua",QB,FL,Vet-Ext2-FL,15000,15000,1,1,CL 3| TCV 116K| AAV 49K| Y1-86 Y2-15 Y3-15| Ext: C-Town,CL 3| TCV 116K| AAV 49K| Y1-86 Y2-15 Y3-15| Ext: C-Town,Y,,
C-Town Chivalry,"Taylor, Tory",PN,Rookie,Rookie-Draft,1000,1000,1,1,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,Y,,
C-Town Chivalry,"Tracy, Tyrone",RB,Rookie,Rookie-Draft,2000,2000,1,1,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,Y,,
C-Town Chivalry,"Wright, Jaylen",RB,(blank),Rookie-Draft,(blank),5000,(blank),1,(blank),CL 3| TCV 15K| AAV 5K,Y,Y,Y
CBP,"Coleman, Jonah",RB,R,Rookie-Draft,5000,5000,3,3,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",Y,,
CBP,"Collins, Nico",WR,BL,Vet-Ext2-BL,47000,47000,2,2,"CL 3| TCV 110K| AAV 42K|Y1-16K, Y2-47K, Y3-47K|  Ext: C-Town, CBP","CL 3| TCV 110K| AAV 42K|Y1-16K, Y2-47K, Y3-47K|  Ext: C-Town, CBP",Y,,
CBP,"Egbuka, Emeka",WR,Rookie,Rookie-Draft,5000,5000,2,2,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,Y,,
CBP,"Elliott, Keyshaun",LB,R,Rookie-Draft,1000,1000,3,3,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",Y,,
CBP,"Gabriel, Dillon",QB,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
CBP,"Howard, Will",QB,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
CBP,"Hurst, Ted",WR,R,Rookie-Draft,5000,5000,3,3,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",Y,,
