franchise,player,pos,status,gtd_before,gtd_after,before_contractInfo,after_contractInfo
Blake Bombers,"Anderson, Will",DE,Vet-MYM,—,2K,CL 3| TCV 3K| AAV 1K,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K| GTD: 2K"
Blake Bombers,"Barner, AJ",TE,Vet-FAA,—,1K,CL 2| TCV 2K| AAV 1K,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K"
Blake Bombers,"Brissett, Jacoby",QB,Tag,12K,12K,CL 1| TCV 16K| AAV 16K| GTD 12K| Tag| Tier 3| Formula: Avg Top 16-24 QB AAV,CL 1| TCV 16K| AAV 16K| GTD: 12K| Tag| Tier 3| Formula: Avg Top 16-24 QB AAV
Blake Bombers,"Bryant, Pat",WR,Rookie-Draft,—,4.5K,CL 3| TCV 6K| AAV 2K,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K| GTD: 4.5K"
Blake Bombers,"Corum, Blake",RB,Rookie-Draft,—,11.3K,CL 3| TCV 15K| AAV 5K,"CL 3| TCV 15K| AAV 5K| Y1-5K, Y2-5K, Y3-5K| GTD: 11.3K"
Blake Bombers,"Dowdle, Rico",RB,Vet-Ext1,—,9K,CL 2| TCV 12K| AAV 11K| Ext: Blake,"CL 2| TCV 12K| AAV 11K| Y1-1K, Y2-11K| GTD: 9K| Ext: Blake"
Blake Bombers,"Ferguson, Terrance",TE,Rookie-Draft,—,4.5K,CL 3| TCV 6K| AAV 2K,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K| GTD: 4.5K"
Blake Bombers,"Godwin, Chris",WR,Vet-FAA,—,15K,CL 2| TCV 20K| AAV 10K,"CL 2| TCV 20K| AAV 10K| Y1-10K, Y2-10K| GTD: 15K"
Blake Bombers,"Golden, Matthew",WR,Rookie-Draft,—,11.3K,CL 3| TCV 15K| AAV 5K,"CL 3| TCV 15K| AAV 5K| Y1-5K, Y2-5K, Y3-5K| GTD: 11.3K"
Blake Bombers,"Hampton, Omarion",RB,Rookie-Draft,—,29.3K,CL 3| TCV 39K| AAV 13K | Option Eligible,"CL 3| TCV 39K| AAV 13K| Y1-13K, Y2-13K, Y3-13K, Y4-18K Option| GTD: 29.3K"
Blake Bombers,"Hendrickson, Trey",DE,Vet-FAA,—,4.5K,CL 2| TCV 6K| AAV 3K,"CL 2| TCV 6K| AAV 3K| Y1-3K, Y2-3K| GTD: 4.5K"
Blake Bombers,"Henley, Daiyan",LB,Vet-FAA,—,1K,CL 2| TCV 4K| AAV 2K,"CL 2| TCV 4K| AAV 2K| Y1-2K, Y2-2K| GTD: 1K"
Blake Bombers,"Hunter, Jarquez",RB,Rookie-Draft,—,4.5K,CL 3| TCV 6K| AAV 2K,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K| GTD: 4.5K"
Blake Bombers,"Judkins, Quinshon",RB,Rookie-Draft,—,18K,CL 3| TCV 24K| AAV 8K | Option Eligible,"CL 3| TCV 24K| AAV 8K| Y1-8K, Y2-8K, Y3-8K, Y4-13K Option| GTD: 18K"
Blake Bombers,"McLaurin, Terry",WR,Vet-FAA,—,42.8K,CL 3| TCV 57K| AAV 19K,"CL 3| TCV 57K| AAV 19K| Y1-19K, Y2-19K, Y3-19K| GTD: 42.8K"
Blake Bombers,"Purdy, Brock",QB,Vet-FAA-FL,—,63K,"CL 3| TCV 84K| AAV 28K| Y1-40K, Y2-22K, Y3-22K|","CL 3| TCV 84K| AAV 28K| Y1-40K, Y2-22K, Y3-22K| GTD: 63K"
Blake Bombers,"Shaheed, Rashid",WR,Vet-ERA,—,15.8K,"CL 3| TCV 21K| AAV 7K| Y1-7K, Y2-7K, Y3-7K","CL 3| TCV 21K| AAV 7K| Y1-7K, Y2-7K, Y3-7K| GTD: 15.8K"
Blake Bombers,"Strange, Brenton",TE,Vet-FAA,—,4.5K,CL 3| TCV 6K| AAV 2K,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K| GTD: 4.5K"
Blake Bombers,"Tuten, Bhayshul",RB,Rookie-Draft,—,11.3K,CL 3| TCV 15K| AAV 5K,"CL 3| TCV 15K| AAV 5K| Y1-5K, Y2-5K, Y3-5K| GTD: 11.3K"
Blake Bombers,"Walker, Quay",LB,Vet-MYM,—,1K,CL 2| TCV 2K| AAV 1K,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K"
