relative_path,artifact_type,purpose,inputs,outputs,refresh_cadence,dependencies,last_modified,size_bytes,notes
site/README.md,other,Site directory overview documentation,,Project documentation,,,2026-04-20,3401,
site/acquisition/acquisition_hub.css,css,Acquisition UI styling (8.6KB),,Acquisition UI styling,on_page_load,,2026-03-11,8851,
site/acquisition/acquisition_hub.html,html_page,Acquisition hub page,,Acquisition analytics UI,,,2026-03-11,720,
site/acquisition/acquisition_hub.js,js_module,"Acquisition analytics: waiver, free agency, rookie draft history views","waiver_history.json, free_agent_auction_history.json, rookie_draft_history.json, expired_rookie_history.json, manifest.json",Interactive acquisition UI with historical analysis,on_demand,Multiple JSON data files,2026-03-11,20936,
site/acquisition/expired_rookie_history.json,json_data,,,,unknown,,2026-03-11,69794,
site/acquisition/free_agent_auction_history.json,json_data,,,,unknown,,2026-03-11,608373,
site/acquisition/lib/refresh_manager.js,js_module,Refresh/polling utility for acquisition data,,Data refresh coordination,,,2026-03-11,5426,
site/acquisition/manifest.json,json_data,Acquisition module manifest,,Module discovery,,,2026-03-11,324,
site/acquisition/mfl_hpm_embed_loader.js,loader,,,,unknown,,2026-03-11,4692,
site/acquisition/modules/expired_rookie_auction.js,js_module,Expired rookie auction module,expired_rookie_history.json,Expired rookie history view,,,2026-03-11,6502,
site/acquisition/modules/free_agent_auction.js,js_module,Free agent auction module,free_agent_auction_history.json,FA auction history view,,,2026-03-11,9297,
site/acquisition/modules/rookie_draft.js,js_module,Rookie draft acquisition module,rookie_draft_history.json,Rookie draft history view,,,2026-03-11,28065,
site/acquisition/modules/waiver_lab.js,js_module,Waiver lab module,waiver_history.json,Waiver history view,,,2026-03-11,2037,
site/acquisition/rookie_draft_history.json,json_data,,,,unknown,,2026-03-11,1333546,
site/acquisition/waiver_history.json,json_data,,,,unknown,,2026-03-11,344645,
site/ccc/ccc.css,css,CCC styling,,Contract management UI styling,on_page_load,,2026-03-13,72521,
site/ccc/ccc.js,js_module,"Main CCC app: tag management, MYM/restructure submissions, extension tracking, release logging","JSON: mym_dashboard.json, tag_tracking.json, tag_submissions.json, player_points_history.json, ccc_release_log.json; MFL API; worker endpoints",Contract submissions → worker; franchiseId-gated submissions (0008 commish only); local test mode for others,on_demand,"All JSON data files above; worker URLs for offer-mym, offer-restructure, commish-contract-update",2026-04-10,427430,Franchises 0001-0012 hardcoded with nicknames; commish=0008; FORCE_SEASON_ROLLOVER=true
site/ccc/ccc_contracts.svg,image,Contract visualization graphic (logo/icon),,UI asset,manual,,2026-02-16,3808,
site/ccc/ccc_latest.js,js_module,Version alias (41 bytes),,Latest CCC version redirect,on_demand,,2026-02-16,41,
site/ccc/ccc_latest.json,json_data,Latest version metadata (29 bytes),,Version tracking,on_demand,,2026-02-16,29,
site/ccc/ccc_release_log.json,json_data,CCC release history with version notes,,Release tracking in Settings UI,scheduled,,2026-02-16,1052,"v1.0.2 production routing, v1.0.1 dev warning, v1.0.0 production rollout"
site/ccc/extension_assistant.css,css,Extension assistant styling,,Modal styling,on_page_load,,2026-03-09,9157,
site/ccc/extension_assistant.js,js_module,Extension assistant modal for explaining extension eligibility,,"Modal UI explaining extensions, AAV, TCV, how to submit",,,2026-03-09,14525,
site/ccc/mfl_hpm16_contractcommandcenter.html,html_page,CCC main HTML page (loaded in iframe),,CCC interface,on_demand,,2026-03-09,20747,
site/ccc/mfl_hpm_embed_loader.js,loader,CCC context-aware loader: detects league/year/franchise; loads CCC frame from jsDelivr,Window.UPS_CCC_* globals; URL path; theme mode,CCC interface iframe,on_page_load,site/ccc/mfl_hpm16_contractcommandcenter.html,2026-03-03,11408,
site/ccc/mym_dashboard.json,json_data,,,,unknown,,2026-03-07,455320,
site/ccc/mym_submissions.json,json_data,,,,unknown,,2026-02-16,11869,
site/ccc/player_points_history.json,json_data,,,,unknown,,2026-02-16,676407,
site/ccc/restructure_submissions.json,json_data,,,,unknown,,2026-02-16,22446,
site/ccc/tag_submissions.json,json_data,,,,unknown,,2026-02-16,11063,
site/ccc/tag_tracking.json,json_data,,,,unknown,,2026-03-09,765163,
site/champions_panels.json,json_data,,,,unknown,,2026-02-16,4898,
site/hpm-ccc.html,html_page,Contract Command Center wrapper that loads embed loader from jsDelivr,Window.UPS_RELEASE_SHA,Contract management interface (iframe),on_page_load,site/ccc/mfl_hpm_embed_loader.js,2026-03-04,374,
site/hpm-default.html,html_page,Central HPM hub page with update notification,,Informational banner,manual,,2026-02-16,466,
site/hpm-draft-hub.html,html_page,Rookie Draft Hub host page loader,Window.UPS_RELEASE_SHA,Draft analytics interface (iframe),on_page_load,site/rookies/mfl_hpm_embed_loader.js,2026-04-20,380,
site/hpm-ext-assist.html,html_page,Extension Assistant info page for contract extensions,loader.js,Information UI about extension eligibility and submission,manual,,2026-03-09,1091,
site/hpm-issue-report.html,html_page,Bug report form page with iframe that submits to Discord via worker,"League ID, year, franchise ID from URL/cookies/globals; upsmflproduction worker",Bug reports submitted to upsmflproduction worker → Discord; iframe height sync,on_demand,,2026-03-11,6173,
site/hpm-mcm.html,html_page,MCM (Most Coachable Manager) voting interface wrapper,Window.UPS_RELEASE_SHA; mcm_embed_loader.js,MCM voting/nomination interface (iframe),on_page_load,mcm_embed_loader.js,2026-02-16,563,Hardcoded dev branch release
site/hpm-myteam.html,html_page,Team operations/roster management wrapper,Window.UPS_RELEASE_SHA,Team ops interface (iframe),on_page_load,site/team_operations/mfl_hpm_embed_loader.js,2026-04-18,387,
site/hpm-reports.html,html_page,Reports hub wrapper page,Window.UPS_RELEASE_SHA,Reports interface (iframe),on_page_load,site/reports/mfl_hpm_embed_loader.js,2026-03-09,436,
site/hpm-standings.html,html_page,League standings wrapper with hardcoded league ID 74598,Window.UPS_RELEASE_SHA; data-standings-source-league-id=74598,Standings table (iframe),on_page_load,site/standings/mfl_hpm_embed_loader.js,2026-03-01,683,Hardcoded release SHA: 23b2249; hardcoded league 74598
site/hpm-stats-workbench.html,html_page,Stats workbench wrapper page,Window.UPS_RELEASE_SHA,Stats interface (iframe),on_page_load,site/stats_workbench/mfl_hpm_embed_loader.js,2026-04-24,592,
site/hpm-widget.html,html_page,UPS Options Widget (UOW) host page for countdown/event display,Window.UPS_UOW_RELEASE_SHA; ups_options_widget.js,Event countdown/date picker UI; bug reports to Discord,on_demand,ups_options_widget_embed_loader.js,2026-03-17,708,Hardcoded release SHA: 59bdd6b
site/loader.js,loader,Central partial loader: injects link contrast fix for MFL native pages; provides is_offseason global,Window.UPS_EVENTS; league/year from URL path; MFL dark-on-dark link colors,Global CSS rules (#upsLinkContrastFix); window.is_offseason global variable,on_page_load,,2026-04-23,23562,Keith 2026-04-22: reported unreadable links fix
site/mcm/mcm_frame.html,html_page,MCM voting interface (iframe-hosted),,MCM voting/nomination UI,,,2026-02-16,21747,
site/mcm/mcm_nominations.json,json_data,,,,unknown,,2026-02-16,111,
site/mcm/mcm_seed.json,json_data,,,,unknown,,2026-02-16,2016,
site/mcm/mcm_votes.json,json_data,,,,unknown,,2026-02-16,105,
site/mcm_embed_loader.js,loader,"Context-aware MCM frame loader: detects league, year, franchise and loads MCM voting interface",Window.UPS_RELEASE_SHA; URL path; league/year/franchise globals; theme mode,MCM voting interface iframe with context parameters,on_page_load,site/mcm/mcm_frame.html,2026-02-16,3936,
site/options/ups_options_widget_embed_loader.js,loader,Symlink/copy of main UOW embed loader in options subdir,Window.UPS_UOW_RELEASE_SHA,Loads UOW into page,on_page_load,,2026-02-28,607,
site/reports/bug_reports_74598_2026.json,json_data,,,,unknown,,2026-03-15,264234,
site/reports/contract_history_qb.csv,json_data,,,,unknown,,2026-02-16,255689,
site/reports/contract_history_qb_dropped_under_contract.csv,json_data,,,,unknown,,2026-02-16,63763,
site/reports/contract_history_qb_extension_inferred.csv,json_data,,,,unknown,,2026-02-16,26666,
site/reports/contract_history_qb_manual_review.csv,json_data,,,,unknown,,2026-02-16,64534,
site/reports/contract_history_qb_owner_lineage.csv,json_data,,,,unknown,,2026-02-16,183224,
site/reports/contract_history_qb_timeline.csv,json_data,,,,unknown,,2026-02-16,168455,
site/reports/contract_history_qb_transaction_snapshots.csv,json_data,,,,unknown,,2026-02-16,365262,
site/reports/contract_review_2025_vs_2026_current.csv,json_data,,,,unknown,,2026-03-07,294,
site/reports/contract_review_2025_vs_2026_current.md,other,,,,unknown,,2026-03-07,664,
site/reports/contracts/contracts_report.js,js_module,Contracts analysis report router,,Contracts report page,,,2026-03-09,942,
site/reports/franchise_assets/franchise_assets.js,js_module,Franchise assets analysis,,Franchise assets report page,,,2026-03-09,869,
site/reports/historical/historical_reports.js,js_module,Historical reports router,,Historical reports page,,,2026-03-09,875,
site/reports/index.html,html_page,Reports hub index,,Reports landing page,,,2026-03-09,812,
site/reports/mfl_hpm_embed_loader.js,loader,Reports context loader,Window.UPS_REPORTS_RELEASE_SHA; URL path,Reports hub iframe,on_page_load,,2026-02-16,4160,
site/reports/player_scoring/player_scoring.css,css,Player scoring UI styling,,Player scoring styling,,,2026-03-09,16670,
site/reports/player_scoring/player_scoring.js,js_module,Player scoring analytics,"player_scoring_2024.json, player_scoring_2025.json; player_scoring_manifest.json",Player scoring UI with year selection,,,2026-03-09,72115,
site/reports/player_scoring/player_scoring_2024.json,json_data,,,,unknown,,2026-03-09,5630291,
site/reports/player_scoring/player_scoring_2025.json,json_data,,,,unknown,,2026-03-09,5584164,
site/reports/player_scoring/player_scoring_data_dictionary.md,other,,,,unknown,,2026-03-09,8654,
site/reports/player_scoring/player_scoring_manifest.json,json_data,,,,unknown,,2026-03-09,1985,
site/reports/player_scoring/player_scoring_sql.sql,other,,,,unknown,,2026-03-09,14950,
site/reports/qb_contract_lineage_2024_to_2025.csv,json_data,,,,unknown,,2026-02-16,10836,
site/reports/qb_dropped_from_2024_under_contract.csv,json_data,,,,unknown,,2026-02-16,895,
