season,league_id,requested_period,used_period,fallback_used,players_fetched,total_drafts,total_picks
2011,40832,AUG1,ALL,1,339,3119,1065
2012,37227,AUG1,ALL,1,326,3959,1156
2013,42721,AUG1,ALL,1,304,4618,1164
2014,30590,AUG1,ALL,1,334,5653,1175
2015,29015,AUG1,ALL,1,339,4698,1110
2016,27191,AUG1,ALL,1,321,7121,1187
2017,74598,AUG1,ALL,1,329,10183,1335
2018,74598,AUG1,ALL,1,391,3888,1257
2019,74598,AUG1,AUG1,0,325,3228,1012
2020,74598,AUG1,AUG1,0,366,3110,997
2021,74598,AUG1,AUG1,0,347,3698,994
2022,74598,AUG1,AUG1,0,336,3316,957
2023,74598,AUG1,AUG1,0,404,4610,1120
2024,74598,AUG1,AUG1,0,394,4276,1141
2025,74598,AUG1,AUG1,0,382,913,823
