season,franchise_id,team_name,cap_start,prior_season,prior_end_week,prior_end_salary,proxy_cap_space_before_txn,freeagent_winning_spend,proxy_cap_space_after_freeagent_auction
2011,0001,Wetter Than Dutch Dikes,300000.0,2010,22,188,299812.0,271000,28812.0
2011,0002,D-Town Diddlers,300000.0,2010,22,200,299800.0,245000,54800.0
2011,0003,The Fat Cat,300000.0,2010,22,206,299794.0,275000,24794.0
2011,0004,Pure Greatness,300000.0,2010,22,198,299802.0,272009,27793.0
2011,0005,BTNH,300000.0,2010,22,183,299817.0,270000,29817.0
2011,0006,Murray's Madmen,300000.0,2010,22,139,299861.0,261000,38861.0
2011,0007,R-11,300000.0,2010,22,187,299813.0,275000,24813.0
2011,0008,Raining Bullets,300000.0,2010,22,202,299798.0,265000,34798.0
2011,0009,C-Town Chivalry,300000.0,2010,22,174,299826.0,255000,44826.0
2011,0010,Blake Bombers,300000.0,2010,22,174,299826.0,276000,23826.0
2011,0011,The Baster,300000.0,2010,22,164,299836.0,249000,50836.0
2011,0012,White Power,300000.0,2010,22,144,299856.0,271000,28856.0
2012,0001,Wetter Than Dutch Dikes,300000.0,2011,13,235000,65000.0,106000,-41000.0
2012,0002,Cranium Krusherz,300000.0,2011,13,221000,79000.0,253000,-174000.0
2012,0003,Lake's Team,300000.0,2011,13,225000,75000.0,71000,4000.0
2012,0004,Pure Greatness,300000.0,2011,13,283000,17000.0,205000,-188000.0
2012,0005,BTNH,300000.0,2011,13,260000,40000.0,72000,-32000.0
2012,0006,Good in Da Hood,300000.0,2011,13,260000,40000.0,146000,-106000.0
2012,0007,Ebners' Flow,300000.0,2011,13,240000,60000.0,170000,-110000.0
2012,0008,Raining Bullets,300000.0,2011,13,269000,31000.0,175000,-144000.0
2012,0009,C-Town Chivalry,300000.0,2011,13,239000,61000.0,88000,-27000.0
2012,0010,Blake Bombers,300000.0,2011,13,294000,6000.0,110000,-104000.0
2012,0011,The Baster,300000.0,2011,13,219000,81000.0,144000,-63000.0
2012,0012,White Power,300000.0,2011,13,256000,44000.0,108000,-64000.0
2013,0001,Wetter Than Dutch Dikes,300000.0,2012,,,,127000,
2013,0002,DBCA,300000.0,2012,,,,111000,
2013,0003,There Can Be Only One,300000.0,2012,,,,60000,
2013,0004,Pure Greatness,300000.0,2012,,,,86000,
2013,0005,BTNH,300000.0,2012,,,,121000,
2013,0006,Good in Da Hood,300000.0,2012,,,,76000,
2013,0007,Ebners' Flow,300000.0,2012,,,,47000,
2013,0008,Raining Bullets,300000.0,2012,,,,83000,
2013,0009,C-Town Chivalry,300000.0,2012,,,,52000,
2013,0010,Blake Bombers,300000.0,2012,,,,103000,
2013,0011,The Baster,300000.0,2012,,,,51000,
2013,0012,White Power,300000.0,2012,,,,117000,
2014,0001,Ulterior Warrior,300000.0,2013,,,,89000,
2014,0002,Crystal Blue Persuasian,300000.0,2013,,,,73000,
2014,0003,There Can Be Only One,300000.0,2013,,,,120000,
2014,0004,Pure Greatness,300000.0,2013,,,,56000,
2014,0005,BTNH,300000.0,2013,,,,87000,
2014,0006,Good in Da Hood,300000.0,2013,,,,124000,
2014,0007,Ebners' Flow,300000.0,2013,,,,149000,
2014,0008,Raining Bullets,300000.0,2013,,,,180996,
2014,0009,C-Town Chivalry,300000.0,2013,,,,92000,
2014,0010,Blake Bombers,300000.0,2013,,,,138000,
2014,0011,The Baster,300000.0,2013,,,,181000,
2014,0012,White Power,300000.0,2013,,,,256000,
2015,0001,Ulterior Warrior,300000.0,2014,,,,78000,
2015,0002,Crystal Blue Persuasian,300000.0,2014,,,,44000,
2015,0003,There Can Be Only One,300000.0,2014,,,,66000,
2015,0004,Pure Greatness,300000.0,2014,,,,81000,
2015,0005,BTNH,300000.0,2014,,,,141000,
2015,0006,Good in Da Hood,300000.0,2014,,,,101000,
2015,0007,Sex Manther,300000.0,2014,,,,141000,
2015,0008,Raining Bullets,300000.0,2014,,,,135000,
2015,0009,C-Town Chivalry,300000.0,2014,,,,111000,
2015,0010,Blake Bombers,300000.0,2014,,,,38000,
2015,0011,The Baster,300000.0,2014,,,,126000,
2015,0012,White Power,300000.0,2014,,,,85000,
2016,0001,Ulterior Warrior,300000.0,2015,,,,27000,
2016,0002,Crystal Blue Persuasian,300000.0,2015,,,,100000,
2016,0003,There Can Be Only One,300000.0,2015,,,,42000,
2016,0004,Pure Greatness,300000.0,2015,,,,92000,
2016,0005,BTNH,300000.0,2015,,,,118000,
2016,0006,Good in Da Hood,300000.0,2015,,,,220000,
2016,0007,Sex Manther,300000.0,2015,,,,65000,
2016,0008,Gordon Is The New Blackmon,300000.0,2015,,,,53000,
2016,0009,C-Town Chivalry,300000.0,2015,,,,142000,
2016,0010,Blake Bombers,300000.0,2015,,,,30000,
2016,0011,The Baster,300000.0,2015,,,,173000,
2016,0012,White Power,300000.0,2015,,,,94000,
2017,0001,Ulterior Warrior,300000.0,2016,,,,106000,
2017,0002,Crystal Blue Persuasian,300000.0,2016,,,,26000,
2017,0003,Gride,300000.0,2016,,,,157000,
2017,0004,Pure Greatness,300000.0,2016,,,,123000,
2017,0005,C'mon Son,300000.0,2016,,,,145000,
2017,0006,Good in Da Hood,300000.0,2016,,,,142000,
2017,0007,Sex Manther,300000.0,2016,,,,114000,
2017,0008,Gordon Is The New Blackmon,300000.0,2016,,,,72000,
2017,0009,C-Town Chivalry,300000.0,2016,,,,65000,
2017,0010,Blake Bombers,300000.0,2016,,,,180000,
2017,0011,Cleon Ca$h,300000.0,2016,,,,146000,
2017,0012,White Power,300000.0,2016,,,,111000,
2018,0001,Ulterior Warrior,300000.0,2017,16,299000,1000.0,91000,-90000.0
2018,0002,The Bash Bros,300000.0,2017,16,302000,-2000.0,111000,-113000.0
2018,0003,Gride,300000.0,2017,16,329000,-29000.0,122000,-151000.0
2018,0004,Pure Greatness,300000.0,2017,16,305000,-5000.0,155000,-160000.0
2018,0005,C'mon Son,300000.0,2017,16,340000,-40000.0,142000,-182000.0
2018,0006,Good in Da Hood,300000.0,2017,16,304000,-4000.0,80000,-84000.0
2018,0007,Sex Manther,300000.0,2017,16,324000,-24000.0,125000,-149000.0
2018,0008,Gordon Is The New Blackmon,300000.0,2017,16,326000,-26000.0,108000,-134000.0
2018,0009,C-Town Chivalry,300000.0,2017,16,317000,-17000.0,104000,-121000.0
2018,0010,Blake Bombers,300000.0,2017,16,296000,4000.0,95000,-91000.0
2018,0011,Cleon Ca$h,300000.0,2017,16,271000,29000.0,119000,-90000.0
2018,0012,White Power,300000.0,2017,16,284000,16000.0,62000,-46000.0
2019,0001,Ulterior Warrior,300000.49,2018,16,331000,-30999.51,49000,-79999.51
2019,0002,The Bash Bros,300000.49,2018,16,326000,-25999.51,196000,-221999.51
2019,0003,Gride,300000.49,2018,16,315000,-14999.51,91000,-105999.51
2019,0004,Pure Greatness,300000.49,2018,16,272000,28000.49,79000,-50999.51
2019,0005,Run CMC,300000.49,2018,16,291000,9000.49,34000,-24999.51
2019,0006,Good in Da Hood,300000.49,2018,16,304000,-3999.51,133000,-136999.51
2019,0007,Sex Manther,300000.49,2018,16,319000,-18999.51,90000,-108999.51
2019,0008,#BLM,300000.49,2018,16,304000,-3999.51,69000,-72999.51
2019,0009,C-Town Chivalry,300000.49,2018,16,347000,-46999.51,69000,-115999.51
2019,0010,Blake Bombers,300000.49,2018,16,285000,15000.49,35000,-19999.51
2019,0011,Cleon Ca$h,300000.49,2018,16,364000,-63999.51,177000,-240999.51
2019,0012,Hawks,300000.49,2018,16,253000,47000.49,119000,-71999.51
2020,0001,Ulterior Warrior,300000.49,2019,16,360000,-59999.51,22000,-81999.51
