season,first_bid_datetime,last_cut_datetime,auction_window,auction_players_count,auction_winners_count,adp_matched_count,total_winning_spend,cap_per_team,team_count,total_league_cap,spend_pct_of_league_cap,notes
2011,2011-08-15 08:13:24,,JUL_AUG,269,269,204,3185009,300000.0,12,3600000.0,0.884725,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2012,2012-07-31 09:18:52,,JUL_AUG,224,224,146,1648000,300000.0,12,3600000.0,0.457778,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2013,2013-08-04 08:11:48,,JUL_AUG,178,178,96,1034000,300000.0,12,3600000.0,0.287222,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2014,2014-08-02 00:06:44,,JUL_AUG,215,213,131,1545996,300000.0,12,3600000.0,0.429443,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2015,2015-08-07 20:05:56,,JUL_AUG,185,183,100,1147000,300000.0,12,3600000.0,0.318611,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2016,2016-08-05 08:00:59,,JUL_AUG,184,183,96,1156000,300000.0,12,3600000.0,0.321111,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2017,2017-08-03 00:01:31,2017-08-02 05:40:10,JUL_AUG,193,193,108,1387000,300000.0,12,3600000.0,0.385278,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2018,2018-08-03 00:14:40,2018-07-31 23:58:50,JUL_AUG,233,233,122,1314000,300000.0,12,3600000.0,0.365,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2019,2019-08-18 00:02:17,2019-07-31 11:17:03,JUL_AUG,207,207,98,1141000,300000.49,12,3600005.88,0.316944,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2020,2020-08-17 00:04:15,2020-08-15 23:29:52,JUL_AUG,167,167,89,604000,300000.49,12,3600005.88,0.167778,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2021,2021-07-31 15:00:19,2021-07-29 23:19:18,JUL_AUG,180,179,82,758000,300000.49,12,3600005.88,0.210555,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2022,2022-07-30 12:06:45,2022-07-27 21:16:19,JUL_AUG,187,187,100,1048000,300000.49,12,3600005.88,0.291111,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2023,2023-07-29 14:01:12,2023-07-27 19:31:04,JUL_AUG,166,163,103,670000,300000.49,12,3600005.88,0.186111,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2024,2024-07-27 12:11:03,2024-07-24 15:54:44,JUL_AUG,185,185,108,776000,300000.49,12,3600005.88,0.215555,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
2025,2025-08-03 12:01:35,2025-08-01 22:03:50,JUL_AUG,171,171,111,798000,300000.49,12,3600005.88,0.221666,V1 uses FreeAgent winning bids as auction money spent and splits perceived values across IDP vs NON_IDP pools. Taxi/IR and salary-adjustment lineage not yet applied.
