created_at,season,season_team_match,season_player_match,source_channel,event_type,franchise_id,franchise_name,franchise_logo,player_id,player_name,option,tcv,guaranteed,per_year,contract_style,year_values_json,source_raw_line
2024-08-18 17:13:24,2024,2024,2024,contract-activity,submission,0008,Real Deal Creel,https://www48.myfantasyleague.com/fflnetdynamic2023/74598_franchise_logo0008.png,15723,"Chandler, Ty",3,27000,20250,9000,submission,"{""2024"": 9000, ""2025"": 9000, ""2026"": 9000}","{""source_file"": ""/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv"", ""source_channel"": ""contract-activity"", ""message_author"": ""UPS Contracts Hub Bot#8171"", ""message_date_raw"": ""2024-08-18T17:13:24.4130000-04:00"", ""event_type"": ""submission"", ""team_raw"": ""Real Deal Creel"", ""player_raw"": ""Chandler, Ty"", ""year_values"": {""2024"": 9000, ""2025"": 9000, ""2026"": 9000}, ""content"": ""HEAR YE! HEAR YE! \n\n**Real Deal Creel** has just made a contract submission!\n\nA new contract for **Chandler, Ty** for **3 years**.\nYearly Breakdown:\n- Year 1: $9000\n- Year 2: $9000\n- Year 3: $9000\nTotal Contract Value (TCV): **$27000**\nGuaranteed Amount: $20250\n\nWhat else can brown do for you? :upsbot:\n\nDM me to discuss: @UPS Contracts Hub Bot""}"
2024-08-18 17:26:42,2024,2024,2024,contract-activity,submission,0004,Pure Greatness,https://www48.myfantasyleague.com/fflnetdynamic2019/74598_franchise_logo0004.png,11675,"Adams, Davante",3,90000,67500,30000,submission,"{""2024"": 50000, ""2025"": 20000, ""2026"": 20000}","{""source_file"": ""/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv"", ""source_channel"": ""contract-activity"", ""message_author"": ""UPS Contracts Hub Bot#8171"", ""message_date_raw"": ""2024-08-18T17:26:42.4010000-04:00"", ""event_type"": ""submission"", ""team_raw"": ""Pure Greatness"", ""player_raw"": ""Adams, Davante"", ""year_values"": {""2024"": 50000, ""2025"": 20000, ""2026"": 20000}, ""content"": ""HEAR YE! HEAR YE! \n\n**Pure Greatness** has just made a contract submission!\n\nA new contract for **Adams, Davante** for **3 years**.\nYearly Breakdown:\n- Year 1: $50000\n- Year 2: $20000\n- Year 3: $20000\nTotal Contract Value (TCV): **$90000**\nGuaranteed Amount: $67500\n\nWhat else can brown do for you? :upsbot:\n\nDM me to discuss: @UPS Contracts Hub Bot""}"
2024-08-18 18:03:46,2024,2024,2024,contract-activity,submission,0004,Pure Greatness,https://www48.myfantasyleague.com/fflnetdynamic2019/74598_franchise_logo0004.png,14147,"Bosa, Nick",3,15000,11250,5000,submission,"{""2024"": 5000, ""2025"": 5000, ""2026"": 5000}","{""source_file"": ""/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv"", ""source_channel"": ""contract-activity"", ""message_author"": ""UPS Contracts Hub Bot#8171"", ""message_date_raw"": ""2024-08-18T18:03:46.9110000-04:00"", ""event_type"": ""submission"", ""team_raw"": ""Pure Greatness"", ""player_raw"": ""Bosa, Nick"", ""year_values"": {""2024"": 5000, ""2025"": 5000, ""2026"": 5000}, ""content"": ""HEAR YE! HEAR YE! \n\n**Pure Greatness** has just made a contract submission!\n\nA new contract for **Bosa, Nick** for **3 years**.\nYearly Breakdown:\n- Year 1: $5000\n- Year 2: $5000\n- Year 3: $5000\nTotal Contract Value (TCV): **$15000**\nGuaranteed Amount: $11250\n\nWhat else can brown do for you? :upsbot:\n\nDM me to discuss: @UPS Contracts Hub Bot""}"
2024-08-18 18:07:35,2024,2024,2024,contract-activity,submission,0004,Pure Greatness,https://www48.myfantasyleague.com/fflnetdynamic2019/74598_franchise_logo0004.png,13198,"Garrett, Myles",2,18000,13500,9000,submission,"{""2024"": 14000, ""2025"": 4000}","{""source_file"": ""/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv"", ""source_channel"": ""contract-activity"", ""message_author"": ""UPS Contracts Hub Bot#8171"", ""message_date_raw"": ""2024-08-18T18:07:35.5070000-04:00"", ""event_type"": ""submission"", ""team_raw"": ""Pure Greatness"", ""player_raw"": ""Garrett, Myles"", ""year_values"": {""2024"": 14000, ""2025"": 4000}, ""content"": ""HEAR YE! HEAR YE! \n\n**Pure Greatness** has just made a contract submission!\n\nA new contract for **Garrett, Myles** for **2 years**.\nYearly Breakdown:\n- Year 1: $14000\n- Year 2: $4000\nTotal Contract Value (TCV): **$18000**\nGuaranteed Amount: $13500\n\nWhat else can brown do for you? :upsbot:\n\nDM me to discuss: @UPS Contracts Hub Bot""}"
2024-08-20 13:23:18,2024,2024,2024,contract-activity,submission,0005,HammerTime 🔨 ⏰,https://www48.myfantasyleague.com/fflnetdynamic2022/74598_franchise_logo0005.png,12221,"Hunter, Danielle",2,8000,6000,4000,submission,"{""2024"": 2000, ""2025"": 6000}","{""source_file"": ""/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv"", ""source_channel"": ""contract-activity"", ""message_author"": ""UPS Contracts Hub Bot#8171"", ""message_date_raw"": ""2024-08-20T13:23:18.0930000-04:00"", ""event_type"": ""submission"", ""team_raw"": ""HammerTime \ud83d\udd28 \u23f0"", ""player_raw"": ""Hunter, Danielle"", ""year_values"": {""2024"": 2000, ""2025"": 6000}, ""content"": ""HEAR YE! HEAR YE! \n\n**HammerTime \ud83d\udd28 \u23f0** has just made a contract submission!\n\nA new contract for **Hunter, Danielle** for **2 years**.\nYearly Breakdown:\n- Year 1: $2000\n- Year 2: $6000\nTotal Contract Value (TCV): **$8000**\nGuaranteed Amount: $6000\n\nWhat else can brown do for you? :upsbot:\n\nDM me to discuss: @UPS Contracts Hub Bot""}"
2024-08-21 13:41:49,2024,2024,2024,contract-activity,submission,0009,C-Town Chivalry,https://www48.myfantasyleague.com/fflnetdynamic2019/74598_franchise_logo0009.png,14085,"Pollard, Tony",2,34000,25500,17000,submission,"{""2024"": 7000, ""2025"": 27000}","{""source_file"": ""/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv"", ""source_channel"": ""contract-activity"", ""message_author"": ""UPS Contracts Hub Bot#8171"", ""message_date_raw"": ""2024-08-21T13:41:49.6080000-04:00"", ""event_type"": ""submission"", ""team_raw"": ""C-Town Chivalry"", ""player_raw"": ""Pollard, Tony"", ""year_values"": {""2024"": 7000, ""2025"": 27000}, ""content"": ""HEAR YE! HEAR YE! \n\n**C-Town Chivalry** has just made a contract submission!\n\nA new contract for **Pollard, Tony** for **2 years**.\nYearly Breakdown:\n- Year 1: $7000\n- Year 2: $27000\nTotal Contract Value (TCV): **$34000**\nGuaranteed Amount: $25500\n\nWhat else can brown do for you? :upsbot:\n\nDM me to discuss: @UPS Contracts Hub Bot""}"
2024-08-22 08:00:32,2024,2024,2024,contract-activity,submission,0010,Blake Bombers,https://www48.myfantasyleague.com/fflnetdynamic2019/74598_franchise_logo0010.png,14108,"Dortch, Greg",2,2000,1000,1000,submission,"{""2024"": 1000, ""2025"": 1000}","{""source_file"": ""/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv"", ""source_channel"": ""contract-activity"", ""message_author"": ""UPS Contracts Hub Bot#8171"", ""message_date_raw"": ""2024-08-22T08:00:32.5620000-04:00"", ""event_type"": ""submission"", ""team_raw"": ""Blake Bombers"", ""player_raw"": ""Dortch, Greg"", ""year_values"": {""2024"": 1000, ""2025"": 1000}, ""content"": ""HEAR YE! HEAR YE! \n\n**Blake Bombers** has just made a contract submission!\n\nA new contract for **Dortch, Greg** for **2 years**.\nYearly Breakdown:\n- Year 1: $1000\n- Year 2: $1000\nTotal Contract Value (TCV): **$2000**\nGuaranteed Years: 1 (1K Penalty for early cut)\n\nWhat else can brown do for you? :upsbot:\n\nDM me to discuss: @UPS Contracts Hub Bot""}"
2024-08-23 10:46:37,2024,2024,2024,contract-activity,submission,0012,Hawks,https://www48.myfantasyleague.com/fflnetdynamic2019/74598_franchise_logo0012.png,14800,"Dobbins, J.K.",3,27000,20250,9000,submission,"{""2024"": 9000, ""2025"": 9000, ""2026"": 9000}","{""source_file"": ""/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv"", ""source_channel"": ""contract-activity"", ""message_author"": ""UPS Contracts Hub Bot#8171"", ""message_date_raw"": ""2024-08-23T10:46:37.5880000-04:00"", ""event_type"": ""submission"", ""team_raw"": ""Hawks"", ""player_raw"": ""Dobbins, J.K."", ""year_values"": {""2024"": 9000, ""2025"": 9000, ""2026"": 9000}, ""content"": ""HEAR YE! HEAR YE! \n\n**Hawks** has just made a contract submission!\n\nA new contract for **Dobbins, J.K.** for **3 years**.\nYearly Breakdown:\n- Year 1: $9000\n- Year 2: $9000\n- Year 3: $9000\nTotal Contract Value (TCV): **$27000**\nGuaranteed Amount: $20250\n\nWhat else can brown do for you? :upsbot:\n\nDM me to discuss: @UPS Contracts Hub Bot""}"
2024-08-24 22:28:20,2024,2024,2024,contract-activity,submission,0012,Hawks,https://www48.myfantasyleague.com/fflnetdynamic2019/74598_franchise_logo0012.png,13772,"Schultz, Dalton",3,12000,9000,4000,submission,"{""2024"": 4000, ""2025"": 4000, ""2026"": 4000}","{""source_file"": ""/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv"", ""source_channel"": ""contract-activity"", ""message_author"": ""UPS Contracts Hub Bot#8171"", ""message_date_raw"": ""2024-08-24T22:28:20.2060000-04:00"", ""event_type"": ""submission"", ""team_raw"": ""Hawks"", ""player_raw"": ""Schultz, Dalton"", ""year_values"": {""2024"": 4000, ""2025"": 4000, ""2026"": 4000}, ""content"": ""HEAR YE! HEAR YE! \n\n**Hawks** has just made a contract submission!\n\nA new contract for **Schultz, Dalton** for **3 years**.\nYearly Breakdown:\n- Year 1: $4000\n- Year 2: $4000\n- Year 3: $4000\nTotal Contract Value (TCV): **$12000**\nGuaranteed Amount: $9000\n\nWhat else can brown do for you? :upsbot:\n\nDM me to discuss: @UPS Contracts Hub Bot""}"
2024-08-24 22:51:43,2024,2024,2024,contract-activity,submission,0012,Hawks,https://www48.myfantasyleague.com/fflnetdynamic2019/74598_franchise_logo0012.png,11671,"Evans, Mike",3,72000,54000,24000,submission,"{""2024"": 24000, ""2025"": 24000, ""2026"": 24000}","{""source_file"": ""/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv"", ""source_channel"": ""contract-activity"", ""message_author"": ""UPS Contracts Hub Bot#8171"", ""message_date_raw"": ""2024-08-24T22:51:43.8240000-04:00"", ""event_type"": ""submission"", ""team_raw"": ""Hawks"", ""player_raw"": ""Evans, Mike"", ""year_values"": {""2024"": 24000, ""2025"": 24000, ""2026"": 24000}, ""content"": ""HEAR YE! HEAR YE! \n\n**Hawks** has just made a contract submission!\n\nA new contract for **Evans, Mike** for **3 years**.\nYearly Breakdown:\n- Year 1: $24000\n- Year 2: $24000\n- Year 3: $24000\nTotal Contract Value (TCV): **$72000**\nGuaranteed Amount: $54000\n\nWhat else can brown do for you? :upsbot:\n\nDM me to discuss: @UPS Contracts Hub Bot""}"
2024-08-24 22:52:42,2024,2024,2024,contract-activity,submission,0012,Hawks,https://www48.myfantasyleague.com/fflnetdynamic2019/74598_franchise_logo0012.png,14105,"Brown, Marquise",3,24000,18000,8000,submission,"{""2024"": 8000, ""2025"": 8000, ""2026"": 8000}","{""source_file"": ""/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv"", ""source_channel"": ""contract-activity"", ""message_author"": ""UPS Contracts Hub Bot#8171"", ""message_date_raw"": ""2024-08-24T22:52:42.9960000-04:00"", ""event_type"": ""submission"", ""team_raw"": ""Hawks"", ""player_raw"": ""Brown, Marquise"", ""year_values"": {""2024"": 8000, ""2025"": 8000, ""2026"": 8000}, ""content"": ""HEAR YE! HEAR YE! \n\n**Hawks** has just made a contract submission!\n\nA new contract for **Brown, Marquise** for **3 years**.\nYearly Breakdown:\n- Year 1: $8000\n- Year 2: $8000\n- Year 3: $8000\nTotal Contract Value (TCV): **$24000**\nGuaranteed Amount: $18000\n\nWhat else can brown do for you? :upsbot:\n\nDM me to discuss: @UPS Contracts Hub Bot""}"
