source_channel,source_file,message_author,message_date_raw,message_date_et,season_inferred,event_type,team_raw,player_raw,option,tcv,guaranteed,per_year,year_values_json,content
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-18T17:13:24.4130000-04:00,2024-08-18 17:13:24,2024,submission,Real Deal Creel,"Chandler, Ty",3,27000,20250,9000,"{""2024"": 9000, ""2025"": 9000, ""2026"": 9000}","HEAR YE! HEAR YE! 

**Real Deal Creel** has just made a contract submission!

A new contract for **Chandler, Ty** for **3 years**.
Yearly Breakdown:
- Year 1: $9000
- Year 2: $9000
- Year 3: $9000
Total Contract Value (TCV): **$27000**
Guaranteed Amount: $20250

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-18T17:26:42.4010000-04:00,2024-08-18 17:26:42,2024,submission,Pure Greatness,"Adams, Davante",3,90000,67500,30000,"{""2024"": 50000, ""2025"": 20000, ""2026"": 20000}","HEAR YE! HEAR YE! 

**Pure Greatness** has just made a contract submission!

A new contract for **Adams, Davante** for **3 years**.
Yearly Breakdown:
- Year 1: $50000
- Year 2: $20000
- Year 3: $20000
Total Contract Value (TCV): **$90000**
Guaranteed Amount: $67500

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-18T18:03:46.9110000-04:00,2024-08-18 18:03:46,2024,submission,Pure Greatness,"Bosa, Nick",3,15000,11250,5000,"{""2024"": 5000, ""2025"": 5000, ""2026"": 5000}","HEAR YE! HEAR YE! 

**Pure Greatness** has just made a contract submission!

A new contract for **Bosa, Nick** for **3 years**.
Yearly Breakdown:
- Year 1: $5000
- Year 2: $5000
- Year 3: $5000
Total Contract Value (TCV): **$15000**
Guaranteed Amount: $11250

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-18T18:07:35.5070000-04:00,2024-08-18 18:07:35,2024,submission,Pure Greatness,"Garrett, Myles",2,18000,13500,9000,"{""2024"": 14000, ""2025"": 4000}","HEAR YE! HEAR YE! 

**Pure Greatness** has just made a contract submission!

A new contract for **Garrett, Myles** for **2 years**.
Yearly Breakdown:
- Year 1: $14000
- Year 2: $4000
Total Contract Value (TCV): **$18000**
Guaranteed Amount: $13500

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-20T13:23:18.0930000-04:00,2024-08-20 13:23:18,2024,submission,HammerTime 🔨 ⏰,"Hunter, Danielle",2,8000,6000,4000,"{""2024"": 2000, ""2025"": 6000}","HEAR YE! HEAR YE! 

**HammerTime 🔨 ⏰** has just made a contract submission!

A new contract for **Hunter, Danielle** for **2 years**.
Yearly Breakdown:
- Year 1: $2000
- Year 2: $6000
Total Contract Value (TCV): **$8000**
Guaranteed Amount: $6000

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-21T13:41:49.6080000-04:00,2024-08-21 13:41:49,2024,submission,C-Town Chivalry,"Pollard, Tony",2,34000,25500,17000,"{""2024"": 7000, ""2025"": 27000}","HEAR YE! HEAR YE! 

**C-Town Chivalry** has just made a contract submission!

A new contract for **Pollard, Tony** for **2 years**.
Yearly Breakdown:
- Year 1: $7000
- Year 2: $27000
Total Contract Value (TCV): **$34000**
Guaranteed Amount: $25500

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-22T08:00:32.5620000-04:00,2024-08-22 08:00:32,2024,submission,Blake Bombers,"Dortch, Greg",2,2000,1000,1000,"{""2024"": 1000, ""2025"": 1000}","HEAR YE! HEAR YE! 

**Blake Bombers** has just made a contract submission!

A new contract for **Dortch, Greg** for **2 years**.
Yearly Breakdown:
- Year 1: $1000
- Year 2: $1000
Total Contract Value (TCV): **$2000**
Guaranteed Years: 1 (1K Penalty for early cut)

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-23T10:46:37.5880000-04:00,2024-08-23 10:46:37,2024,submission,Hawks,"Dobbins, J.K.",3,27000,20250,9000,"{""2024"": 9000, ""2025"": 9000, ""2026"": 9000}","HEAR YE! HEAR YE! 

**Hawks** has just made a contract submission!

A new contract for **Dobbins, J.K.** for **3 years**.
Yearly Breakdown:
- Year 1: $9000
- Year 2: $9000
- Year 3: $9000
Total Contract Value (TCV): **$27000**
Guaranteed Amount: $20250

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-24T22:28:20.2060000-04:00,2024-08-24 22:28:20,2024,submission,Hawks,"Schultz, Dalton",3,12000,9000,4000,"{""2024"": 4000, ""2025"": 4000, ""2026"": 4000}","HEAR YE! HEAR YE! 

**Hawks** has just made a contract submission!

A new contract for **Schultz, Dalton** for **3 years**.
Yearly Breakdown:
- Year 1: $4000
- Year 2: $4000
- Year 3: $4000
Total Contract Value (TCV): **$12000**
Guaranteed Amount: $9000

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-24T22:51:43.8240000-04:00,2024-08-24 22:51:43,2024,submission,Hawks,"Evans, Mike",3,72000,54000,24000,"{""2024"": 24000, ""2025"": 24000, ""2026"": 24000}","HEAR YE! HEAR YE! 

**Hawks** has just made a contract submission!

A new contract for **Evans, Mike** for **3 years**.
Yearly Breakdown:
- Year 1: $24000
- Year 2: $24000
- Year 3: $24000
Total Contract Value (TCV): **$72000**
Guaranteed Amount: $54000

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
