projection_season,franchise_id,team_name,player_id,player_name,position,nfl_team,status_base,cap_status_factor,salary_base,contract_year_base,contract_status_base,contract_info_base,projected_contract_year,action,projected_salary_2026,tag_eligible_ind,tag_selected_ind,tag_side,tag_salary,rookie_extend_candidate_ind,rookie_extend_selected_ind,rookie_extend_salary,adp_source_season,average_pick,normalized_adp,points_adp_proxy,adp_normalization_source,projected_pool_ind,estimated_market_value,expected_reg_points,expected_reg_ppg,points_model_group,points_model_samples,points_model_method,next_salary_method
2026,0001,L.A. Looks,16596,"Allen, Braelon",RB,NYJ,TAXI_SQUAD,0.0,2000,2,Rookie,CL 3| TCV 6K| AAV 2K,1,retain_existing,2000,0,0,OFFENSE,0,0,0,0,2026,201.0,17.666666666666668,201.0,sleeper_sf_slot,0,0.0,90.55,6.819,RB,256,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,13671,"Andrews, Mark",TE,BAL,ROSTER,1.0,27000,1,Veteran,"CL 3| TCV 63K| AAV 27K| Y1-9K, Y2-27K, Y3-27K| Ext: Blake, UW",0,expiring_to_pool,0,1,0,OFFENSE,30000,0,0,0,2026,165.0,14.666666666666666,165.0,sleeper_sf_slot,1,9924.0,113.04,8.067,TE,124,inv_sqrt_adp_weighted_linear,exact_salary_match
2026,0001,L.A. Looks,16414,"Aubrey, Brandon",PK,DAL,ROSTER,1.0,2000,2,Veteran,CL 2| TCV 4K| AAV 2K,1,retain_existing,2000,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,59.54,5.803,PK,77,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,16164,"Bigsby, Tank",RB,PHI,ROSTER,1.0,5000,1,Rookie,CL 3| TCV 15K| AAV 5K,1,manual_extension_keep,8000,0,0,OFFENSE,0,1,1,8000,2026,229.0,20.0,229.0,sleeper_sf_slot,0,0.0,87.59,6.622,RB,256,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,16244,"Branch, Brian",S,DET,INJURED_RESERVE,0.5,1000,1,Rookie,CL 3| TCV 3K| AAV 1K,1,manual_extension_keep,2000,0,0,IDP_K,0,1,1,2000,2026,,400.0,400.0,fallback_missing_adp,0,0.0,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,16181,"Brown, Chase",RB,CIN,ROSTER,1.0,2000,1,Rookie,CL 3| TCV 6K| AAV 2K,2,manual_extension_keep,3000,0,0,OFFENSE,0,1,1,3000,2026,45.0,4.666666666666667,45.0,sleeper_sf_slot,0,0.0,142.76,10.295,RB,256,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,12688,"Buckner, DeForest",DT,IND,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,2317.92,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,14777,"Burrow, Joe",QB,CIN,ROSTER,1.0,46000,1,Tag,CL 1| TCV 46K| AAV 46K| No Further Extensions,0,expiring_to_pool,0,0,0,OFFENSE,0,0,0,0,2026,3.0,1.1666666666666667,3.0,sleeper_sf_slot,1,35186.75,355.39,24.779,QB,114,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,14251,"Cashman, Blake",LB,MIN,ROSTER,1.0,2000,1,Veteran,CL 1|,0,expiring_to_pool,0,1,0,IDP_K,3000,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,2317.92,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,16169,"Charbonnet, Zach",RB,SEA,ROSTER,1.0,5000,1,Rookie,CL 3| TCV 15K| AAV 5K,1,manual_extension_keep,8000,0,0,OFFENSE,0,1,1,8000,2026,129.0,11.666666666666666,129.0,sleeper_sf_slot,0,0.0,102.19,7.594,RB,256,inv_sqrt_adp_weighted_linear,
