input_name,input_position,input_team,sleeper_slot,average_pick,resolved_player_name,resolved_player_id,status,confidence
Josh Allen,QB,BUF,1.1,1.0,"Allen, Josh",13589,matched,1.0
Drake Maye,QB,NE,1.2,2.0,"Maye, Drake",16580,matched,1.0
Joe Burrow,QB,CIN,1.3,3.0,"Burrow, Joe",14777,matched,1.0
Jayden Daniels,QB,WAS,1.4,4.0,"Daniels, Jayden",16581,matched,1.0
Ja'Marr Chase,WR,CIN,1.5,5.0,"Chase, Ja'Marr",15281,matched,1.0
Puka Nacua,WR,LAR,1.6,6.0,"Nacua, Puka",16211,matched,1.0
Jaxon Smith-Njigba,WR,SEA,1.7,7.0,"Smith-Njigba, Jaxon",16185,matched,1.0
Lamar Jackson,QB,BAL,1.8,8.0,"Jackson, Lamar",13593,matched,1.0
Jalen Hurts,QB,PHI,1.9,9.0,"Hurts, Jalen",14783,matched,1.0
Justin Jefferson,WR,MIN,1.10,10.0,"Jefferson, Justin",14836,matched,1.0
Bijan Robinson,RB,ATL,1.11,11.0,"Robinson, Bijan",16161,matched,1.0
Patrick Mahomes,QB,KC,1.12,12.0,"Mahomes, Patrick",13116,matched,1.0
Jahmyr Gibbs,RB,DET,2.1,13.0,"Gibbs, Jahmyr",16162,matched,1.0
Amon-Ra St. Brown,WR,DET,2.2,14.0,"St. Brown, Amon-Ra",15287,matched,1.0
CeeDee Lamb,WR,DAL,2.3,15.0,"Lamb, CeeDee",14832,matched,1.0
Caleb Williams,QB,CHI,2.4,16.0,"Williams, Caleb",16579,matched,1.0
Malik Nabers,WR,NYG,2.5,17.0,"Nabers, Malik",16615,matched,1.0
Justin Herbert,QB,LAC,2.6,18.0,"Herbert, Justin",14779,matched,1.0
Jaxson Dart,QB,NYG,2.7,19.0,"Dart, Jaxson",17032,matched,1.0
Jeremiyah Love,RB,RK,2.8,20.0,,,unmatched,0.0
Trevor Lawrence,QB,JAC,2.9,21.0,"Lawrence, Trevor",15237,matched,1.0
De'Von Achane,RB,MIA,2.10,22.0,"Achane, De'Von",16167,matched,1.0
Drake London,WR,ATL,2.11,23.0,"London, Drake",15751,matched,1.0
Ashton Jeanty,RB,LVR,2.12,24.0,"Jeanty, Ashton",17042,matched,1.0
Makai Lemon,WR,RK,3.1,25.0,,,unmatched,0.0
Nico Collins,WR,HOU,3.2,26.0,"Collins, Nico",15290,matched,1.0
Brock Purdy,QB,SF,3.3,27.0,"Purdy, Brock",15698,matched,1.0
Bo Nix,QB,DEN,3.4,28.0,"Nix, Bo",16582,matched,1.0
Carnell Tate,WR,RK,3.5,29.0,,,unmatched,0.0
Jonathan Taylor,RB,IND,3.6,30.0,"Taylor, Jonathan",14802,matched,1.0
George Pickens,WR,UNS,3.7,31.0,"Pickens, George",15762,matched,1.0
Trey McBride,TE,ARI,3.8,32.0,"McBride, Trey",15794,matched,1.0
James Cook,RB,BUF,3.9,33.0,"Cook, James",15715,matched,1.0
Brock Bowers,TE,LVR,3.10,34.0,"Bowers, Brock",16641,matched,1.0
Chris Olave,WR,NO,3.11,35.0,"Olave, Chris",15754,matched,1.0
Tetairoa McMillan,WR,CAR,3.12,36.0,"McMillan, Tetairoa",17071,matched,1.0
Dak Prescott,QB,DAL,4.1,37.0,"Prescott, Dak",12620,matched,1.0
Rashee Rice,WR,KC,4.2,38.0,"Rice, Rashee",16194,matched,1.0
Fernando Mendoza,QB,RK,4.3,39.0,,,unmatched,0.0
Omarion Hampton,RB,LAC,4.4,40.0,"Hampton, Omarion",17044,matched,1.0
Garrett Wilson,WR,NYJ,4.5,41.0,"Wilson, Garrett",15753,matched,1.0
A.J. Brown,WR,PHI,4.6,42.0,"Brown, A.J.",14104,matched,1.0
Ladd McConkey,WR,LAC,4.7,43.0,"McConkey, Ladd",16627,matched,1.0
Emeka Egbuka,WR,TB,4.8,44.0,"Egbuka, Emeka",17081,matched,1.0
Chase Brown,RB,CIN,4.9,45.0,"Brown, Chase",16181,matched,1.0
Jordyn Tyson,WR,RK,4.10,46.0,"Mason, Jordan",15972,rejected_low_confidence,0.7273
Jordan Love,QB,GB,4.11,47.0,"Love, Jordan",14782,matched,1.0
Tee Higgins,WR,CIN,4.12,48.0,"Higgins, Tee",14835,matched,1.0
Jonah Coleman,RB,RK,5.1,49.0,"Coleman, Keon",16617,rejected_low_confidence,0.7826
TreVeyon Henderson,RB,NE,5.2,50.0,"Henderson, TreVeyon",17043,matched,1.0
Denzel Boston,WR,RK,5.3,51.0,,,unmatched,0.0
Jameson Williams,WR,DET,5.4,52.0,"Williams, Jameson",15756,matched,1.0
Bucky Irving,RB,TB,5.5,53.0,"Irving, Bucky",16598,matched,1.0
Baker Mayfield,QB,TB,5.6,54.0,"Mayfield, Baker",13590,matched,1.0
Christian McCaffrey,RB,SF,5.7,55.0,"McCaffrey, Christian",13130,matched,1.0
Marvin Harrison Jr.,WR,ARI,5.8,56.0,"Harrison Jr., Marvin",16614,matched,1.0
Brian Thomas Jr.,WR,JAC,5.9,57.0,"Thomas Jr., Brian",16618,matched,1.0
KC Concepcion,WR,RK,5.10,58.0,,,unmatched,0.0
Rome Odunze,WR,CHI,5.11,59.0,"Odunze, Rome",16616,matched,1.0
DeVonta Smith,WR,PHI,5.12,60.0,"Smith, DeVonta",15282,matched,1.0
Breece Hall,RB,UNS,6.1,61.0,"Hall, Breece",15708,matched,1.0
Saquon Barkley,RB,PHI,6.2,62.0,"Barkley, Saquon",13604,matched,1.0
C.J. Stroud,QB,HOU,6.3,63.0,"Stroud, C.J.",16150,matched,1.0
Sam Darnold,QB,SEA,6.5,65.0,"Darnold, Sam",13592,matched,1.0
Luther Burden III,WR,CHI,6.6,66.0,"Burden, Luther",17070,matched,1.0
Jared Goff,QB,DET,6.7,67.0,"Goff, Jared",12611,matched,1.0
Josh Jacobs,RB,GB,6.8,68.0,"Jacobs, Josh",14073,matched,1.0
Zay Flowers,WR,BAL,6.9,69.0,"Flowers, Zay",16190,matched,1.0
Colston Loveland,TE,CHI,6.10,70.0,"Loveland, Colston",17104,matched,1.0
Jaylen Waddle,WR,MIA,6.11,71.0,"Waddle, Jaylen",15284,matched,1.0
Tyler Warren,TE,IND,6.12,72.0,"Warren, Tyler",17102,matched,1.0
Kyren Williams,RB,LAR,7.1,73.0,"Williams, Kyren",15710,matched,1.0
Kenyon Sadiq,TE,RK,7.2,74.0,,,unmatched,0.0
Quinshon Judkins,RB,CLE,7.3,75.0,"Judkins, Quinshon",17051,matched,1.0
RJ Harvey,RB,DEN,7.4,76.0,"Harvey, RJ",17068,matched,1.0
Kenneth Walker III,RB,UNS,7.5,77.0,"Walker III, Kenneth",15711,matched,1.0
Harold Fannin Jr.,TE,CLE,7.6,78.0,"Fannin, Harold",17103,matched,1.0
Tucker Kraft,TE,GB,7.7,79.0,"Kraft, Tucker",16222,matched,1.0
Cameron Skattebo,RB,NYG,7.8,80.0,"Skattebo, Cam",17045,rejected_low_confidence,0.8462
Ty Simpson,QB,RK,7.9,81.0,,,unmatched,0.0
Sam LaPorta,TE,DET,7.10,82.0,"LaPorta, Sam",16214,matched,1.0
Christian Watson,WR,GB,7.11,83.0,"Watson, Christian",15789,matched,1.0
D.K. Metcalf,WR,PIT,8.1,85.0,"Metcalf, DK",14102,matched,1.0
Travis Hunter,WR,JAC,8.2,86.0,"Hunter, Travis",17074,matched,1.0
Jadarian Price,RB,RK,8.3,87.0,,,unmatched,0.0
Javonte Williams,RB,UNS,8.4,88.0,"Williams, Javonte",15256,matched,1.0
Michael Wilson,WR,ARI,8.5,89.0,"Wilson, Michael",16206,matched,1.0
Kyler Murray,QB,ARI,8.6,90.0,"Murray, Kyler",14056,matched,1.0
Courtland Sutton,WR,DEN,8.7,91.0,"Sutton, Courtland",13630,matched,1.0
Cameron Ward,QB,TEN,8.8,92.0,"Ward, Cam",17030,rejected_low_confidence,0.7778
Emmett Johnson,RB,RK,8.9,93.0,"Johnson, Ty",14095,rejected_low_confidence,0.7273
Jordan Addison,WR,MIN,8.10,94.0,"Addison, Jordan",16186,matched,1.0
Ricky Pearsall,WR,SF,8.11,95.0,"Pearsall, Ricky",16622,matched,1.0
Tyler Shough,QB,NO,8.12,96.0,"Shough, Tyler",17039,matched,1.0
Travis Etienne,RB,UNS,9.1,97.0,"Etienne, Travis",15253,matched,1.0
Kyle Pitts,TE,UNS,9.2,98.0,"Pitts, Kyle",15329,matched,1.0
Nicholas Singleton,RB,RK,9.3,99.0,,,unmatched,0.0
Bryce Young,QB,CAR,9.4,100.0,"Young, Bryce",16148,matched,1.0
Jakobi Meyers,WR,JAC,9.5,101.0,"Meyers, Jakobi",14127,matched,1.0
Eli Stowers,TE,RK,9.6,102.0,,,unmatched,0.0
Matthew Stafford,QB,LAR,9.7,103.0,"Stafford, Matthew",9431,matched,1.0
Wan'Dale Robinson,WR,UNS,9.8,104.0,"Robinson, Wan'Dale",15757,matched,1.0
Derrick Henry,RB,BAL,9.9,105.0,"Henry, Derrick",12626,matched,1.0
Michael Pittman Jr.,WR,IND,9.10,106.0,"Pittman, Michael",14842,matched,1.0
Dalton Kincaid,TE,BUF,9.11,107.0,"Kincaid, Dalton",16213,matched,1.0
D.J. Moore,WR,CHI,9.12,108.0,"Moore, D.J.",13635,matched,1.0
Davante Adams,WR,LAR,10.1,109.0,"Adams, Davante",11675,matched,1.0
Chris Bell,WR,RK,10.2,110.0,"Boswell, Chris",11936,rejected_low_confidence,0.8571
Michael Penix Jr.,QB,ATL,10.3,111.0,"Penix Jr., Michael",16583,matched,1.0
Elijah Sarratt,WR,RK,10.4,112.0,"Arroyo, Elijah",17108,rejected_low_confidence,0.72
Quentin Johnston,WR,LAC,10.5,113.0,"Johnston, Quentin",16188,matched,1.0
Omar Cooper Jr.,WR,RK,10.6,114.0,"Rush, Cooper",13124,rejected_low_confidence,0.7
Daniel Jones,QB,IND,10.7,115.0,"Jones, Daniel",14059,matched,1.0
Terry McLaurin,WR,WAS,10.8,116.0,"McLaurin, Terry",14109,matched,1.0
D'Andre Swift,RB,CHI,10.9,117.0,"Swift, D'Andre",14797,matched,1.0
Xavier Worthy,WR,KC,10.10,118.0,"Worthy, Xavier",16620,matched,1.0
Jauan Jennings,WR,UNS,10.11,119.0,"Jennings, Jauan",14860,matched,1.0
Zachariah Branch,WR,RK,10.12,120.0,"Branch, Brian",16244,rejected_low_confidence,0.6923
J.J. McCarthy,QB,MIN,11.1,121.0,"McCarthy, J.J.",16584,matched,1.0
Germie Bernard,WR,RK,11.2,122.0,,,unmatched,0.0
Woody Marks,RB,HOU,11.3,123.0,"Marks, Woody",17053,matched,1.0
Khalil Shakir,WR,BUF,11.4,124.0,"Shakir, Khalil",15761,matched,1.0
Jaylen Warren,RB,PIT,11.5,125.0,"Warren, Jaylen",15742,matched,1.0
Blake Corum,RB,LAR,11.6,126.0,"Corum, Blake",16593,matched,1.0
Brenton Strange,TE,JAC,11.7,127.0,"Strange, Brenton",16269,matched,1.0
Kyle Monangai,RB,CHI,11.8,128.0,"Monangai, Kyle",17066,matched,1.0
Zach Charbonnet,RB,SEA,11.9,129.0,"Charbonnet, Zach",16169,matched,1.0
Chris Brazzell II,WR,RK,11.10,130.0,"Boswell, Chris",11936,rejected_low_confidence,0.72
Alec Pierce,WR,UNS,11.11,131.0,"Pierce, Alec",15768,matched,1.0
Antonio Williams,WR,RK,12.1,133.0,"Williams, Savion",17096,rejected_low_confidence,0.7586
Jayden Higgins,WR,HOU,12.2,134.0,"Higgins, Jayden",17083,matched,1.0
Ja'Kobi Lane,WR,RK,12.3,135.0,"Lane, Jaylin",17184,rejected_low_confidence,0.7
Matthew Golden,WR,GB,12.4,136.0,"Golden, Matthew",17075,matched,1.0
Trey Benson,RB,ARI,12.5,137.0,"Benson, Trey",16594,matched,1.0
Demond Claiborne,RB,RK,12.6,138.0,,,unmatched,0.0
Rhamondre Stevenson,RB,NE,12.7,139.0,"Stevenson, Rhamondre",15259,matched,1.0
Jayden Reed,WR,GB,12.8,140.0,"Reed, Jayden",16184,matched,1.0
