projection_season,franchise_id,team_name,cap_start,retained_players,retained_cap_commitment,projected_cap_space_before_auction,projected_auction_spend,projected_cap_space_after_auction
2026,0001,L.A. Looks,300000.49,22,131000.0,169000.49,121007.5,47992.99
2026,0002,CBP,300000.49,14,139000.0,161000.49,18952.98,142047.51
2026,0003,Gride,300000.49,18,164500.0,135500.49,150165.93,-14665.44
2026,0004,Pure Greatness,300000.49,22,246500.0,53500.49,221604.09,-168103.6
2026,0005,HammerTime 🔨 ⏰,300000.49,23,258000.0,42000.49,87475.3,-45474.81
2026,0006,The Long Haulers,300000.49,24,191000.0,109000.49,68522.32,40478.17
2026,0007,Sex Manther,300000.49,25,143000.0,157000.49,94764.91,62235.58
2026,0008,Real Deal Creel,300000.49,15,89000.0,211000.49,96222.83,114777.66
2026,0009,C-Town Chivalry,300000.49,22,208500.0,91500.49,20410.9,71089.59
2026,0010,Blake Bombers,300000.49,26,130500.0,169500.49,151623.85,17876.64
2026,0011,Cleon Ca$h,300000.49,22,223500.0,76500.49,115175.81,-38675.32
2026,0012,Hawks,300000.49,22,162000.0,138000.49,17495.06,120505.43
