player_name,position,rank_pos,model_score,tier,nfl_team,source_url,notes
Jeremiyah Love,RB,1,100.0,Tier1,ARI,https://dynastyleaguefootball.com/2026/04/27/2026-dynasty-fantasy-football-rookie-rankings-consensus-first-round/,Tier 1 alone; consensus 1.01; pick #3 overall; Saquon/Bijan mold
Carnell Tate,WR,1,95.0,Tier2,TEN,https://dynastyleaguefootball.com/2026/04/27/2026-dynasty-fantasy-football-rookie-rankings-consensus-first-round/,Top-3 conventional; pick #4 overall; first WR drafted; clearest path to team WR1
Jordyn Tyson,WR,2,91.7,Tier2,NO,https://dynastyleaguefootball.com/2026/04/27/2026-dynasty-fantasy-football-rookie-rankings-consensus-first-round/,Tier 2 with Tate; can go 1.02-1.04; pick #8 overall
Makai Lemon,WR,3,88.3,Tier3,PHI,https://dynastyleaguefootball.com/2026/04/27/2026-dynasty-fantasy-football-rookie-rankings-consensus-first-round/,1.04-1.06 range; pick #20 overall; behind Saquon/DeVonta
KC Concepcion,WR,4,85.0,Tier3,CLE,https://dynastyleaguefootball.com/2026/04/27/2026-dynasty-fantasy-football-rookie-rankings-consensus-first-round/,WR4 in class
Jadarian Price,RB,2,81.7,Tier3,SEA,https://dynastyleaguefootball.com/2026/04/27/2026-dynasty-fantasy-football-rookie-rankings-consensus-first-round/,RB2; pick #32
Kenyon Sadiq,TE,1,78.3,Tier3,NYJ,https://dynastyleaguefootball.com/2026/04/27/2026-dynasty-fantasy-football-rookie-rankings-consensus-first-round/,TE1; merits 1st round; long-term TE1 dynasty
Omar Cooper Jr.,WR,5,75.0,Tier4,NYJ,https://dynastyleaguefootball.com/2026/04/27/2026-dynasty-fantasy-football-rookie-rankings-consensus-first-round/,
Eli Stowers,TE,2,71.7,Tier4,PHI,https://dynastyleaguefootball.com/2026/04/27/2026-dynasty-fantasy-football-rookie-rankings-consensus-first-round/,Future TE for PHI post-Goedert
Fernando Mendoza,QB,1,68.3,Tier4,LV,https://dynastyleaguefootball.com/2026/04/28/2026-dynasty-fantasy-football-superflex-rookie-rankings-consensus-first-round/,QB1 in superflex; behind Cousins; 1QB rank lower
Denzel Boston,WR,6,65.0,Tier4,CLE,https://dynastyleaguefootball.com/2026/04/27/2026-dynasty-fantasy-football-rookie-rankings-consensus-first-round/,2nd CLE WR drafted; may start at X
Jonah Coleman,RB,3,61.7,Tier4,DEN,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,
Mike Washington Jr.,RB,4,58.3,Tier5,LV,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,Tier 5 = entire 2nd round per DLF
Antonio Williams,WR,7,55.0,Tier5,WAS,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,
Germie Bernard,WR,8,51.7,Tier5,PIT,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,
Chris Brazzell II,WR,9,48.3,Tier5,CAR,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,
Chris Bell,WR,10,45.0,Tier5,MIA,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,
Malachi Fields,WR,11,41.7,Tier5,NYG,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,
Oscar Delp,TE,3,38.3,Tier5,NO,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,TE3 per DLF tier 5
Ty Simpson,QB,2,35.0,Tier5,LAR,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,QB2 per DLF tier 5
Emmett Johnson,RB,5,31.7,Tier5,KC,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,
Nicholas Singleton,RB,6,28.3,Tier5,TEN,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,
De'Zhaun Stribling,WR,12,25.0,Tier5,SF,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,
Kaytron Allen,RB,7,21.7,Tier5,WAS,https://dynastyleaguefootball.com/2026/04/29/2026-dynasty-fantasy-football-rookie-rankings-consensus-second-round/,
