player_name,position,rank_pos,model_score,tier,nfl_team,source_url,notes
Jeremiyah Love,RB,1,100.0,Elite,ARI,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_1
Carnell Tate,WR,1,99.0,TopWR,TEN,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_2
Jordyn Tyson,WR,2,98.0,TopWR,NO,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_3
Makai Lemon,WR,3,97.0,TopWR,PHI,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_4
Jadarian Price,RB,2,96.0,FirstRoundRB,SEA,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_5
KC Concepcion,WR,4,95.0,FirstRoundWR,CLE,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_6
Kenyon Sadiq,TE,1,94.0,FirstRoundTE,NYJ,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_7
Eli Stowers,TE,2,93.0,FirstRoundTE,PHI,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_8
Omar Cooper Jr.,WR,5,92.0,FirstRoundWR,NYJ,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_9
Denzel Boston,WR,6,91.0,FirstRoundWR,CLE,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_10
Fernando Mendoza,QB,1,90.0,Tier2,LV,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_11
Germie Bernard,WR,7,89.0,Tier2,PIT,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_12
Antonio Williams,WR,8,88.0,Tier2,WAS,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_13
Jonah Coleman,RB,3,87.0,Tier2,DEN,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_14
De'Zhaun Stribling,WR,9,86.0,Tier2,SF,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_15
Chris Bell,WR,10,85.0,Tier2,MIA,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_16
Nicholas Singleton,RB,4,84.0,Tier2,TEN,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_17
Ty Simpson,QB,2,83.0,Tier2,LAR,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_18
Zachariah Branch,WR,11,82.0,Tier3,ATL,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_19
Kaytron Allen,RB,5,81.0,Tier3,WAS,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_20
Mike Washington Jr.,RB,6,80.0,Tier3,LV,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_21
Emmett Johnson,RB,7,79.0,Tier3,KC,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_22
Ted Hurst,WR,12,78.0,Tier3,TB,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_23
Bryce Lance,WR,13,77.0,Tier3,NO,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_24
Chris Brazzell II,WR,14,76.0,Tier3,CAR,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_25
Ja'Kobi Lane,WR,15,75.0,Tier3,BAL,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_26
Elijah Sarratt,WR,16,74.0,Tier3,BAL,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_27
Max Klare,TE,3,73.0,Tier3,LAR,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_28
Skyler Bell,WR,17,72.0,Tier3,BUF,https://www.draftsharks.com/article/2026-rookie-rankings,Overall_29
