player_name,position,rank_pos,model_score,tier,nfl_team,source_url,notes
Caleb Williams,QB,1,100.0,Tier1,CHI,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,1.01 SF; #1 overall
Marvin Harrison Jr.,WR,1,97.9,Tier1,ARI,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,WR1; pick #4
Malik Nabers,WR,2,95.8,Tier1,NYG,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,WR2; pick #6
Jayden Daniels,QB,2,93.8,Tier1,WAS,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,QB2; pick #2
Rome Odunze,WR,3,91.7,Tier1,CHI,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,WR3; pick #9
Drake Maye,QB,3,89.6,Tier2,NE,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,QB3; pick #3
Brock Bowers,TE,1,87.5,Tier2,LV,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,TE1; pick #13
J.J. McCarthy,QB,4,85.4,Tier2,MIN,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,pick #10
Brian Thomas Jr.,WR,4,83.3,Tier2,JAX,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,pick #23
Xavier Worthy,WR,5,81.3,Tier2,KC,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,pick #28
Michael Penix Jr.,QB,5,79.2,Tier2,ATL,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,pick #8
Ladd McConkey,WR,6,77.1,Tier2,LAC,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,pick #34
Jonathon Brooks,RB,1,75.0,Tier3,CAR,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,RB1; pick #46
Adonai Mitchell,WR,7,72.9,Tier3,IND,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Trey Benson,RB,2,70.8,Tier3,ARI,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Bo Nix,QB,6,68.8,Tier3,DEN,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Keon Coleman,WR,8,66.7,Tier3,BUF,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Ricky Pearsall,WR,9,64.6,Tier3,SF,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Troy Franklin,WR,10,62.5,Tier3,DEN,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Blake Corum,RB,3,60.4,Tier3,LAR,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
MarShawn Lloyd,RB,4,58.3,Tier3,GB,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Jaylen Wright,RB,5,56.3,Tier3,MIA,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Xavier Legette,WR,11,54.2,Tier3,CAR,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Braelon Allen,RB,6,52.1,Tier3,NYJ,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Roman Wilson,WR,12,50.0,Tier4,PIT,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Spencer Rattler,QB,7,47.9,Tier4,NO,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Jermaine Burton,WR,13,45.8,Tier4,CIN,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Ray Davis,RB,7,43.8,Tier4,BUF,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Ja'Tavion Sanders,TE,2,41.7,Tier4,CAR,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Javon Baker,WR,14,39.6,Tier4,NE,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Will Shipley,RB,8,37.5,Tier4,PHI,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Ja'Lynn Polk,WR,15,35.4,Tier4,NE,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Jalen McMillan,WR,16,33.3,Tier4,TB,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Malachi Corley,WR,17,31.3,Tier4,NYJ,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Bucky Irving,RB,9,29.2,Tier4,TB,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Ben Sinnott,TE,3,27.1,Tier4,WAS,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Kimani Vidal,RB,10,25.0,Tier5,LAC,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Devontez Walker,WR,18,22.9,Tier5,BAL,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Malik Washington,WR,19,20.8,Tier5,MIA,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Luke McCaffrey,WR,20,18.8,Tier5,WAS,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Audric Estime,RB,11,16.7,Tier5,DEN,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Theo Johnson,TE,4,14.6,Tier5,NYG,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Brenden Rice,WR,21,12.5,Tier5,LAC,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Tyrone Tracy Jr.,RB,12,10.4,Tier5,NYG,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Dylan Laube,RB,13,8.3,Tier5,LV,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Isaac Guerendo,RB,14,6.3,Tier5,SF,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Erick All,TE,5,4.2,Tier5,CIN,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
Isaiah Davis,RB,15,2.1,Tier5,NYJ,https://www.fantasypros.com/2024/04/dynasty-rookie-mock-draft-superflex-four-rounds-2024-fantasy-football/,
