player_name,position,rank_pos,model_score,tier,nfl_team,source_url,notes
Jeremiyah Love,RB,1,,1,,https://www.playerprofiler.com/article/dynasty-rookie-running-backs-2026-top-10/,"PROXY SOURCE: Hermsmeyer has not published 2026 rookie rankings (last RotoViz authored content 2017). Substituted PlayerProfiler analytics-driven model (Best Comparable Player, Breakout Age, College Dominator, Speed Score) which carries forward the friscojosh/RotoViz analytical tradition. RB1 - clear 1.01 in dynasty rookie drafts; 2497 rush yds and 35 TD over two seasons at Notre Dame"
Jordyn Tyson,WR,1,,1,New Orleans Saints,https://www.playerprofiler.com/article/2026-dynasty-rookie-wide-receiver-rankings/,"PlayerProfiler WR1; elite separator; 18.1 Breakout Age; 46.8% College Dominator; 34.2% Target Share; potential alpha; pick 8 to NOLA"
Carnell Tate,WR,2,,1,Tennessee Titans,https://www.playerprofiler.com/article/2026-dynasty-rookie-wide-receiver-rankings/,"PlayerProfiler WR2; nuanced route-runner; excellent ball-tracking; Best Comparable Player Tee Higgins flashes of DeVonta Smith"
Makai Lemon,WR,3,,1,Philadelphia Eagles,https://www.playerprofiler.com/article/2026-dynasty-rookie-wide-receiver-rankings/,"PlayerProfiler WR3; slot specialist; fearless over middle; Biletnikoff winner"
Omar Cooper Jr.,WR,4,,2,New York Jets,https://www.playerprofiler.com/article/2026-dynasty-rookie-wide-receiver-rankings/,"PlayerProfiler WR4 Tier 2; do-it-all receiver; rapidly climbing rookie rankings"
KC Concepcion,WR,5,,2,Cleveland Browns,https://www.playerprofiler.com/article/2026-dynasty-rookie-wide-receiver-rankings/,"Tier 2; dynamic playmaker with ball in hands"
Germie Bernard,WR,6,,2,Pittsburgh Steelers,https://www.playerprofiler.com/article/2026-dynasty-rookie-wide-receiver-rankings/,"Tier 2; only 4 drops in college career; tough runner"
Chris Bell,WR,7,,3,Miami Dolphins,https://www.playerprofiler.com/article/2026-dynasty-rookie-wide-receiver-rankings/,"Tier 3; 6-2/220; ACL injury Week 11; 4.40 40-time; 9.65 RAS; 98th pctl Burst Score"
Denzel Boston,WR,8,,3,Cleveland Browns,https://www.playerprofiler.com/article/2026-dynasty-rookie-wide-receiver-rankings/,"Tier 3; ranked lower than consensus; limited route versatility"
Malachi Fields,WR,9,,3,New York Giants,https://www.playerprofiler.com/article/2026-dynasty-rookie-wide-receiver-rankings/,"Tier 3; 6-4/205; pro-ready; strong Senior Bowl"
Elijah Sarratt,WR,10,,3,Baltimore Ravens,https://www.playerprofiler.com/article/2026-dynasty-rookie-wide-receiver-rankings/,"Tier 3; similar to Cooper Jr.; excellent hands and body control"
