player_name,position,zap_rank_pos,zap_score,nfl_team_per_jj,draft_capital_delta
Breece Hall,RB,1,96.9,NYJ,1.8
Kenneth Walker,RB,2,93.2,SEA,-0.5
Rachaad White,RB,3,85.4,TB,4.2
James Cook,RB,4,83.1,BUF,-4.4
Brian Robinson,RB,5,72.1,WAS,-6.8
Tyler Allgeier,RB,6,70.1,ATL,7.6
Tyler Badie,RB,7,68.8,BAL,18.2
Dameon Pierce,RB,8,68.0,HOU,-8.9
Ty Davis-Price,RB,9,67.4,SFO,-13.5
Kevin Harris,RB,10,66.7,NEP,12.8
Hassan Haskins,RB,11,64.6,TEN,-3.9
Pierre Strong,RB,12,62.5,NEP,-7.0
Jerome Ford,RB,13,59.9,CLE,-0.5
Isaiah Spiller,RB,14,58.6,LAC,-13.3
Zamir White,RB,15,58.1,LVR,-14.3
Ty Chandler,RB,16,55.2,MIN,-3.1
Snoop Conner,RB,17,52.3,JAX,-9.1
Keaontay Ingram,RB,18,50.5,ARI,1.0
Kyren Williams,RB,19,50.0,LAR,-8.9
Isaih Pacheco,RB,20,48.2,KCC,10.4
Trestan Ebner,RB,21,47.4,CHI,-0.8
Max Borghi,RB,22,44.5,UDFA,5.7
Sincere McCormick,RB,23,41.9,UDFA,5.7
Tyler Goodson,RB,24,40.6,UDFA,4.4
Leddie Brown,RB,25,35.2,UDFA,-1.0
Drake London,WR,1,98.4,ATL,0.4
Chris Olave,WR,2,97.9,NOS,0.7
Garrett Wilson,WR,3,97.4,NYJ,-0.2
Treylon Burks,WR,4,95.3,TEN,-0.2
Jameson Williams,WR,5,95.1,DET,-1.9
Jahan Dotson,WR,6,94.2,WAS,-1.6
Wan'Dale Robinson,WR,7,92.6,NYG,4.4
Skyy Moore,WR,8,85.5,KCC,0.4
John Metchie,WR,9,85.1,HOU,-2.8
Christian Watson,WR,10,83.5,GBP,-7.4
George Pickens,WR,11,82.5,PIT,-3.2
David Bell,WR,12,81.8,CLE,9.1
Tyquan Thornton,WR,13,77.8,NEP,-8.4
Alec Pierce,WR,14,77.2,IND,-8.2
Jalen Tolbert,WR,15,74.8,DAL,-0.4
Khalil Shakir,WR,16,67.8,BUF,6.7
Romeo Doubs,WR,17,66.0,GBP,1.6
Erik Ezukanma,WR,18,53.2,MIA,-12.6
Jalen Nailor,WR,19,52.7,MIN,2.6
Calvin Austin,WR,20,49.6,PIT,-13.7
Kyle Philips,WR,21,49.0,TEN,-9.1
Bo Melton,WR,22,45.2,SEA,3.2
Danny Gray,WR,23,42.2,SFO,-29.1
Velus Jones,WR,24,40.1,CHI,-39.6
Mike Polk,WR,25,37.3,UDFA,2.3
