player_name,position,zap_rank_pos,zap_score
Jonathon Brooks,RB,1,93.8
Trey Benson,RB,2,84.1
Blake Corum,RB,3,79.1
MarShawn Lloyd,RB,4,74.6
Braelon Allen,RB,5,72.3
Jaylen Wright,RB,6,70.7
Isaiah Davis,RB,7,70.0
Ray Davis,RB,8,69.8
Will Shipley,RB,9,67.8
Isaac Guerendo,RB,10,66.4
Dylan Laube,RB,11,63.9
Rasheen Ali,RB,12,62.5
Kimani Vidal,RB,13,59.8
Audric Estime,RB,14,58.7
Jase McClellan,RB,15,58.2
Keilan Robinson,RB,16,54.4
Tyrone Tracy,RB,17,51.7
Bucky Irving,RB,18,51.0
Frank Gore,RB,19,49.8
Jaden Shirden,RB,20,41.4
George Holani,RB,21,39.6
Michael Wiley,RB,22,33.1
Daijun Edwards,RB,23,22.2
Cody Schrader,RB,24,17.9
Miyan Williams,RB,25,15.8
Malik Nabers,WR,1,99.5
Marvin Harrison,WR,2,99.3
Rome Odunze,WR,3,96.0
Xavier Worthy,WR,4,95.6
Brian Thomas,WR,5,94.5
Ricky Pearsall,WR,6,89.7
Ladd McConkey,WR,7,87.5
Ja'Lynn Polk,WR,8,86.5
Keon Coleman,WR,9,86.4
Xavier Legette,WR,10,86.2
Adonai Mitchell,WR,11,84.0
Troy Franklin,WR,12,77.7
Jermaine Burton,WR,13,76.9
Roman Wilson,WR,14,75.7
Jalen McMillan,WR,15,74.6
Malachi Corley,WR,16,71.8
Luke McCaffrey,WR,17,69.5
Javon Baker,WR,18,67.6
Jacob Cowing,WR,19,65.5
Devontez Walker,WR,20,65.3
Ainias Smith,WR,21,64.1
Jha'Quan Jackson,WR,22,53.4
Malik Washington,WR,23,51.5
Jamari Thrash,WR,24,49.3
Anthony Gould,WR,25,49.2
Brock Bowers,TE,1,99.3
Ben Sinnott,TE,2,83.9
Tip Reiman,TE,3,81.8
Theo Johnson,TE,4,73.4
Jaheim Bell,TE,5,68.5
Ja'Tavion Sanders,TE,6,67.8
Erick All,TE,7,63.6
Cade Stover,TE,8,51.7
AJ Barner,TE,9,50.3
Jared Wiley,TE,10,44.1
Tanner McLachlan,TE,11,20.3
Devin Culp,TE,12,6.3
