player_name,position,zap_rank_pos,zap_score,zap_tier
Jeremiyah Love,RB,1,97.6,Legendary Performer
Jadarian Price,RB,2,69.3,Weekly Starter
Jonah Coleman,RB,3,48.7,Flex Play
Kaelon Black,RB,4,46.5,Flex Play
Mike Washington,RB,5,41.4,Flex Play
Emmett Johnson,RB,6,34.7,Benchwarmer
Nick Singleton,RB,7,33.2,Benchwarmer
Adam Randall,RB,8,29.9,Waiver Wire Add
Eli Heidenreich,RB,9,27.3,Waiver Wire Add
Demond Claiborne,RB,10,25.3,Waiver Wire Add
Kaytron Allen,RB,11,23.3,Waiver Wire Add
Seth McGowan,RB,12,20.0,Waiver Wire Add
Jam Miller,RB,13,17.1,Dart Throw
Desmond Reid,RB,14,15.2,Dart Throw
Roman Hemby,RB,15,12.4,Dart Throw
Robert Henry,RB,16,11.1,Dart Throw
CJ Donaldson,RB,17,10.9,Dart Throw
J'Mari Taylor,RB,18,10.2,Dart Throw
Noah Whittington,RB,19,7.3,Dart Throw
Le'Veon Moss,RB,20,4.7,Dart Throw
Rahsul Faison,RB,21,0.0,Dart Throw
Jordyn Tyson,WR,1,96.2,Legendary Performer
Carnell Tate,WR,2,88.3,Elite Producer
Makai Lemon,WR,3,77.4,Elite Producer
KC Concepcion,WR,4,75.4,Elite Producer
Omar Cooper,WR,5,65.2,Weekly Starter
Germie Bernard,WR,6,64.8,Weekly Starter
Denzel Boston,WR,7,62.3,Weekly Starter
De'Zhaun Stribling,WR,8,58.7,Flex Play
Ja'Kobi Lane,WR,9,54.4,Flex Play
Antonio Williams,WR,10,53.3,Flex Play
Zachariah Branch,WR,11,49.1,Flex Play
Caleb Douglas,WR,12,47.2,Flex Play
Malachi Fields,WR,13,46.7,Flex Play
Chris Brazzell,WR,14,46.5,Flex Play
Ted Hurst,WR,15,45.6,Flex Play
Chris Bell,WR,16,42.9,Flex Play
Zavion Thomas,WR,17,40.7,Flex Play
Elijah Sarratt,WR,18,40.1,Flex Play
Reggie Virgil,WR,19,35.2,Benchwarmer
Skyler Bell,WR,20,34.3,Benchwarmer
Brenen Thompson,WR,21,33.8,Benchwarmer
Bryce Lance,WR,22,31.3,Benchwarmer
Barion Brown,WR,23,30.8,Benchwarmer
Kevin Coleman,WR,24,29.8,Waiver Wire Add
Kaden Wetjen,WR,25,27.9,Waiver Wire Add
Kenyon Sadiq,TE,1,98.5,Legendary Performer
Eli Stowers,TE,2,75.4,Elite Producer
Max Klare,TE,3,63.4,Weekly Starter
Sam Roush,TE,4,61.2,Weekly Starter
Marlin Klein,TE,5,59.7,Flex Play
Oscar Delp,TE,6,55.5,Flex Play
Eli Raridon,TE,7,51.5,Flex Play
Will Kacmarek,TE,8,43.7,Flex Play
Matthew Hibner,TE,9,36.1,Benchwarmer
Justin Joly,TE,10,31.7,Benchwarmer
Tanner Koziol,TE,11,28.3,Waiver Wire Add
Nate Boerkircher,TE,12,25.6,Waiver Wire Add
Joe Royer,TE,13,25.6,Waiver Wire Add
Seydou Traore,TE,14,22.9,Waiver Wire Add
Bauer Sharp,TE,15,21.1,Waiver Wire Add
Riley Nowakowski,TE,16,21.0,Waiver Wire Add
Josh Cuevas,TE,17,20.6,Waiver Wire Add
Jack Endries,TE,18,14.3,Dart Throw
Jaren Kanak,TE,19,13.6,Dart Throw
John Michael Gyllenborg,TE,20,10.5,Dart Throw
Dallen Bentley,TE,21,10.1,Dart Throw
Carsen Ryan,TE,22,7.2,Dart Throw
RJ Maryland,TE,23,7.1,Dart Throw
Michael Trigg,TE,24,7.0,Dart Throw
Dae'Quan Wright,TE,25,6.9,Dart Throw
