player_name,position,rank_pos,model_score,tier,nfl_team,source_url
Caleb Williams,QB,1,99,Tier 1 - Franchise QB,CHI,https://www.legendaryupside.com/drake-mayes-superstar-ceiling-rookie-qbs-tiers-1-2/
Drake Maye,QB,2,90,Tier 2 - Superstar Ceiling,NEP,https://www.legendaryupside.com/drake-mayes-superstar-ceiling-rookie-qbs-tiers-1-2/
Jayden Daniels,QB,3,88,Tier 2 - Superstar Ceiling,WAS,https://www.legendaryupside.com/drake-mayes-superstar-ceiling-rookie-qbs-tiers-1-2/
J.J. McCarthy,QB,4,72,Tier 2 - Superstar Ceiling,MIN,https://www.legendaryupside.com/drake-mayes-superstar-ceiling-rookie-qbs-tiers-1-2/
Bo Nix,QB,5,55,Unranked / Implied Day-2 Tier,DEN,https://www.legendaryupside.com/rookie-rankings-2024/
Michael Penix Jr.,QB,6,50,Unranked / Implied Day-2 Tier,ATL,https://www.legendaryupside.com/rookie-rankings-2024/
Jonathon Brooks,RB,1,90,Tier 1 - Best in Class,CAR,https://www.legendaryupside.com/jonathon-brooks-is-worth-the-risk-rookie-rb-tiers-1-2/
Trey Benson,RB,2,80,Tier 2,ARI,https://www.legendaryupside.com/jonathon-brooks-is-worth-the-risk-rookie-rb-tiers-1-2/
Braelon Allen,RB,3,72,Tier 3 - Boom/Bust,NYJ,https://www.legendaryupside.com/braelon-allen-on-the-back-of-a-hurricane-rookie-rb-tiers-3-5/
MarShawn Lloyd,RB,4,68,Tier 3-5 (Pre-Draft Ranges),GBP,https://www.legendaryupside.com/braelon-allen-on-the-back-of-a-hurricane-rookie-rb-tiers-3-5/
Bucky Irving,RB,5,65,Tier 3-5 (Pre-Draft Ranges),TBB,https://www.legendaryupside.com/braelon-allen-on-the-back-of-a-hurricane-rookie-rb-tiers-3-5/
Will Shipley,RB,6,60,Tier 3-5 (Pre-Draft Ranges),PHI,https://www.legendaryupside.com/braelon-allen-on-the-back-of-a-hurricane-rookie-rb-tiers-3-5/
Audric Estime,RB,7,58,Tier 3-5 (Pre-Draft Ranges),DEN,https://www.legendaryupside.com/braelon-allen-on-the-back-of-a-hurricane-rookie-rb-tiers-3-5/
Ray Davis,RB,8,55,Tier 4-5 (Pre-Draft Ranges),BUF,https://www.legendaryupside.com/braelon-allen-on-the-back-of-a-hurricane-rookie-rb-tiers-3-5/
Blake Corum,RB,9,52,Tier 4-5 (Pre-Draft Ranges),LAR,https://www.legendaryupside.com/braelon-allen-on-the-back-of-a-hurricane-rookie-rb-tiers-3-5/
Jaylen Wright,RB,10,50,Tier 4-5 (Pre-Draft Ranges),MIA,https://www.legendaryupside.com/braelon-allen-on-the-back-of-a-hurricane-rookie-rb-tiers-3-5/
Isaac Guerendo,RB,11,45,Tier 5+ (Pre-Draft Ranges),SFO,https://www.legendaryupside.com/braelon-allen-on-the-back-of-a-hurricane-rookie-rb-tiers-3-5/
Dylan Laube,RB,12,42,Tier 5+ (Pre-Draft Ranges),LVR,https://www.legendaryupside.com/braelon-allen-on-the-back-of-a-hurricane-rookie-rb-tiers-3-5/
