player_name,position,rank_pos,model_score,tier,nfl_team,source,draft_pick,career_or_ryoe_score,explosive_or_pff_recv_score,athleticism_score,waa_or_pff_grade_score
Jeremiyah Love,RB,1,98.7,God,ARI,post_draft,3,1.64,85.3,74.0,97.2
Jonah Coleman,RB,2,77.1,B,DEN,post_draft,108,0.58,75.8,44.0,60.2
Jadarian Price,RB,3,71.9,B,SEA,post_draft,32,0.93,33.6,59.0,17.5
Emmett Johnson,RB,4,49.0,,KCC,post_draft,161,0.34,61.6,17.0,33.2
Kaytron Allen,RB,5,41.2,,WAS,post_draft,187,0.47,6.2,61.0,55.5
Nicholas Singleton,RB,6,37.9,C-,TEN,post_draft,165,0.55,60.7,94.0,20.9
Demond Claiborne,RB,7,34.0,,MIN,post_draft,198,-0.24,13.7,43.0,1.9
Kaelon Black,RB,8,32.0,C-,SFO,post_draft,90,0.24,61.6,88.0,29.9
Mike Washington Jr.,RB,9,22.2,D,LVR,post_draft,122,-0.10,3.3,95.0,1.9
Jam Miller,RB,10,17.6,,NEP,post_draft,245,-0.24,26.5,37.0,9.0
Seth McGowan,RB,11,13.7,,IND,post_draft,237,0.06,51.2,76.0,17.5
Adam Randall,RB,12,1.3,D,BAL,post_draft,174,0.02,13.7,77.0,8.5
Jordyn Tyson,WR,1,95.2,God,NOS,post_draft,8,96.4,58.2,90.0,83.7
Omar Cooper Jr.,WR,2,93.4,A,NYJ,post_draft,30,73.1,84.6,60.0,80.2
Makai Lemon,WR,3,90.4,A,PHI,post_draft,20,87.1,87.6,61.0,96.2
Carnell Tate,WR,4,90.1,A,TEN,post_draft,4,77.3,44.8,65.0,63.7
Denzel Boston,WR,5,89.9,B,CLE,post_draft,39,84.8,28.4,82.0,74.4
Elijah Sarratt,WR,6,79.7,C,BAL,post_draft,115,88.3,49.0,40.0,98.3
Germie Bernard,WR,7,78.5,C,PIT,post_draft,47,63.1,34.6,68.0,55.5
KC Concepcion,WR,8,74.6,B,CLE,post_draft,24,78.3,26.8,88.0,48.0
Antonio Williams,WR,9,63.9,C,,post_draft,71,66.3,23.5,50.0,57.0
Malachi Fields,WR,10,60.3,C,NYG,post_draft,74,81.9,56.9,39.0,54.7
Zachariah Branch,WR,11,55.8,D+,ATL,post_draft,79,27.2,13.1,65.0,53.2
Chris Bell,WR,12,52.8,D+,,post_draft,94,36.2,37.9,75.0,45.9
De'Zhaun Stribling,WR,13,49.9,D+,SFO,post_draft,33,9.1,17.6,97.0,43.9
Chris Brazzell II,WR,14,47.5,D+,CAR,post_draft,83,27.8,46.1,98.0,48.5
Kevin Coleman Jr.,WR,15,46.9,D,MIA,post_draft,177,66.3,33.7,24.0,58.1
Skyler Bell,WR,16,43.9,D,,post_draft,,10.4,29.1,86.0,39.5
Ja'Kobi Lane,WR,17,41.5,D,BAL,post_draft,80,34.0,37.9,87.0,58.7
Ted Hurst,WR,18,40.6,D,TBB,post_draft,84,67.3,76.1,98.0,59.3
CJ Daniels,WR,19,38.5,,,post_draft,197,0.6,57.2,70.0,52.3
Caleb Douglas,WR,20,27.2,D,MIA,post_draft,75,17.2,49.0,79.0,27.9
Brenen Thompson,WR,21,24.5,,LAC,post_draft,105,12.9,76.1,92.0,35.8
Josh Cameron,WR,22,23.0,,JAX,post_draft,191,8.1,4.9,22.0,32.8
Cyrus Allen,WR,23,21.2,,KCC,post_draft,176,14.2,68.3,88.0,32.8
Reggie Virgil,WR,24,20.9,,ARI,post_draft,143,13.6,72.9,44.0,21.2
Colbie Young,WR,25,14.3,,CIN,post_draft,140,1.6,44.1,54.0,45.1
Barion Brown,WR,26,12.5,,NOS,post_draft,190,1.3,44.8,96.0,20.6
Zavion Thomas,WR,27,11.6,,CHI,post_draft,89,10.4,10.8,67.0,29.4
Malik Benson,WR,28,11.3,,LVR,post_draft,195,10.7,44.4,43.0,11.6
Emmanuel Henderson Jr.,WR,29,10.7,,SEA,post_draft,199,49.5,83.3,44.0,19.8
Kendrick Law,WR,30,8.1,,,post_draft,168,4.1,20.3,83.0,17.7
CJ Williams,WR,31,3.9,,,post_draft,203,10.0,4.9,22.0,17.0
Lewis Bond,WR,32,1.5,,HOU,post_draft,204,23.3,18.6,69.0,52.0
Anthony Smith,WR,33,0.6,,DAL,post_draft,218,0.6,85.9,89.0,34.6
Eli Stowers,TE,1,95.6,God,PHI,post_draft,54,95.9,80.6,74.0,92.1
Justin Joly,TE,2,85.2,A,DEN,post_draft,152,89.3,87.1,83.0,81.4
Kenyon Sadiq,TE,3,84.4,A,NYJ,post_draft,16,70.5,51.6,78.0,60.7
Max Klare,TE,4,81.5,B,LAR,post_draft,61,67.2,61.3,79.0,75.0
Tanner Koziol,TE,5,75.6,C,,post_draft,164,89.3,4.0,84.0,86.4
Sam Roush,TE,6,57.8,B,,post_draft,69,30.3,8.9,96.0,9.3
Nate Boerkircher,TE,7,57.0,D,JAX,post_draft,56,2.5,0.8,67.0,27.9
Oscar Delp,TE,8,48.9,B,NOS,post_draft,73,7.4,43.5,88.0,20.7
Matthew Hibner,TE,9,45.9,D,,post_draft,133,12.3,70.2,87.0,13.6
Eli Raridon,TE,10,43.0,A,NEP,post_draft,95,66.4,83.9,81.0,37.9
Marlin Klein,TE,11,42.2,D,HOU,post_draft,59,9.8,3.2,60.0,25.0
Joe Royer,TE,12,38.5,D,CLE,post_draft,170,6.6,60.5,53.0,40.7
Jack Endries,TE,13,31.1,D,,post_draft,221,33.6,17.7,72.0,70.0
Will Kacmarek,TE,14,28.9,D,MIA,post_draft,87,13.1,58.9,65.0,27.9
Josh Cuevas,TE,15,27.4,D,BAL,post_draft,173,33.6,60.5,33.0,55.0
Riley Nowakowski,TE,16,20.7,D,PIT,post_draft,169,11.5,17.7,41.0,25.0
Jaren Kanak,TE,17,20.0,D,TEN,post_draft,225,64.8,46.8,47.0,52.1
Seydou Traore,TE,18,14.1,D,MIA,post_draft,180,2.5,32.3,99.0,45.7
Bauer Sharp,TE,19,13.3,D,TBB,post_draft,185,11.5,15.3,59.0,17.1
Carsen Ryan,TE,20,3.0,D,,post_draft,248,34.4,80.6,82.0,78.6
