season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2024,1,1,CHI,00-0039918,WillCa03,caleb-williams-3,Caleb Williams,false,QB,QB,O,USC,22,2025,0,0,1,26,,26,34,681,1130,7483,47,13,158,877,3,2,22,1,,,
2024,1,2,WAS,00-0039910,DaniJa02,jayden-daniels-1,Jayden Daniels,false,QB,QB,O,LSU,23,2025,0,1,1,26,,26,24,445,668,4830,33,12,206,1169,8,0,0,0,,,
2024,1,3,NWE,00-0039851,MayeDr00,drake-maye-1,Drake Maye,false,QB,QB,O,North Carolina,22,2025,0,2,1,26,,26,30,579,830,6670,46,18,157,871,6,1,2,0,,,
2024,1,4,ARI,00-0039849,HarrMa09,marvin-harrison-jr-1,Marvin Harrison Jr.,false,WR,WR,O,Ohio St.,22,2025,0,0,1,13,,13,29,0,0,0,0,0,0,0,0,103,1493,12,,,
2024,1,6,NYG,00-0039337,NabeMa00,malik-nabers-1,Malik Nabers,false,WR,WR,O,LSU,21,2025,0,1,1,12,,12,19,0,1,0,0,0,5,2,0,127,1475,9,,,
2024,1,8,ATL,00-0039917,PeniMi00,michael-penix-jr-1,Michael Penix,false,QB,QB,O,Washington,24,2025,0,0,0,8,,8,14,227,381,2757,12,6,28,81,2,0,0,0,,,
2024,1,9,CHI,00-0039919,OdunRo00,rome-odunze-1,Rome Odunze,false,WR,WR,O,Washington,22,2025,0,0,1,12,,12,29,0,0,0,0,0,3,15,0,98,1395,9,,,
2024,1,10,MIN,00-0039923,McCaJJ00,jj-mccarthy-1,J.J. McCarthy,false,QB,QB,O,Michigan,21,2025,0,0,0,4,,4,10,140,243,1632,11,12,37,181,4,0,0,0,,,
2024,1,12,DEN,00-0039732,NixxBo00,bo-nix-1,Bo Nix,false,QB,QB,O,Oregon,24,2025,0,0,1,25,,25,34,764,1179,7706,54,23,175,786,9,1,2,1,,,
2024,1,13,LVR,00-0039338,BoweBr01,brock-bowers-1,Brock Bowers,false,TE,TE,O,Georgia,21,2025,1,2,1,14,,14,29,0,0,0,0,0,7,15,0,176,1874,12,,,
2024,1,23,JAX,00-0039893,ThomBr06,brian-thomas-jr-1,Brian Thomas,false,WR,WR,O,LSU,21,2025,0,1,1,18,,18,31,0,0,0,0,0,9,69,1,135,1989,12,,,
2024,1,28,KAN,00-0039894,WortXa00,xavier-worthy-1,Xavier Worthy,false,WR,WR,O,Texas,21,2025,0,0,1,13,,13,31,0,0,0,0,0,31,191,3,101,1170,7,,,
2024,1,31,SFO,00-0039916,PearRi00,ricky-pearsall-1,Ricky Pearsall,false,WR,WR,O,Florida,23,2025,0,0,0,8,,8,20,0,1,0,0,0,5,43,0,67,928,3,,,
2024,1,32,CAR,00-0039342,LegeXa00,xavier-legette-1,Xavier Legette,false,WR,WR,O,South Carolina,23,2025,0,0,1,8,,8,31,0,0,0,0,0,7,24,0,84,860,7,,,
