player_name,position,rank_pos,model_score,tier,nfl_team,source_url,notes
Jeremiyah Love,RB,1,,1,Arizona Cardinals,https://www.pff.com/news/fantasy-football-2026-top-60-dynasty-rookie-1qb-rankings,"PFF top-5 predictive big board; Round 1 pick 3 (highest RB capital since Saquon); confirmed 1.01"
Carnell Tate,WR,1,,1,Tennessee Titans,https://www.pff.com/news/fantasy-football-2026-top-60-dynasty-rookie-1qb-rankings,"Round 1 pick 4; PFF Top-30 WR; 14 WRs in top 75 of PFF Big Board"
Makai Lemon,WR,2,,1,Philadelphia Eagles,https://www.pff.com/news/fantasy-football-2026-top-60-dynasty-rookie-1qb-rankings,"Round 1 pick 20"
Jordyn Tyson,WR,3,,2,New Orleans Saints,https://www.pff.com/news/fantasy-football-rankings-2026-top-30-rookie-wide-receivers,"Round 1 pick 8; named top-30 WR"
KC Concepcion,WR,4,,2,Cleveland Browns,https://www.pff.com/news/fantasy-football-rankings-2026-top-30-rookie-wide-receivers,"Round 1 pick 24"
Denzel Boston,WR,5,,2,Cleveland Browns,https://www.pff.com/news/fantasy-football-rankings-2026-top-30-rookie-wide-receivers,"Named top-30 WR"
Elijah Sarratt,WR,6,,3,Baltimore Ravens,https://www.pff.com/news/fantasy-football-rankings-2026-top-30-rookie-wide-receivers,"Named top-30 WR"
Chris Bell,WR,7,,3,Miami Dolphins,https://www.pff.com/news/fantasy-football-rankings-2026-top-30-rookie-wide-receivers,"Named top-30 WR; ACL recovery"
Chris Brazzell II,WR,8,,3,Carolina Panthers,https://www.pff.com/news/fantasy-football-rankings-2026-top-30-rookie-wide-receivers,"Named top-30 WR"
Ja'Kobi Lane,WR,9,,3,Baltimore Ravens,https://www.pff.com/news/fantasy-football-rankings-2026-top-30-rookie-wide-receivers,"Named top-30 WR"
Jadarian Price,RB,2,,3,Seattle Seahawks,https://www.pff.com/news/fantasy-football-2026-top-60-dynasty-rookie-1qb-rankings,"Round 1 final pick; called out in PFF summary bullets"
