player_name,position,rank_pos,model_score,tier,nfl_team,source_url,notes
Fernando Mendoza,QB,1,100.0,Elite,LV,https://www.nflmockdraftdatabase.com/big-boards/2026/yahoo-2026-nate-tice-big-board,BigBoard_Overall_1
Jeremiyah Love,RB,1,98.0,Elite,ARI,https://www.nflmockdraftdatabase.com/big-boards/2026/yahoo-2026-nate-tice-big-board,BigBoard_Overall_2
Carnell Tate,WR,1,80.0,Tier1,TEN,https://www.nflmockdraftdatabase.com/big-boards/2026/yahoo-2026-nate-tice-big-board,BigBoard_Overall_10
Makai Lemon,WR,2,76.0,Tier1,PHI,https://www.nflmockdraftdatabase.com/big-boards/2026/yahoo-2026-nate-tice-big-board,BigBoard_Overall_12
Kenyon Sadiq,TE,1,72.0,Tier1,NYJ,https://www.nflmockdraftdatabase.com/big-boards/2026/yahoo-2026-nate-tice-big-board,BigBoard_Overall_14
Jordyn Tyson,WR,3,64.0,Tier2,NO,https://www.nflmockdraftdatabase.com/big-boards/2026/yahoo-2026-nate-tice-big-board,BigBoard_Overall_18
Omar Cooper Jr.,WR,4,58.0,Tier2,NYJ,https://www.nflmockdraftdatabase.com/big-boards/2026/yahoo-2026-nate-tice-big-board,BigBoard_Overall_21
Denzel Boston,WR,5,46.0,Tier3,CLE,https://www.nflmockdraftdatabase.com/big-boards/2026/yahoo-2026-nate-tice-big-board,BigBoard_Overall_27
KC Concepcion,WR,6,44.0,Tier3,CLE,https://www.nflmockdraftdatabase.com/big-boards/2026/yahoo-2026-nate-tice-big-board,BigBoard_Overall_28_TexasAM_to_CLE_via_NFL
Ty Simpson,QB,2,26.0,Tier3,LAR,https://www.nflmockdraftdatabase.com/big-boards/2026/yahoo-2026-nate-tice-big-board,BigBoard_Overall_37
Jadarian Price,RB,2,18.0,Tier4,SEA,https://www.nflmockdraftdatabase.com/big-boards/2026/yahoo-2026-nate-tice-big-board,BigBoard_Overall_41
Chris Bell,WR,7,4.0,Tier4,MIA,https://www.nflmockdraftdatabase.com/big-boards/2026/yahoo-2026-nate-tice-big-board,BigBoard_Overall_49
