player_name,position,rank_pos,model_score,tier,nfl_team,source_url
Marvin Harrison Jr.,WR,1,100.0,Elite,ARI,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Malik Nabers,WR,2,95.8,Elite,NYG,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Brian Thomas Jr.,WR,3,91.7,Tier1,JAX,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Xavier Worthy,WR,4,87.5,Tier1,KC,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Rome Odunze,WR,5,83.3,Tier1,CHI,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Ladd McConkey,WR,6,79.2,Tier2,LAC,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Keon Coleman,WR,7,75.0,Tier2,BUF,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Adonai Mitchell,WR,8,70.8,Tier2,IND,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Ja'Lynn Polk,WR,9,66.7,Tier2,NE,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Jalen McMillan,WR,10,62.5,Tier3,TB,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Ricky Pearsall,WR,11,58.3,Tier3,SF,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Brock Bowers,TE,1,100.0,Generational,LV,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Ben Sinnott,TE,2,66.7,Tier2,WAS,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Ja'Tavion Sanders,TE,3,33.3,Tier3,CAR,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Jonathon Brooks,RB,1,100.0,Tier1,CAR,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Trey Benson,RB,2,87.5,Tier2,ARI,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
MarShawn Lloyd,RB,3,75.0,Tier2,GB,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Audric Estime,RB,4,62.5,Tier3,DEN,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Tyrone Tracy Jr.,RB,5,50.0,Tier3,NYG,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Jaylen Wright,RB,6,37.5,Tier3,MIA,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Braelon Allen,RB,7,25.0,Tier3,NYJ,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Ray Davis,RB,8,12.5,Tier3,BUF,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Caleb Williams,QB,1,100.0,Tier1,CHI,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Jayden Daniels,QB,2,80.0,Tier1,WAS,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Drake Maye,QB,3,60.0,Tier2,NE,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
Bo Nix,QB,4,40.0,Tier2,DEN,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
J.J. McCarthy,QB,5,20.0,Tier3,MIN,https://underdognetwork.com/football/fantasy-rankings/2024-fantasy-football-rankings-final-update
