season,position_filter,player_id,player_name,nfl_team,lineage_seq,owner_franchise_id,owner_team_name,stint_start_date,stint_end_date,acquire_source,close_source,week1_owner_franchise_id,week1_owner_team_name,prior_owner_franchise_id,prior_owner_team_name,week1_contract_info,prior_contract_info,generated_at_utc
2017,CB,13249,,,1,0012,White Power,2017-10-04,2017-12-06,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:13:59
2017,CB,11965,,,1,0007,Sex Manther,2017-10-29,2017-10-31,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:13:59
2017,CB,13226,,,1,0007,Sex Manther,2017-11-22,2017-12-13,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:13:59
2018,CB,10789,,,1,0003,Gride,2018-08-13,2018-09-02,AUCTION:FreeAgent,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:14:02
2018,CB,10793,,,1,0008,Gordon Is The New Blackmon,2018-08-16,2018-08-22,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:14:02
2018,CB,13731,,,1,0001,Ulterior Warrior,2018-09-12,2018-09-19,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:14:02
2018,CB,12276,,,1,0001,Ulterior Warrior,2018-09-19,2018-11-04,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:14:02
2018,CB,12938,,,1,0003,Gride,2018-09-20,2018-10-14,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:14:02
2018,CB,10789,,,2,0004,Pure Greatness,2018-09-20,2018-10-03,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:14:02
2018,CB,11965,,,1,0009,C-Town Chivalry,2018-09-23,2018-10-24,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:14:02
2018,CB,12775,,,1,0006,Good in Da Hood,2018-09-23,2018-09-26,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:14:02
2018,CB,13738,,,1,0002,The Bash Bros,2018-09-26,2018-12-24,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:14:02
2018,CB,13778,,,1,0001,Ulterior Warrior,2018-10-06,2018-11-04,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:14:02
2018,CB,12268,,,1,0001,Ulterior Warrior,2018-10-14,2018-10-14,ADDDROP:FREE_AGENT,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:14:02
2018,CB,12938,,,2,0003,Gride,2018-10-17,2018-11-07,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:14:02
2018,CB,10777,,,1,0001,Ulterior Warrior,2018-10-18,2018-11-04,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:14:02
2018,CB,12716,,,1,0007,Sex Manther,2018-10-18,2018-10-30,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:14:02
2018,CB,12760,,,1,0009,C-Town Chivalry,2018-10-20,2018-10-30,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:14:02
2018,CB,10260,,,1,0010,Blake Bombers,2018-10-28,2018-10-31,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:14:02
2018,CB,10779,,,1,0012,White Power,2018-10-28,2018-12-24,ADDDROP:FREE_AGENT,SEASON_END,,,,,,,2026-04-21 22:14:02
2018,CB,12714,,,1,0005,C'mon Son,2018-10-28,2018-12-24,ADDDROP:FREE_AGENT,SEASON_END,,,,,,,2026-04-21 22:14:02
2018,CB,12715,,,1,0007,Sex Manther,2018-10-31,2018-12-24,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:14:02
2018,CB,13730,,,1,0007,Sex Manther,2018-11-03,2018-11-07,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:14:02
2018,CB,12246,,,1,0003,Gride,2018-11-07,2018-12-24,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:14:02
