season,player_name,event_type,event_source,event_date,team_name,salary,contract_year,contract_status,contract_info,inferred_contract_info,contract_length,tcv,aav,position_filter,player_id,nfl_team,event_seq,event_time,franchise_id,event_detail,snapshot_week,snapshot_source,year_values_json,extension_flag,restructure_flag,mym_flag,post_add_multi_year_flag,post_add_multi_year_reason,generated_at_utc
2017,,DROP,ADDDROP:BBID,2017-10-04,White Power,0,0,,,,0,0,0,CB,10851,,1,09:00:00,0012,,4,schedule,{},0,0,0,0,,2026-04-21 22:14:01
2017,,ACQUIRE,ADDDROP:BBID,2017-10-04,White Power,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,CB,13249,,1,09:00:00,0012,salary=2000|default_1yr,4,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:14:01
2017,,ACQUIRE,ADDDROP:BBID,2017-10-29,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,CB,11965,,1,09:00:00,0007,salary=1000|default_1yr,8,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:14:01
2017,,DROP,ADDDROP:FREE_AGENT,2017-10-31,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,CB,11965,,2,09:13:33,0007,,8,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:14:01
2017,,ACQUIRE,ADDDROP:BBID,2017-11-22,Sex Manther,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,CB,13226,,1,09:00:00,0007,salary=3000|default_1yr,11,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:14:01
2017,,DROP,ADDDROP:BBID,2017-12-06,White Power,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,CB,13249,,2,09:00:00,0012,,13,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:14:01
2017,,DROP,ADDDROP:BBID,2017-12-13,Sex Manther,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,CB,13226,,2,09:00:00,0007,,14,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:14:01
2018,,ACQUIRE,AUCTION:FreeAgent,2018-08-13,Gride,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,CB,10789,,1,12:18:22,0003,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:14:06
2018,,ACQUIRE,AUCTION:FreeAgent,2018-08-16,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,CB,10793,,1,06:37:44,0008,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:14:06
2018,,DROP,ADDDROP:BBID,2018-08-22,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,CB,10793,,2,09:00:00,0008,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:14:06
2018,,DROP,ADDDROP:FREE_AGENT,2018-09-02,Gride,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,CB,10789,,2,18:36:16,0003,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:14:06
2018,,ACQUIRE,ADDDROP:BBID,2018-09-12,Ulterior Warrior,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,CB,13731,,1,09:00:00,0001,salary=1000|default_1yr,1,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:14:06
2018,,ACQUIRE,ADDDROP:BBID,2018-09-19,Ulterior Warrior,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,CB,12276,,1,09:00:00,0001,salary=2000|default_1yr,2,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:14:06
2018,,DROP,ADDDROP:BBID,2018-09-19,Ulterior Warrior,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,CB,13731,,2,09:00:00,0001,,2,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:14:06
2018,,ACQUIRE,ADDDROP:BBID,2018-09-20,Gride,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,CB,12938,,1,09:00:00,0003,salary=1000|default_1yr,3,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:14:06
