season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2024,DE,16223,"Anderson, Will",DE,HOU,1,2024-09-01,2024-09-05,2024-12-30,17,0006,The Long Haulers,ROSTER,1000,3,Veteran,CL 3| TCV 3K| AAV 1K,"CL 3| TCV 9K| AAV 1K/4K| Y1-1K, Y2-4K, Y3-4K| Inferred Extension",1,0,0,0,1,multi_year_after_drop|add=2024-09-19|drop=2024-09-14,3,0,0,9000,0,0,0,3,3000,1000,{},1,3000,1,1000,0,1000,1000,1000,8000,2024-12-30,0,aav_token_1,1,mid_year_multi|contract_info_inconsistent,2023,23,0001,Ulterior Warrior,TAXI_SQUAD,2000,3,Rookie,CL 3| TCV 6K| AAV 2K,3,6000,2000,{},0,0,aav_token_1,0,1,1,0,1,extension_inferred,2024-05-26,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2024-05-26,trade2024_16,0,current,2026-04-21 22:11:25
2018,DE,12686,"Bosa, Joey",DE,LAC,1,2018-09-01,2018-09-06,2018-12-24,16,0007,Sex Manther,ROSTER,2000,3,Rookie/Ext.,"Ext. Manther [2K, 7K, 7K] (AAV 2K/7K/7K)","CL 3| TCV 16K| AAV 2K/7K| Y1-2K, Y2-7K, Y3-7K| Inferred Extension",1,0,0,0,0,,3,0,1,16000,0,0,0,3,16000,2000,"{""Y1"":2000,""Y2"":7000,""Y3"":7000}",2,5000,1,2000,0,2000,2000,2000,14000,2018-12-24,0,aav_token_1,0,,2017,16,0007,Sex Manther,ROSTER,2000,2,ROOKIE,,2,4000,2000,{},0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2018-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:10:49
2020,DE,12686,"Bosa, Joey",DE,LAC,1,2020-09-01,2020-09-10,2020-12-28,16,0005,Run CMC,ROSTER,3000,2,Veteran,"TCV 17K [3K,14K] Ext. Manther '19/'20 CMC '21","CL 2| TCV 9K| AAV 3K/6K| Y1-3K, Y2-6K| Inferred Extension",1,0,0,0,0,,2,0,0,9000,0,0,0,2,17000,8500,"{""Y1"":3000,""Y2"":14000}",1,3000,1,3000,0,3000,3000,3000,6000,2020-12-28,0,tcv_div_cl,1,contract_info_inconsistent,2019,16,0007,Sex Manther,ROSTER,7000,2,Veteran GF,"Ext. Manther [7K, 7K]",2,14000,7000,"{""Y1"":7000,""Y2"":7000}",0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2020-04-30,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2020-04-30,trade2020_6,0,current,2026-04-21 22:11:01
2022,DE,14147,"Bosa, Nick",DE,SFO,1,2022-09-01,2022-09-08,2023-01-02,17,0004,Pure Greatness,ROSTER,7000,2,Veteran,CL 2| TCV 14K| AAV 7K,"CL 2| TCV 19K| AAV 7K/12K| Y1-7K, Y2-12K| Inferred Extension",1,0,0,0,0,,2,0,0,15000,0,0,0,2,14000,7000,{},2,5000,1,7000,0,7000,7000,11000,8000,2023-01-02,0,aav_token_1,1,contract_info_inconsistent,2021,23,0004,Pure Greatness,ROSTER,2000,1,Rookie GF,CL 3|,3,6000,2000,{},0,0,tcv_div_cl,4000,1,0,1,1,extension_inferred,2022-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:11:17
2020,DE,11706,"Clowney, Jadeveon",DE,TEN,1,2020-09-01,2020-09-10,2020-12-28,16,0012,Hawks,ROSTER,1000,3,Veteran,TCV 3K,"CL 3| TCV 9K| AAV 1K/4K| Y1-1K, Y2-4K, Y3-4K| Inferred Extension",1,0,0,0,1,multi_year_after_drop|add=2020-11-12|drop=2020-11-05,3,0,0,9000,0,0,0,3,3000,1000,{},1,3000,1,1000,0,1000,1000,1000,8000,2020-12-28,0,tcv_div_cl,1,mid_year_multi|contract_info_inconsistent,2019,16,0012,Hawks,ROSTER,7000,3,Veteran,TCV 21K,3,21000,7000,{},0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2020-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:11:01
2022,DE,14225,"Crosby, Maxx",DE,LVR,1,2022-09-01,2022-09-08,2023-01-02,17,0001,Ulterior Warrior,ROSTER,1000,2,Veteran,CL 2| TCV 5K| AAV 1K/4K|  Y1-1 Y2-4,"CL 2| TCV 5K| AAV 1K/4K| Y1-1K, Y2-4K| Inferred Extension",1,0,0,0,0,,2,0,0,5000,0,0,0,2,5000,1000,"{""Y1"":1000,""Y2"":4000}",1,3000,1,1000,0,1000,1000,1000,4000,2023-01-02,0,aav_token_1,0,,2021,23,0002,The Bash Bros,ROSTER,1000,2,Veteran,CL 2| TCV 2K,2,2000,1000,{},0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2022-08-01,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2022-08-01,trade2022_33,0,current,2026-04-21 22:11:17
2020,DE,13198,"Garrett, Myles",DE,CLE,1,2020-09-01,2020-09-10,2020-12-28,16,0002,The Bash Bros,ROSTER,10000,2,Veteran,TCV 20K,"CL 2| TCV 25K| AAV 10K/15K| Y1-10K, Y2-15K| Inferred Extension",1,0,0,0,0,,2,0,0,25000,0,0,0,2,20000,10000,{},2,5000,1,10000,0,10000,10000,10000,15000,2020-12-28,0,tcv_div_cl,1,contract_info_inconsistent,2019,16,0002,The Bash Bros,ROSTER,5000,1,Rookie GF,,1,5000,5000,{},0,0,tcv_div_cl,0,1,0,1,1,extension_inferred,2020-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:11:01
2019,DE,12221,"Hunter, Danielle",DE,MIN,1,2019-09-01,2019-09-05,2019-12-23,16,0010,Blake Bombers,ROSTER,4000,2,Veteran,"Ext. Blake '20 TCV 11K [4K, 7K]","CL 2| TCV 11K| AAV 4K/7K| Y1-4K, Y2-7K| Inferred Extension",1,0,0,0,0,,2,0,0,11000,0,0,0,2,11000,5500,"{""Y1"":4000,""Y2"":7000}",1,3000,1,4000,0,4000,4000,4000,7000,2019-12-23,0,tcv_div_cl,0,,2018,16,0010,Blake Bombers,ROSTER,4000,2,Veteran,,2,8000,4000,{},0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2019-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:56
2024,DE,15805,"Hutchinson, Aidan",DE,DET,1,2024-09-01,2024-09-05,2024-12-30,17,0008,Real Deal Creel,ROSTER,2000,2,Rookie/Veteran,"CL 2| TCV 7K| AAV 2K/5K| Y1-2K, Y2-5K| Ext: Cleon","CL 2| TCV 7K| AAV 2K/5K| Y1-2K, Y2-5K| Inferred Extension",1,0,0,0,0,,2,0,0,5000,0,0,0,2,7000,2000,"{""Y1"":2000,""Y2"":5000}",1,3000,1,2000,0,2000,2000,4000,3000,2024-12-30,0,aav_token_1,1,extension_inferred_but_contract_info_has_ext,2023,23,0011,Cleon Ca$h,ROSTER,2000,2,Rookie,CL 3| TCV 6K| AAV 2K,3,6000,2000,{},0,0,aav_token_1,2000,1,1,0,1,extension_inferred,2024-05-24,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2024-05-24,trade2024_13,0,current,2026-04-21 22:11:25
2022,DE,14877,"Young, Chase",DE,WAS,1,2022-09-01,2022-09-08,2023-01-02,17,0006,Good in Da Hood,INJURED_RESERVE,2000,2,Veteran,CL 2| TCV 4K| AAV 2K|,"CL 2| TCV 7K| AAV 2K/5K| Y1-2K, Y2-5K| Inferred Extension",1,0,0,0,1,multi_year_after_drop|add=2022-12-15|drop=2022-12-01,2,0,0,2000,0,0,0,2,4000,2000,{},1,3000,1,2000,0,2000,2000,7000,0,2023-01-02,0,aav_token_1,1,mid_year_multi|contract_info_inconsistent,2021,23,0006,Good in Da Hood,INJURED_RESERVE,5000,2,Rookie,CL 3| TCV 15K,3,15000,5000,{},0,0,tcv_div_cl,5000,1,1,0,1,extension_inferred,2022-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:11:17
