season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2019,DE,14167,"Allen, Josh",DE,JAC,1,2019-09-01,2019-09-05,2019-12-23,16,0011,Cleon Ca$h,ROSTER,2000,3,Rookie GF,,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K",0,0,0,0,0,,3,1,1,6000,0,0,0,3,6000,2000,{},0,0,1,2000,0,2000,2000,2000,4000,2019-12-23,0,tcv_div_cl,1,change_category_manual_review,2018,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:10:56
2023,DE,14167,"Allen, Josh",DE,JAC,1,2023-09-01,2023-09-07,2023-12-31,17,0001,Ulterior Warrior,ROSTER,1000,2,Veteran,CL 2| TCV 2K| AAV 1K,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K",0,0,0,0,0,,2,0,0,2000,0,0,0,2,2000,1000,{},0,0,1,1000,0,1000,1000,1000,1000,2023-12-31,0,aav_token_1,1,change_category_manual_review,2022,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:11:20
2023,DE,16223,"Anderson, Will",DE,HOU,1,2023-09-01,2023-09-07,2023-12-31,17,0001,Ulterior Warrior,TAXI_SQUAD,2000,3,Rookie,CL 3| TCV 6K| AAV 2K,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K",0,0,0,0,0,,3,0,0,6000,0,0,0,3,6000,2000,{},0,0,1,2000,0,2000,2000,2000,4000,2023-12-31,0,aav_token_1,1,change_category_manual_review,2022,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:11:20
2024,DE,16223,"Anderson, Will",DE,HOU,1,2024-09-01,2024-09-05,2024-12-30,17,0006,The Long Haulers,ROSTER,1000,3,Veteran,CL 3| TCV 3K| AAV 1K,"CL 3| TCV 9K| AAV 1K/4K| Y1-1K, Y2-4K, Y3-4K| Inferred Extension",1,0,0,0,1,multi_year_after_drop|add=2024-09-19|drop=2024-09-14,3,0,0,9000,0,0,0,3,3000,1000,{},1,3000,1,1000,0,1000,1000,1000,8000,2024-12-30,0,aav_token_1,1,mid_year_multi|contract_info_inconsistent,2023,23,0001,Ulterior Warrior,TAXI_SQUAD,2000,3,Rookie,CL 3| TCV 6K| AAV 2K,3,6000,2000,{},0,0,aav_token_1,0,1,1,0,1,extension_inferred,2024-05-26,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2024-05-26,trade2024_16,0,current,2026-04-21 22:11:25
2017,DE,11267,"Ansah, Ezekiel",DE,DET,1,2017-09-01,2017-09-07,2017-12-25,16,0011,Cleon Ca$h,ROSTER,8000,1,STANDARD,,CL 1| TCV 8K| AAV 8K| Y1-8K,0,0,0,0,0,,1,0,1,8000,0,0,0,1,8000,8000,{},0,0,1,8000,0,8000,8000,8000,0,2017-12-25,0,tcv_div_cl,1,change_category_manual_review,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:10:42
2023,DE,16257,"Anudike-Uzomah, Felix",DE,KCC,1,2023-09-01,2023-09-07,2023-12-31,17,0008,Real Deal Creel,TAXI_SQUAD,2000,3,Rookie,CL 3| TCV 6K| AAV 2K,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K",0,0,0,0,0,,3,0,0,6000,0,0,0,3,6000,2000,{},0,0,1,2000,0,2000,2000,2000,4000,2023-12-31,0,aav_token_1,1,change_category_manual_review,2022,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:11:20
2017,DE,12686,"Bosa, Joey",DE,LAC,1,2017-09-01,2017-09-07,2017-12-25,16,0007,Sex Manther,ROSTER,2000,2,ROOKIE,,"CL 2| TCV 4K| AAV 2K| Y1-2K, Y2-2K",0,0,0,0,0,,2,0,1,4000,0,0,0,2,4000,2000,{},0,0,1,2000,0,2000,2000,2000,2000,2017-12-25,0,tcv_div_cl,1,change_category_manual_review,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:10:42
2020,DE,12686,"Bosa, Joey",DE,LAC,1,2020-09-01,2020-09-10,2020-12-28,16,0005,Run CMC,ROSTER,3000,2,Veteran,"TCV 17K [3K,14K] Ext. Manther '19/'20 CMC '21","CL 2| TCV 9K| AAV 3K/6K| Y1-3K, Y2-6K| Inferred Extension",1,0,0,0,0,,2,0,0,9000,0,0,0,2,17000,8500,"{""Y1"":3000,""Y2"":14000}",1,3000,1,3000,0,3000,3000,3000,6000,2020-12-28,0,tcv_div_cl,1,contract_info_inconsistent,2019,16,0007,Sex Manther,ROSTER,7000,2,Veteran GF,"Ext. Manther [7K, 7K]",2,14000,7000,"{""Y1"":7000,""Y2"":7000}",0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2020-04-30,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2020-04-30,trade2020_6,0,current,2026-04-21 22:11:01
2023,DE,12686,"Bosa, Joey",DE,LAC,1,2023-09-01,2023-09-07,2023-12-31,17,0011,Cleon Ca$h,ROSTER,2000,1,Veteran,CL 2| TCV 4K| AAV 2K|,"CL 2| TCV 4K| AAV 2K| Y1-2K, Y2-2K",0,0,0,0,0,,1,0,0,4000,0,0,0,2,4000,2000,{},0,0,2,2000,2000,2000,2000,2000,2000,2023-12-31,0,aav_token_1,1,change_category_manual_review,2022,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:11:20
2019,DE,14147,"Bosa, Nick",DE,SFO,1,2019-09-01,2019-09-05,2019-12-23,16,0010,Blake Bombers,ROSTER,2000,3,Rookie GF,,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K",0,0,0,0,0,,3,1,1,6000,0,0,0,3,6000,2000,{},0,0,1,2000,0,2000,2000,2000,4000,2019-12-23,0,tcv_div_cl,1,change_category_manual_review,2018,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:10:56
