season,player_name,event_type,event_source,event_date,team_name,salary,contract_year,contract_status,contract_info,inferred_contract_info,contract_length,tcv,aav,position_filter,player_id,nfl_team,event_seq,event_time,franchise_id,event_detail,snapshot_week,snapshot_source,year_values_json,extension_flag,restructure_flag,mym_flag,post_add_multi_year_flag,post_add_multi_year_reason,generated_at_utc
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-19,Ulterior Warrior,0,0,,,,0,0,0,DE,9041,,1,08:27:25,0001,,1,preseason,{},0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,ADDDROP:BBID,2017-04-22,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,10554,,1,09:00:02,0008,salary=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-11,C-Town Chivalry,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,DE,10815,,1,00:07:15,0009,bid=3000|default_1yr,1,preseason,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-14,Pure Greatness,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,DE,12225,,1,07:06:17,0004,bid=2000|default_1yr,1,preseason,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-15,Cleon Ca$h,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,13204,,1,06:31:45,0011,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-17,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,9425,,1,06:44:12,0008,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,ADDDROP:BBID,2017-08-23,Ulterior Warrior,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,DE,13201,,1,09:00:04,0001,salary=2000|default_1yr,1,preseason,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,ADDDROP:BBID,2017-09-07,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,10314,,1,09:00:00,0008,salary=1000|default_1yr,1,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,DROP,ADDDROP:BBID,2017-09-07,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,9425,,2,09:00:00,0008,,1,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,ADDDROP:FREE_AGENT,2017-09-10,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,12696,,1,12:00:31,0007,salary=1000|default_1yr,1,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-12,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,12696,,2,21:08:52,0007,,1,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,ADDDROP:BBID,2017-09-13,Cleon Ca$h,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,DE,12217,,1,09:00:00,0011,salary=3000|default_1yr,1,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:10:48
2017,,DROP,ADDDROP:BBID,2017-09-13,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,10314,,2,09:00:00,0008,,1,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,DROP,ADDDROP:BBID,2017-09-16,Ulterior Warrior,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,DE,13201,,2,09:00:00,0001,,2,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:10:48
2017,,DROP,ADDDROP:BBID,2017-09-20,C-Town Chivalry,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,DE,10815,,2,09:00:00,0009,,2,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,ADDDROP:BBID,2017-09-21,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,12741,,1,09:00:00,0007,salary=1000|default_1yr,3,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,ADDDROP:BBID,2017-09-27,Cleon Ca$h,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,DE,13296,,1,09:00:00,0011,salary=3000|default_1yr,3,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:10:48
2017,,DROP,ADDDROP:BBID,2017-09-27,Cleon Ca$h,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,DE,12217,,2,09:00:00,0011,,3,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,ADDDROP:BBID,2017-09-28,C'mon Son,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,9749,,1,09:00:00,0005,salary=1000|default_1yr,4,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,ADDDROP:BBID,2017-10-08,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,12695,,1,09:00:00,0010,salary=1000|default_1yr,5,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,DROP,ADDDROP:BBID,2017-10-11,Cleon Ca$h,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,DE,13296,,2,09:00:00,0011,,5,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:10:48
2017,,DROP,ADDDROP:FREE_AGENT,2017-10-12,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,12695,,2,19:18:18,0010,,6,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,DROP,ADDDROP:FREE_AGENT,2017-10-13,C'mon Son,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,9749,,2,15:51:55,0005,,6,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,ADDDROP:BBID,2017-10-15,Good in Da Hood,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,12217,,3,09:00:00,0006,salary=1000|default_1yr,6,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,DROP,ADDDROP:FREE_AGENT,2017-10-15,Pure Greatness,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,DE,12225,,2,10:28:31,0004,,6,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:10:48
2017,,DROP,ADDDROP:BBID,2017-10-18,Good in Da Hood,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,12217,,4,09:00:00,0006,,6,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,DROP,ADDDROP:FREE_AGENT,2017-10-24,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,12741,,2,15:41:20,0007,,7,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,ADDDROP:BBID,2017-10-25,C-Town Chivalry,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,DE,9425,,3,09:00:00,0009,salary=3000|default_1yr,7,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:10:48
2017,,ACQUIRE,ADDDROP:BBID,2017-10-28,C'mon Son,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DE,11262,,1,09:00:00,0005,salary=1000|default_1yr,8,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:10:48
