season,position_filter,player_id,player_name,nfl_team,lineage_seq,owner_franchise_id,owner_team_name,stint_start_date,stint_end_date,acquire_source,close_source,week1_owner_franchise_id,week1_owner_team_name,prior_owner_franchise_id,prior_owner_team_name,week1_contract_info,prior_contract_info,generated_at_utc
2017,DT,12688,,,1,0007,Sex Manther,2017-08-15,2017-09-12,AUCTION:FreeAgent,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:11:43
2017,DT,13041,,,1,0002,Crystal Blue Persuasian,2017-08-15,2017-10-22,AUCTION:FreeAgent,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:11:43
2017,DT,10762,,,1,0008,Gordon Is The New Blackmon,2017-09-13,2017-09-30,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:11:43
2017,DT,12688,,,2,0009,C-Town Chivalry,2017-10-07,2017-10-25,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:11:43
2017,DT,12536,,,1,0006,Good in Da Hood,2017-11-01,2017-11-30,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:11:43
2017,DT,9819,,,1,0006,Good in Da Hood,2017-11-26,2017-11-29,ADDDROP:FREE_AGENT,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:11:43
2018,DT,12688,,,1,0006,Good in Da Hood,2018-08-17,2018-09-05,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:11:51
2018,DT,12688,,,2,0003,Gride,2018-09-12,2018-09-23,ADDDROP:BBID,TRADE,,,,,,,2026-04-21 22:11:51
2018,DT,13265,,,1,0006,Good in Da Hood,2018-09-13,2018-10-31,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:11:51
2018,DT,11045,,,1,0002,The Bash Bros,2018-09-16,2018-09-18,ADDDROP:FREE_AGENT,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:11:51
2018,DT,11333,,,1,0004,Pure Greatness,2018-09-20,2018-10-10,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:11:51
2018,DT,10762,,,1,0002,The Bash Bros,2018-09-22,2018-10-11,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:11:51
2018,DT,12688,,,3,0002,The Bash Bros,2018-09-23,2018-12-24,TRADE,SEASON_END,,,,,,,2026-04-21 22:11:51
2018,DT,11274,,,1,0001,Ulterior Warrior,2018-09-26,2018-10-28,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:11:51
2018,DT,12739,,,1,0004,Pure Greatness,2018-09-27,2018-10-03,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:11:51
2018,DT,13692,,,1,0007,Sex Manther,2018-09-29,2018-10-02,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:11:51
2018,DT,12083,,,1,0010,Blake Bombers,2018-10-03,2018-10-14,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:11:51
