season,position_filter,player_id,player_name,nfl_team,event_seq,event_type,event_source,event_date,event_time,franchise_id,team_name,detail,generated_at_utc
2017,DT,10265,,,1,DROP,ADDDROP:FREE_AGENT,2017-03-08,11:22:03,0009,C-Town Chivalry,,2026-04-21 22:11:44
2017,DT,10265,,,2,DROP,FREE_AGENT,2017-03-08,11:22:03,0009,C-Town Chivalry,,2026-04-21 22:11:44
2017,DT,12688,,,1,ACQUIRE,AUCTION:FreeAgent,2017-08-15,06:31:45,0007,Sex Manther,bid=1000,2026-04-21 22:11:44
2017,DT,13041,,,1,ACQUIRE,AUCTION:FreeAgent,2017-08-15,17:53:36,0002,Crystal Blue Persuasian,bid=1000,2026-04-21 22:11:44
2017,DT,12688,,,2,DROP,ADDDROP:FREE_AGENT,2017-09-12,21:09:29,0007,Sex Manther,,2026-04-21 22:11:44
2017,DT,12688,,,3,DROP,FREE_AGENT,2017-09-12,21:09:29,0007,Sex Manther,,2026-04-21 22:11:44
2017,DT,10762,,,1,ACQUIRE,ADDDROP:BBID,2017-09-13,09:00:00,0008,Gordon Is The New Blackmon,salary=3000,2026-04-21 22:11:44
2017,DT,10762,,,2,DROP,ADDDROP:BBID,2017-09-30,09:00:00,0008,Gordon Is The New Blackmon,,2026-04-21 22:11:44
2017,DT,12688,,,4,ACQUIRE,ADDDROP:BBID,2017-10-07,09:00:00,0009,C-Town Chivalry,salary=2000,2026-04-21 22:11:44
2017,DT,13041,,,2,DROP,ADDDROP:FREE_AGENT,2017-10-22,09:05:16,0002,Crystal Blue Persuasian,,2026-04-21 22:11:44
2017,DT,13041,,,3,DROP,FREE_AGENT,2017-10-22,09:05:16,0002,Crystal Blue Persuasion,,2026-04-21 22:11:44
2017,DT,12688,,,5,DROP,ADDDROP:BBID,2017-10-25,09:00:00,0009,C-Town Chivalry,,2026-04-21 22:11:44
2017,DT,12536,,,1,ACQUIRE,ADDDROP:BBID,2017-11-01,09:00:00,0006,Good in Da Hood,salary=4000,2026-04-21 22:11:44
2017,DT,9815,,,1,DROP,ADDDROP:BBID,2017-11-02,09:00:00,0002,Crystal Blue Persuasian,,2026-04-21 22:11:44
2017,DT,9819,,,1,ACQUIRE,ADDDROP:FREE_AGENT,2017-11-26,11:11:49,0006,Good in Da Hood,salary=1000,2026-04-21 22:11:44
2017,DT,9819,,,2,DROP,ADDDROP:FREE_AGENT,2017-11-29,07:44:53,0006,Good in Da Hood,,2026-04-21 22:11:44
2017,DT,9819,,,3,DROP,FREE_AGENT,2017-11-29,07:44:53,0006,Good in Da Hood,,2026-04-21 22:11:44
2017,DT,12536,,,2,DROP,ADDDROP:BBID,2017-11-30,09:00:00,0006,Good in Da Hood,,2026-04-21 22:11:44
2018,DT,12688,,,1,ACQUIRE,AUCTION:FreeAgent,2018-08-17,06:18:53,0006,Good in Da Hood,bid=1000,2026-04-21 22:11:53
2018,DT,12688,,,2,DROP,ADDDROP:BBID,2018-09-05,09:00:00,0006,Good in Da Hood,,2026-04-21 22:11:53
2018,DT,12688,,,3,ACQUIRE,ADDDROP:BBID,2018-09-12,09:00:00,0003,Gride,salary=6000,2026-04-21 22:11:53
2018,DT,13265,,,1,ACQUIRE,ADDDROP:BBID,2018-09-13,09:00:00,0006,Good in Da Hood,salary=1000,2026-04-21 22:11:53
2018,DT,11045,,,1,ACQUIRE,ADDDROP:FREE_AGENT,2018-09-16,10:27:33,0002,The Bash Bros,salary=1000,2026-04-21 22:11:53
2018,DT,11045,,,2,DROP,ADDDROP:FREE_AGENT,2018-09-18,16:55:19,0002,The Bash Bros,,2026-04-21 22:11:53
2018,DT,11045,,,3,DROP,FREE_AGENT,2018-09-18,16:55:19,0002,The Bash Bros,,2026-04-21 22:11:53
2018,DT,11333,,,1,ACQUIRE,ADDDROP:BBID,2018-09-20,09:00:00,0004,Pure Greatness,salary=1000,2026-04-21 22:11:53
2018,DT,10762,,,1,ACQUIRE,ADDDROP:BBID,2018-09-22,09:00:00,0002,The Bash Bros,salary=2000,2026-04-21 22:11:53
2018,DT,12688,,,4,ACQUIRE,TRADE,2018-09-23,09:51:47,0002,The Bash Bros,trade2018_46,2026-04-21 22:11:53
2018,DT,11274,,,1,ACQUIRE,ADDDROP:BBID,2018-09-26,09:00:00,0001,Ulterior Warrior,salary=4000,2026-04-21 22:11:53
