season,player_name,event_type,event_source,event_date,team_name,salary,contract_year,contract_status,contract_info,inferred_contract_info,contract_length,tcv,aav,position_filter,player_id,nfl_team,event_seq,event_time,franchise_id,event_detail,snapshot_week,snapshot_source,year_values_json,extension_flag,restructure_flag,mym_flag,post_add_multi_year_flag,post_add_multi_year_reason,generated_at_utc
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-08,C-Town Chivalry,0,0,,,,0,0,0,DT,10265,,1,11:22:03,0009,,1,preseason,{},0,0,0,0,,2026-04-21 22:11:45
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-15,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DT,12688,,1,06:31:45,0007,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:11:45
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-15,Crystal Blue Persuasian,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DT,13041,,1,17:53:36,0002,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:11:45
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-12,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DT,12688,,2,21:09:29,0007,,1,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:11:45
2017,,ACQUIRE,ADDDROP:BBID,2017-09-13,Gordon Is The New Blackmon,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,DT,10762,,1,09:00:00,0008,salary=3000|default_1yr,1,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:11:45
2017,,DROP,ADDDROP:BBID,2017-09-30,Gordon Is The New Blackmon,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,DT,10762,,2,09:00:00,0008,,4,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:11:45
2017,,ACQUIRE,ADDDROP:BBID,2017-10-07,C-Town Chivalry,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,DT,12688,,3,09:00:00,0009,salary=2000|default_1yr,5,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:11:45
2017,,DROP,ADDDROP:FREE_AGENT,2017-10-22,Crystal Blue Persuasian,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,DT,13041,,2,09:05:16,0002,,7,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:11:45
2017,,DROP,ADDDROP:BBID,2017-10-25,C-Town Chivalry,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,DT,12688,,4,09:00:00,0009,,7,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:11:45
2017,,ACQUIRE,ADDDROP:BBID,2017-11-01,Good in Da Hood,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,DT,12536,,1,09:00:00,0006,salary=4000|default_1yr,8,schedule,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:11:45
