season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2018,LB,13826,"Adams, Matthew",LB,IND,1,2018-09-01,2018-09-06,2018-12-24,16,0004,Pure Greatness,TAXI_SQUAD,1000,3,Rookie,,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,3,0,1,3000,0,0,0,3,3000,1000,{},0,0,1,1000,0,1000,1000,1000,2000,2018-12-24,0,tcv_div_cl,1,change_category_manual_review,2017,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:49
2017,LB,12233,"Alexander, Kwon",LB,TBB,1,2017-09-01,2017-09-07,2017-12-25,16,0006,Good in Da Hood,ROSTER,1000,2,STANDARD,,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K",0,0,0,0,0,,2,0,1,2000,0,0,0,2,2000,1000,{},0,0,1,1000,0,1000,1000,1000,1000,2017-12-25,0,tcv_div_cl,1,change_category_manual_review,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:43
2019,LB,12233,"Alexander, Kwon",LB,SFO,1,2019-09-01,2019-09-05,2019-12-23,16,0012,Hawks,ROSTER,1000,3,Veteran,TCV 3K,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,1,multi_year_after_drop|add=2019-11-13|drop=2019-11-06,3,0,0,3000,0,0,0,3,3000,1000,{},0,0,1,1000,0,1000,1000,1000,2000,2019-12-23,0,tcv_div_cl,1,mid_year_multi,2018,16,0011,Cleon Ca$h,INJURED_RESERVE,1000,2,Veteran,"Ext. Hood '19 [1K, 4K]",2,5000,2500,"{""Y1"":1000,""Y2"":4000}",0,0,tcv_div_cl,0,1,1,0,1,fa_auction,2019-08-23,AUCTION:FreeAgent,fa_auction | last_drop=2019-07-23 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,5000,2019-08-23,2,2019-07-23,Cleon Ca$h,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:12:53
2017,LB,8951,"Alexander, Lorenzo",LB,BUF,1,2017-09-01,2017-09-07,2017-12-25,16,0011,Cleon Ca$h,ROSTER,2000,1,STANDARD,,CL 1| TCV 2K| AAV 2K| Y1-2K,0,0,0,0,0,,1,0,1,2000,0,0,0,1,2000,2000,{},0,0,1,2000,0,2000,2000,2000,0,2017-12-25,0,tcv_div_cl,1,change_category_manual_review,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:43
2022,LB,15858,"Andersen, Troy",LB,ATL,1,2022-09-01,2022-09-08,2023-01-02,17,0004,Pure Greatness,TAXI_SQUAD,1000,3,Rookie,CL 3| TCV 3K| AAV 1K,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,3,0,0,3000,0,0,0,3,3000,1000,{},0,0,1,1000,0,1000,1000,1000,2000,2023-01-02,0,aav_token_1,1,change_category_manual_review,2021,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:10
2018,LB,13706,"Baker, Jerome",LB,MIA,1,2018-09-01,2018-09-06,2018-12-24,16,0009,C-Town Chivalry,TAXI_SQUAD,1000,3,Rookie,,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,3,0,1,3000,0,0,0,3,3000,1000,{},0,0,1,1000,0,1000,1000,1000,2000,2018-12-24,0,tcv_div_cl,1,change_category_manual_review,2017,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:49
2021,LB,15409,"Barnes, Derrick",LB,DET,1,2021-09-01,2021-09-09,2022-01-03,17,0010,Blake Bombers,TAXI_SQUAD,1000,3,Rookie,CL 3| TCV 3K,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,3,0,0,3000,0,0,0,3,3000,1000,{},0,0,1,1000,0,1000,1000,1000,2000,2022-01-03,0,tcv_div_cl,1,change_category_manual_review,2020,22,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:04
2020,LB,14893,"Baun, Zack",LB,NOS,1,2020-09-01,2020-09-10,2020-12-28,16,0002,The Bash Bros,TAXI_SQUAD,1000,3,Rookie,TCV 3K,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,3,0,0,3000,0,0,0,3,3000,1000,{},0,0,1,1000,0,1000,1000,1000,2000,2020-12-28,0,tcv_div_cl,1,change_category_manual_review,2019,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:12:57
2021,LB,15355,"Bolton, Nick",LB,KCC,1,2021-09-01,2021-09-09,2022-01-03,17,0003,Gride,TAXI_SQUAD,2000,3,Rookie,CL 3| TCV 6K,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K",0,0,0,0,0,,3,0,0,6000,0,0,0,3,6000,2000,{},0,0,1,2000,0,2000,2000,2000,4000,2022-01-03,0,tcv_div_cl,1,change_category_manual_review,2020,22,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:04
2023,LB,15355,"Bolton, Nick",LB,KCC,1,2023-09-01,2023-09-07,2023-12-31,17,0003,Gride,ROSTER,1000,3,Veteran,CL 3| TCV 3K| AAV 1K,"CL 3| TCV 13K| AAV 1K/6K| Y1-1K, Y2-6K, Y3-6K| Inferred Extension",1,0,0,0,1,multi_year_after_drop|add=2023-10-29|drop=2023-10-27,3,0,0,11000,0,0,0,3,3000,1000,{},2,5000,1,1000,0,1000,1000,3000,10000,2023-12-31,0,aav_token_1,1,mid_year_multi|contract_info_inconsistent,2022,23,0003,Gride,ROSTER,2000,2,Rookie,CL 3| TCV 6K,3,6000,2000,{},0,0,tcv_div_cl,2000,1,1,0,1,extension_inferred,2023-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:26
2022,LB,12686,"Bosa, Joey",LB,LAC,1,2022-09-01,2022-09-08,2023-01-02,17,0011,Cleon Ca$h,ROSTER,2000,2,Veteran,CL 2| TCV 4K| AAV 2K|,"CL 2| TCV 4K| AAV 2K| Y1-2K, Y2-2K",0,0,0,0,1,multi_year_after_drop|add=2022-10-01|drop=2022-09-29,2,0,0,4000,0,0,0,2,4000,2000,{},0,0,1,2000,0,2000,2000,2000,2000,2023-01-02,0,aav_token_1,1,mid_year_multi,2021,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,fa_auction,2022-08-07,AUCTION:FreeAgent,fa_auction | last_drop=2022-05-02 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2022-08-07,1,2022-05-02,Ulterior Warrior,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:13:10
2017,LB,10827,"Bradham, Nigel",LB,PHI,1,2017-09-01,2017-09-07,2017-12-25,16,0008,Gordon Is The New Blackmon,ROSTER,1000,1,STANDARD,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,1,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2017-12-25,0,tcv_div_cl,1,change_category_manual_review,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:12:43
2020,LB,14892,"Brooks, Jordyn",LB,SEA,1,2020-09-01,2020-09-10,2020-12-28,16,0012,Hawks,TAXI_SQUAD,1000,3,Rookie,TCV 3K,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,3,0,0,3000,0,0,0,3,3000,1000,{},0,0,1,1000,0,1000,1000,1000,2000,2020-12-28,0,tcv_div_cl,1,change_category_manual_review,2019,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:12:57
2023,LB,14892,"Brooks, Jordyn",LB,SEA,1,2023-09-01,2023-09-07,2023-12-31,17,0012,Hawks,ROSTER,6000,2,Veteran,CL 2| TCV 12K| AAV 6K| Ext: Hawks,"CL 2| TCV 17K| AAV 6K/11K| Y1-6K, Y2-11K| Inferred Extension",1,0,0,0,0,,2,0,0,15000,0,0,0,2,12000,6000,{},2,5000,1,6000,0,6000,6000,8000,9000,2023-12-31,0,aav_token_1,1,extension_inferred_but_contract_info_has_ext|contract_info_inconsistent,2022,23,0012,Hawks,ROSTER,1000,1,Rookie,CL 3| TCV 3K,3,3000,1000,{},0,0,tcv_div_cl,2000,1,0,1,1,extension_inferred,2023-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:26
2019,LB,13304,"Brown, Jayon",LB,TEN,1,2019-09-01,2019-09-05,2019-12-23,16,0003,Gride,ROSTER,1000,2,Veteran,"Ext. BLM '20 [1K, 4K] TCV 5K","CL 2| TCV 5K| AAV 1K/4K| Y1-1K, Y2-4K",0,0,0,0,1,multi_year_after_drop|add=2019-12-04|drop=2019-10-24,2,0,0,5000,0,0,0,2,5000,2500,"{""Y1"":1000,""Y2"":4000}",0,0,1,1000,0,1000,1000,1000,4000,2019-12-23,0,tcv_div_cl,1,mid_year_multi,2018,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,fa_auction,2019-08-25,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,2000,2019-08-25,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:12:53
2021,LB,15356,"Browning, Baron",LB,DEN,1,2021-09-01,2021-09-09,2022-01-03,17,0009,C-Town Chivalry,TAXI_SQUAD,1000,3,Rookie,CL 3| TCV 3K,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,3,0,0,3000,0,0,0,3,3000,1000,{},0,0,1,1000,0,1000,1000,1000,2000,2022-01-03,0,tcv_div_cl,1,change_category_manual_review,2020,22,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:13:04
