season,position_filter,player_id,player_name,nfl_team,lineage_seq,owner_franchise_id,owner_team_name,stint_start_date,stint_end_date,acquire_source,close_source,week1_owner_franchise_id,week1_owner_team_name,prior_owner_franchise_id,prior_owner_team_name,week1_contract_info,prior_contract_info,generated_at_utc
2017,LB,12230,,,1,0001,Ulterior Warrior,2017-08-08,2017-08-23,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:12:44
2017,LB,13245,,,1,0010,Blake Bombers,2017-08-08,2017-11-08,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:12:44
2017,LB,10774,,,1,0009,C-Town Chivalry,2017-08-09,2017-08-27,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:12:44
2017,LB,11722,,,1,0006,Good in Da Hood,2017-08-09,2017-09-06,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:12:44
2017,LB,10982,,,1,0010,Blake Bombers,2017-08-11,2017-08-12,AUCTION:FreeAgent,TRADE,,,,,,,2026-04-21 22:12:44
2017,LB,12272,,,1,0003,Gride,2017-08-11,2017-11-05,AUCTION:FreeAgent,TRADE,,,,,,,2026-04-21 22:12:44
2017,LB,10982,,,2,0007,Sex Manther,2017-08-12,2017-09-12,TRADE,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:12:44
2017,LB,11403,,,1,0007,Sex Manther,2017-08-14,2017-09-02,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:12:44
2017,LB,10353,,,1,0002,Crystal Blue Persuasian,2017-08-15,2017-11-05,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:12:44
2017,LB,12774,,,1,0003,Gride,2017-08-15,2017-11-05,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:12:44
2017,LB,10350,,,1,0008,Gordon Is The New Blackmon,2017-08-16,2017-09-13,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:12:44
2017,LB,12734,,,1,0007,Sex Manther,2017-08-16,2017-09-13,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:12:44
2017,LB,7827,,,1,0008,Gordon Is The New Blackmon,2017-08-17,2017-09-30,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:12:44
2017,LB,13392,,,1,0008,Gordon Is The New Blackmon,2017-08-21,2017-09-10,ADDDROP:FREE_AGENT,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:12:44
2017,LB,11767,,,1,0001,Ulterior Warrior,2017-08-23,2017-09-07,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:12:44
2017,LB,11375,,,1,0010,Blake Bombers,2017-08-24,2017-09-03,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:12:44
2017,LB,7826,,,1,0001,Ulterior Warrior,2017-08-27,2017-10-07,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:12:44
2017,LB,10269,,,1,0007,Sex Manther,2017-09-06,2017-09-19,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:12:44
2017,LB,10754,,,1,0007,Sex Manther,2017-09-06,2017-09-07,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:12:44
2017,LB,13392,,,2,0002,Crystal Blue Persuasian,2017-09-10,2017-11-02,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:12:44
