season,player_name,event_type,event_source,event_date,team_name,salary,contract_year,contract_status,contract_info,inferred_contract_info,contract_length,tcv,aav,position_filter,player_id,nfl_team,event_seq,event_time,franchise_id,event_detail,snapshot_week,snapshot_source,year_values_json,extension_flag,restructure_flag,mym_flag,post_add_multi_year_flag,post_add_multi_year_reason,generated_at_utc
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-08,C-Town Chivalry,0,0,,,,0,0,0,LB,11984,,1,11:22:35,0009,,1,preseason,{},0,0,0,0,,2026-04-21 22:12:47
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-26,Good in Da Hood,0,0,,,,0,0,0,LB,8669,,1,09:15:09,0006,,1,preseason,{},0,0,0,0,,2026-04-21 22:12:47
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-01,Blake Bombers,0,0,,,,0,0,0,LB,11722,,1,10:41:27,0010,,1,preseason,{},0,0,0,0,,2026-04-21 22:12:46
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-08,Ulterior Warrior,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,LB,12230,,1,06:17:21,0001,bid=4000|default_1yr,1,preseason,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:12:46
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-08,Blake Bombers,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,LB,13245,,1,09:08:27,0010,bid=3000|default_1yr,1,preseason,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:12:46
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-09,Good in Da Hood,5000,1,ADD_DEFAULT_1YR,,CL 1| TCV 5K| AAV 5K| Y1-5K| Default Add,1,5000,5000,LB,11722,,2,15:49:26,0006,bid=5000|default_1yr,1,preseason,"{""Y1"":5000}",0,0,0,0,,2026-04-21 22:12:46
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-09,C-Town Chivalry,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,LB,10774,,1,17:27:05,0009,bid=4000|default_1yr,1,preseason,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:12:46
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-11,Gride,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,LB,12272,,1,00:20:46,0003,bid=3000|default_1yr,1,preseason,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:12:46
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-11,Blake Bombers,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,LB,10982,,1,21:36:59,0010,bid=3000|default_1yr,1,preseason,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:12:46
2017,,ACQUIRE,TRADE,2017-08-12,Sex Manther,0,0,,,,0,0,0,LB,10982,,2,20:26:29,0007,trade2017_39,1,preseason,{},0,0,0,0,,2026-04-21 22:12:46
