season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2024,PK,16414,"Aubrey, Brandon",PK,DAL,1,2024-09-01,2024-09-05,2024-12-30,17,0008,Real Deal Creel,ROSTER,1000,1,WW,CL 1|,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2024-12-30,0,tcv_div_cl,0,,2023,23,0012,Hawks,ROSTER,1000,1,Rookie,,1,1000,1000,{},0,0,tcv_div_cl,0,1,0,1,0,expired_rookie_or_tag_auction,2024-05-15,AUCTION:TagOrExpiredRookie,expired_rookie_or_tag_auction | last_drop=2024-05-10 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,TagOrExpiredRookie,2000,2024-05-15,2,2024-05-10,Hawks,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:09:54
2025,PK,16414,"Aubrey, Brandon",PK,DAL,1,2025-08-31,2025-09-04,2025-12-29,17,0001,L.A. Looks,ROSTER,2000,2,Veteran,CL 2| TCV 4K| AAV 2K,"CL 2| TCV 4K| AAV 2K| Y1-2K, Y2-2K",0,0,0,0,0,,2,0,0,4000,0,0,0,2,4000,2000,{},0,0,1,2000,0,2000,2000,2000,2000,2025-12-29,0,aav_token_1,0,,2024,23,0008,Real Deal Creel,ROSTER,1000,1,WW,CL 1|,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,1,fa_auction,2025-08-05,AUCTION:FreeAgent,fa_auction | last_drop=2025-02-18 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,2000,2025-08-05,1,2025-02-18,Real Deal Creel,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:09:57
2023,PK,13980,"Badgley, Mike",PK,DET,1,2023-09-01,2023-09-07,2023-12-31,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2023-12-31,0,,0,,2022,23,0002,The Bash Bros,ROSTER,1000,1,WW,CL 1,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,dropped_off_roster,,,dropped_off_roster | last_drop=2023-03-10 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,2,2023-03-10,CBP,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:09:50
2020,PK,10506,"Bailey, Dan",PK,MIN,1,2020-09-01,2020-09-10,2020-12-28,16,0009,C-Town Chivalry,ROSTER,1000,1,WW,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2020-12-28,0,tcv_div_cl,0,,2019,16,0008,#BLM,ROSTER,7000,1,WW,,1,7000,7000,{},0,0,tcv_div_cl,0,0,0,0,0,fa_auction,2020-08-21,AUCTION:FreeAgent,fa_auction | last_drop=2020-05-08 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2020-08-21,1,2020-05-08,#BLM,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:09:37
2021,PK,14983,"Bass, Tyler",PK,BUF,1,2021-09-01,2021-09-09,2022-01-03,17,0002,The Bash Bros,ROSTER,3000,1,ER,CL 1|,CL 1| TCV 3K| AAV 3K| Y1-3K,0,0,0,0,0,,1,0,0,3000,0,0,0,1,3000,3000,{},0,0,1,3000,0,3000,3000,3000,0,2022-01-03,0,tcv_div_cl,0,,2020,22,0004,Pure Greatness,ROSTER,1000,1,Rookie,,1,1000,1000,{},0,0,tcv_div_cl,0,1,0,1,1,dropped_then_waiver_readd,2021-06-08,BBID_WAIVER,dropped_then_waiver_readd | last_add=2021-06-08 BBID_WAIVER | last_drop=2021-05-06 FREE_AGENT,0,0,0,0,,0,1,0.0,0,0,0,0,0,0,,0,,1,2021-05-06,Pure Greatness,FREE_AGENT,FREE_AGENT,1,2021-06-08,The Bash Bros,BBID,BBID_WAIVER,3000,0,,,0,current,2026-04-21 22:09:43
2022,PK,14983,"Bass, Tyler",PK,BUF,1,2022-09-01,2022-09-08,2023-01-02,17,0005,Run CMC,ROSTER,1000,1,WW,CL 1,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2023-01-02,0,tcv_div_cl,0,,2021,23,0002,The Bash Bros,ROSTER,3000,1,ER,CL 1|,1,3000,3000,{},0,0,tcv_div_cl,0,1,0,1,0,fa_auction,2022-08-02,AUCTION:FreeAgent,fa_auction | last_drop=2022-05-02 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,2000,2022-08-02,1,2022-05-02,The Bash Bros,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:09:46
2023,PK,14983,"Bass, Tyler",PK,BUF,1,2023-09-01,2023-09-07,2023-12-31,17,0005,HammerTime 🔨 ⏰,ROSTER,4000,1,WW,,CL 1| TCV 4K| AAV 4K| Y1-4K,0,0,0,0,0,,1,0,0,4000,0,0,0,1,4000,4000,{},0,0,1,4000,0,4000,4000,4000,0,2023-12-31,0,tcv_div_cl,0,,2022,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2023-07-31,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,2000,2023-07-31,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:09:50
2024,PK,14983,"Bass, Tyler",PK,BUF,1,2024-09-01,2024-09-05,2024-12-30,17,0006,The Long Haulers,ROSTER,1000,1,WW,CL 1|,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2024-12-30,0,tcv_div_cl,0,,2023,23,0007,Sex Manther,ROSTER,4000,1,WW,,1,4000,4000,{},0,0,tcv_div_cl,0,0,0,0,0,fa_auction,2024-07-30,AUCTION:FreeAgent,fa_auction | last_drop=2024-03-06 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2024-07-30,1,2024-03-06,Sex Manther,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:09:54
2025,PK,14983,"Bass, Tyler",PK,BUF,1,2025-08-31,2025-09-04,2025-12-29,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2025-12-29,0,,0,,2024,23,0010,Blake Bombers,ROSTER,1000,1,WW,CL 1|,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,fa_auction,2025-08-09,AUCTION:FreeAgent,fa_auction | last_drop=2025-05-18 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2025-08-09,1,2025-05-18,Blake Bombers,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:09:57
2025,PK,16846,"Bates, Jake",PK,DET,1,2025-08-31,2025-09-04,2025-12-29,17,0007,Sex Manther,ROSTER,1000,1,WW,CL 1|,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2025-12-29,0,tcv_div_cl,0,,2024,23,0001,Ulterior Warrior,ROSTER,4000,1,WW,CL 1|,1,4000,4000,{},0,0,tcv_div_cl,0,0,0,0,0,fa_auction,2025-08-05,AUCTION:FreeAgent,fa_auction | last_drop=2025-05-22 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2025-08-05,1,2025-05-22,L.A. Looks,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:09:57
