season,position_filter,player_id,player_name,nfl_team,lineage_seq,owner_franchise_id,owner_team_name,stint_start_date,stint_end_date,acquire_source,close_source,week1_owner_franchise_id,week1_owner_team_name,prior_owner_franchise_id,prior_owner_team_name,week1_contract_info,prior_contract_info,generated_at_utc
2017,PK,10506,,,1,0009,C-Town Chivalry,2017-08-08,2017-10-25,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,5666,,,1,0001,Ulterior Warrior,2017-08-08,2017-09-10,AUCTION:FreeAgent,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:25
2017,PK,2842,,,1,0002,Crystal Blue Persuasian,2017-08-09,2017-11-08,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,8742,,,1,0008,Gordon Is The New Blackmon,2017-08-09,2017-10-04,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,11387,,,1,0007,Sex Manther,2017-08-12,2017-09-13,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,11945,,,1,0011,Cleon Ca$h,2017-08-16,2017-09-28,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,11384,,,1,0012,White Power,2017-09-02,2017-09-13,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,11947,,,1,0001,Ulterior Warrior,2017-09-10,2017-09-20,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,10868,,,1,0007,Sex Manther,2017-09-13,2017-12-21,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,9686,,,1,0001,Ulterior Warrior,2017-09-20,2017-10-15,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:25
2017,PK,11947,,,2,0011,Cleon Ca$h,2017-09-28,2017-10-05,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,12860,,,1,0006,Good in Da Hood,2017-10-04,2017-10-14,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:25
2017,PK,9694,,,1,0008,Gordon Is The New Blackmon,2017-10-04,2017-10-11,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,11960,,,1,0001,Ulterior Warrior,2017-10-15,2017-10-19,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,9686,,,2,0001,Ulterior Warrior,2017-10-19,2017-11-26,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,9319,,,1,0003,Gride,2017-10-21,2017-11-26,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:25
2017,PK,10487,,,1,0001,Ulterior Warrior,2017-10-29,2017-11-01,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,9694,,,2,0011,Cleon Ca$h,2017-11-05,2017-11-19,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:25
2017,PK,10487,,,2,0002,Crystal Blue Persuasian,2017-11-08,2017-12-06,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,11960,,,2,0012,White Power,2017-11-09,2017-12-17,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:25
2017,PK,11947,,,3,0004,Pure Greatness,2017-11-12,2017-11-16,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,9686,,,3,0002,Crystal Blue Persuasian,2017-12-06,2017-12-14,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2017,PK,11971,,,1,0001,Ulterior Warrior,2017-12-07,2017-12-24,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:25
2018,PK,10487,,,1,0004,Pure Greatness,2018-08-13,2018-09-02,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,10506,,,1,0006,Good in Da Hood,2018-09-19,2018-11-18,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:29
2018,PK,10862,,,1,0004,Pure Greatness,2018-09-19,2018-10-04,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,12860,,,1,0001,Ulterior Warrior,2018-09-30,2018-10-06,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,12860,,,2,0009,C-Town Chivalry,2018-10-10,2018-10-24,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,13909,,,1,0003,Gride,2018-10-11,2018-11-01,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:29
2018,PK,11966,,,1,0001,Ulterior Warrior,2018-10-13,2018-11-14,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,9694,,,1,0005,C'mon Son,2018-10-20,2018-12-16,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:29
2018,PK,12437,,,1,0004,Pure Greatness,2018-10-24,2018-11-15,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,11387,,,1,0007,Sex Manther,2018-11-14,2018-11-18,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,12860,,,3,0001,Ulterior Warrior,2018-11-14,2018-11-25,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,13909,,,2,0004,Pure Greatness,2018-11-15,2018-12-24,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:29
2018,PK,2842,,,1,0008,Gordon Is The New Blackmon,2018-11-21,2018-11-27,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:29
2018,PK,12437,,,2,0010,Blake Bombers,2018-11-21,2018-12-24,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:29
2018,PK,13980,,,1,0006,Good in Da Hood,2018-11-22,2018-12-22,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,13241,,,1,0001,Ulterior Warrior,2018-11-25,2018-12-09,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
