season,position_filter,player_id,player_name,nfl_team,lineage_seq,owner_franchise_id,owner_team_name,stint_start_date,stint_end_date,acquire_source,close_source,week1_owner_franchise_id,week1_owner_team_name,prior_owner_franchise_id,prior_owner_team_name,week1_contract_info,prior_contract_info,generated_at_utc
2017,PN,12844,,,1,0012,White Power,2017-08-11,2017-11-16,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,10814,,,1,0009,C-Town Chivalry,2017-08-12,2017-09-20,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,12842,,,1,0002,Crystal Blue Persuasian,2017-08-13,2017-10-08,AUCTION:FreeAgent,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:10:02
2017,PN,9310,,,1,0003,Gride,2017-08-13,2017-10-05,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,7578,,,1,0010,Blake Bombers,2017-08-15,2017-09-03,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,7614,,,1,0011,Cleon Ca$h,2017-08-24,2017-10-07,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,13051,,,1,0010,Blake Bombers,2017-09-03,2017-09-20,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,9596,,,1,0009,C-Town Chivalry,2017-09-10,2017-09-12,ADDDROP:FREE_AGENT,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:10:02
2017,PN,13431,,,1,0010,Blake Bombers,2017-09-20,2017-11-15,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,12323,,,1,0003,Gride,2017-10-05,2017-11-15,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,12808,,,1,0011,Cleon Ca$h,2017-10-07,2017-11-05,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,11379,,,1,0002,Crystal Blue Persuasian,2017-10-08,2017-10-22,ADDDROP:FREE_AGENT,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:10:02
2017,PN,11840,,,1,0008,Gordon Is The New Blackmon,2017-10-11,2017-10-25,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,11383,,,1,0001,Ulterior Warrior,2017-10-29,2017-11-05,ADDDROP:FREE_AGENT,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:10:02
2017,PN,13051,,,2,0001,Ulterior Warrior,2017-11-05,2017-11-18,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,11840,,,2,0009,C-Town Chivalry,2017-11-08,2017-11-15,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,12808,,,2,0002,Crystal Blue Persuasian,2017-11-09,2017-11-15,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,9310,,,2,0006,Good in Da Hood,2017-11-09,2017-11-22,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
2017,PN,12844,,,2,0006,Good in Da Hood,2017-11-22,2017-12-14,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:10:02
