season,position_filter,player_id,player_name,nfl_team,event_seq,event_type,event_source,event_date,event_time,franchise_id,team_name,detail,generated_at_utc
2017,RB,9054,,,1,DROP,ADDDROP:FREE_AGENT,2017-03-04,10:07:48,0007,Sex Manther,,2026-04-21 22:07:15
2017,RB,9054,,,2,DROP,FREE_AGENT,2017-03-04,10:07:48,0007,Sex Manther,,2026-04-21 22:07:15
2017,RB,11834,,,1,DROP,FREE_AGENT,2017-03-06,08:16:29,0010,Blake Bombers,,2026-04-21 22:07:15
2017,RB,12446,,,1,DROP,FREE_AGENT,2017-03-06,08:16:29,0010,Blake Bombers,,2026-04-21 22:07:15
2017,RB,9196,,,1,DROP,ADDDROP:FREE_AGENT,2017-03-08,11:22:20,0009,C-Town Chivalry,,2026-04-21 22:07:15
2017,RB,9196,,,2,DROP,FREE_AGENT,2017-03-08,11:22:20,0009,C-Town Chivalry,,2026-04-21 22:07:15
2017,RB,10300,,,1,DROP,ADDDROP:FREE_AGENT,2017-03-08,11:22:57,0009,C-Town Chivalry,,2026-04-21 22:07:15
2017,RB,10300,,,2,DROP,FREE_AGENT,2017-03-08,11:22:57,0009,C-Town Chivalry,,2026-04-21 22:07:15
2017,RB,9851,,,1,DROP,ADDDROP:FREE_AGENT,2017-03-14,22:19:53,0006,Good in Da Hood,,2026-04-21 22:07:15
2017,RB,9851,,,2,DROP,FREE_AGENT,2017-03-14,22:19:53,0006,Good in Da Hood,,2026-04-21 22:07:15
2017,RB,9987,,,1,DROP,ADDDROP:FREE_AGENT,2017-03-29,22:50:09,0003,Gride,,2026-04-21 22:07:15
2017,RB,9987,,,2,DROP,FREE_AGENT,2017-03-29,22:50:09,0003,Gride,,2026-04-21 22:07:15
2017,RB,9680,,,1,DROP,ADDDROP:FREE_AGENT,2017-04-26,08:22:29,0009,C-Town Chivalry,,2026-04-21 22:07:15
2017,RB,9680,,,2,DROP,FREE_AGENT,2017-04-26,08:22:29,0009,C-Town Chivalry,,2026-04-21 22:07:15
2017,RB,12264,,,1,ACQUIRE,TRADE,2017-04-30,16:32:22,0001,Ulterior Warrior,trade2017_8,2026-04-21 22:07:15
2017,RB,9078,,,1,DROP,ADDDROP:FREE_AGENT,2017-05-03,10:09:46,0005,C'mon Son,,2026-04-21 22:07:15
2017,RB,9078,,,2,DROP,FREE_AGENT,2017-05-03,10:09:46,0005,C'mon Son,,2026-04-21 22:07:15
2017,RB,11201,,,1,ACQUIRE,TRADE,2017-05-16,17:17:01,0008,Gordon Is The New Blackmon,trade2017_12,2026-04-21 22:07:15
2017,RB,13136,,,1,STATUS,TAXI_DEMOTE,2017-06-19,08:28:36,0009,C-Town Chivalry,,2026-04-21 22:07:15
2017,RB,13141,,,1,STATUS,TAXI_DEMOTE,2017-06-19,08:28:36,0009,C-Town Chivalry,,2026-04-21 22:07:15
2017,RB,11179,,,1,DROP,ADDDROP:FREE_AGENT,2017-06-24,11:26:20,0008,Gordon Is The New Blackmon,,2026-04-21 22:07:15
2017,RB,11179,,,2,DROP,FREE_AGENT,2017-06-24,11:26:20,0008,Gordon Is The New Blackmon,,2026-04-21 22:07:15
2017,RB,12388,,,1,DROP,ADDDROP:FREE_AGENT,2017-06-24,11:32:54,0008,Gordon Is The New Blackmon,,2026-04-21 22:07:15
2017,RB,12388,,,2,DROP,FREE_AGENT,2017-06-24,11:32:54,0008,Gordon Is The New Blackmon,,2026-04-21 22:07:15
2017,RB,12871,,,1,DROP,ADDDROP:FREE_AGENT,2017-06-30,11:48:14,0011,Cleon Ca$h,,2026-04-21 22:07:15
2017,RB,12871,,,2,DROP,FREE_AGENT,2017-06-30,11:48:14,0011,Cleon Ca$h,,2026-04-21 22:07:15
2017,RB,11652,,,1,DROP,ADDDROP:FREE_AGENT,2017-07-01,10:42:19,0005,C'mon Son,,2026-04-21 22:07:15
2017,RB,11652,,,2,DROP,FREE_AGENT,2017-07-01,10:42:19,0005,C'mon Son,,2026-04-21 22:07:15
2017,RB,11656,,,1,DROP,ADDDROP:FREE_AGENT,2017-07-01,10:44:27,0006,Good in Da Hood,,2026-04-21 22:07:15
2017,RB,11656,,,2,DROP,FREE_AGENT,2017-07-01,10:44:27,0006,Good in Da Hood,,2026-04-21 22:07:15
