season,player_name,event_type,event_source,event_date,team_name,salary,contract_year,contract_status,contract_info,inferred_contract_info,contract_length,tcv,aav,position_filter,player_id,nfl_team,event_seq,event_time,franchise_id,event_detail,snapshot_week,snapshot_source,year_values_json,extension_flag,restructure_flag,mym_flag,post_add_multi_year_flag,post_add_multi_year_reason,generated_at_utc
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-04,Sex Manther,0,0,,,,0,0,0,RB,9054,,1,10:07:48,0007,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,DROP,FREE_AGENT,2017-03-06,Blake Bombers,0,0,,,,0,0,0,RB,11834,,1,08:16:29,0010,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,DROP,FREE_AGENT,2017-03-06,Blake Bombers,0,0,,,,0,0,0,RB,12446,,1,08:16:29,0010,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-08,C-Town Chivalry,0,0,,,,0,0,0,RB,9196,,1,11:22:20,0009,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-08,C-Town Chivalry,0,0,,,,0,0,0,RB,10300,,1,11:22:57,0009,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-14,Good in Da Hood,0,0,,,,0,0,0,RB,9851,,1,22:19:53,0006,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-29,Gride,0,0,,,,0,0,0,RB,9987,,1,22:50:09,0003,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,DROP,ADDDROP:FREE_AGENT,2017-04-26,C-Town Chivalry,0,0,,,,0,0,0,RB,9680,,1,08:22:29,0009,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,ACQUIRE,TRADE,2017-04-30,Ulterior Warrior,0,0,,,,0,0,0,RB,12264,,1,16:32:22,0001,trade2017_8,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,DROP,ADDDROP:FREE_AGENT,2017-05-03,C'mon Son,0,0,,,,0,0,0,RB,9078,,1,10:09:46,0005,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,ACQUIRE,TRADE,2017-05-16,Gordon Is The New Blackmon,0,0,,,,0,0,0,RB,11201,,1,17:17:01,0008,trade2017_12,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,STATUS,TAXI_DEMOTE,2017-06-19,C-Town Chivalry,0,0,,,,0,0,0,RB,13136,,1,08:28:36,0009,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,STATUS,TAXI_DEMOTE,2017-06-19,C-Town Chivalry,0,0,,,,0,0,0,RB,13141,,1,08:28:36,0009,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,DROP,ADDDROP:FREE_AGENT,2017-06-24,Gordon Is The New Blackmon,0,0,,,,0,0,0,RB,11179,,1,11:26:20,0008,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
2017,,DROP,ADDDROP:FREE_AGENT,2017-06-24,Gordon Is The New Blackmon,0,0,,,,0,0,0,RB,12388,,1,11:32:54,0008,,1,preseason,{},0,0,0,0,,2026-04-21 22:07:16
