season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2019,S,14184,"Abram, Johnathan",S,OAK,1,2019-09-01,2019-09-05,2019-12-23,16,0009,C-Town Chivalry,TAXI_SQUAD,1000,3,Rookie GF,,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,3,1,1,3000,0,0,0,3,3000,1000,{},0,0,1,1000,0,1000,1000,1000,2000,2019-12-23,0,tcv_div_cl,1,change_category_manual_review,2018,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:15:30
2020,S,14184,"Abram, Johnathan",S,LVR,1,2020-09-01,2020-09-10,2020-12-28,16,0009,C-Town Chivalry,ROSTER,1000,2,Rookie GF,,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K",0,0,0,0,0,,2,1,1,2000,0,0,0,2,2000,1000,{},0,0,1,1000,0,1000,1000,1000,1000,2020-12-28,0,tcv_div_cl,0,,2019,16,0009,C-Town Chivalry,TAXI_SQUAD,1000,3,Rookie GF,,3,3000,1000,{},0,0,tcv_div_cl,0,1,1,0,1,carryover_contract,2020-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:15:49
2021,S,14184,"Abram, Johnathan",S,LVR,1,2021-09-01,2021-09-09,2022-01-03,17,0009,C-Town Chivalry,ROSTER,1000,1,Rookie GF,CL 3|,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,1,1,1,3000,0,0,0,3,3000,1000,{},0,0,3,1000,2000,1000,1000,1000,2000,2022-01-03,0,tcv_div_cl,0,,2020,22,0009,C-Town Chivalry,ROSTER,1000,2,Rookie GF,,2,2000,1000,{},0,0,tcv_div_cl,0,1,1,0,1,carryover_contract,2021-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:15:55
2022,S,14184,"Abram, Johnathan",S,SEA,1,2022-09-01,2022-09-08,2023-01-02,17,0012,Hawks,ROSTER,1000,1,WW,CL 1,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,0,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,3000,0,2023-01-02,0,tcv_div_cl,0,,2021,23,0009,C-Town Chivalry,ROSTER,1000,1,Rookie GF,CL 3|,3,3000,1000,{},0,0,tcv_div_cl,2000,1,0,1,0,expired_rookie_or_tag_auction,2022-05-10,AUCTION:TagOrExpiredRookie,expired_rookie_or_tag_auction | last_drop=2022-05-02 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,TagOrExpiredRookie,4000,2022-05-10,2,2022-05-02,C-Town Chivalry,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:16:04
2017,S,13230,"Adams, Jamal",S,NYJ,1,2017-09-01,2017-09-07,2017-12-25,16,0005,C'mon Son,TAXI_SQUAD,2000,3,ROOKIE,,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K",0,0,0,0,0,,3,0,1,6000,0,0,0,3,6000,2000,{},0,0,1,2000,0,2000,2000,2000,4000,2017-12-25,0,tcv_div_cl,1,change_category_manual_review,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:14:53
2018,S,13230,"Adams, Jamal",S,NYJ,1,2018-09-01,2018-09-06,2018-12-24,16,0005,C'mon Son,TAXI_SQUAD,2000,2,Rookie,,"CL 2| TCV 4K| AAV 2K| Y1-2K, Y2-2K",0,0,0,0,0,,2,0,1,4000,0,0,0,2,4000,2000,{},0,0,1,2000,0,2000,2000,2000,2000,2018-12-24,0,tcv_div_cl,0,,2017,16,0005,C'mon Son,TAXI_SQUAD,2000,3,ROOKIE,,3,6000,2000,{},0,0,tcv_div_cl,0,1,1,0,1,carryover_contract,2018-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:15:09
2019,S,13230,"Adams, Jamal",S,NYJ,1,2019-09-01,2019-09-05,2019-12-23,16,0001,Ulterior Warrior,ROSTER,2000,3,Rookie/Veteran GF,"Ext. CMC '20/'21 [2K, 7K, 7K]","CL 3| TCV 16K| AAV 2K/7K| Y1-2K, Y2-7K, Y3-7K| Inferred Extension",1,0,0,0,0,,3,1,1,16000,0,0,0,3,16000,5333,"{""Y1"":2000,""Y2"":7000,""Y3"":7000}",2,5000,1,2000,0,2000,2000,2000,14000,2019-12-23,0,tcv_div_cl,0,,2018,16,0005,C'mon Son,ROSTER,2000,2,Rookie,,2,4000,2000,{},0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2019-06-23,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2019-06-23,trade2019_35,0,legacy,2026-04-21 22:15:29
2020,S,13230,"Adams, Jamal",S,SEA,1,2020-09-01,2020-09-10,2020-12-28,16,0002,The Bash Bros,ROSTER,7000,2,Veteran GF,"Ext. CMC '20/'21 [7K, 7K]","CL 2| TCV 14K| AAV 7K| Y1-7K, Y2-7K",0,0,0,0,0,,2,1,1,14000,0,0,0,2,14000,7000,"{""Y1"":7000,""Y2"":7000}",0,0,1,7000,0,7000,7000,7000,7000,2020-12-28,0,tcv_div_cl,0,,2019,16,0001,Ulterior Warrior,ROSTER,2000,3,Rookie/Veteran GF,"Ext. CMC '20/'21 [2K, 7K, 7K]",3,16000,5333,"{""Y1"":2000,""Y2"":7000,""Y3"":7000}",0,0,tcv_div_cl,0,1,1,0,1,carryover_contract,2020-08-15,TRADE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2020-08-15,trade2020_34,0,legacy,2026-04-21 22:15:49
2021,S,13230,"Adams, Jamal",S,SEA,1,2021-09-01,2021-09-09,2022-01-03,17,0005,Run CMC,ROSTER,15000,2,FL,"CL 2| TCV 17K| AAV 7K/10K| (15,2)","CL 2| TCV 33K| AAV 15K/18K| Y1-15K, Y2-18K| Inferred Extension",1,0,0,0,0,,2,0,0,33000,0,0,0,2,17000,7000,{},1,3000,1,15000,0,15000,15000,15000,18000,2022-01-03,0,aav_token_1,1,contract_info_inconsistent,2020,22,0002,The Bash Bros,ROSTER,7000,2,Veteran GF,"Ext. CMC '20/'21 [7K, 7K]",2,14000,7000,"{""Y1"":7000,""Y2"":7000}",0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2021-08-14,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2021-08-14,trade2021_46,0,current,2026-04-21 22:15:55
2022,S,13230,"Adams, Jamal",S,SEA,1,2022-09-01,2022-09-08,2023-01-02,17,0008,#BLM,ROSTER,2000,2,Veteran,CL 2| TCV 4K| AAV 2K,"CL 2| TCV 7K| AAV 2K/5K| Y1-2K, Y2-5K| Inferred Extension",1,0,0,0,0,,2,0,0,7000,0,0,0,2,4000,2000,{},1,3000,1,2000,0,2000,2000,2000,5000,2023-01-02,0,aav_token_1,1,contract_info_inconsistent,2021,23,0005,Run CMC,INJURED_RESERVE,15000,2,FL,"CL 2| TCV 17K| AAV 7K/10K| (15,2)",2,17000,7000,{},0,0,aav_token_1,0,1,1,0,1,extension_inferred,2022-08-18,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2022-08-18,trade2022_36,0,current,2026-04-21 22:16:03
