season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2021,TE,13671,"Andrews, Mark",TE,BAL,1,2021-09-01,2021-09-09,2022-01-03,17,0001,Ulterior Warrior,ROSTER,9000,2,FL,"CL 2| TCV 12K| AAV 3K/9K| (9,3)","CL 2| TCV 28K| AAV 9K/19K| Y1-9K, Y2-19K| Inferred Extension",1,0,0,0,0,,2,0,0,28000,0,0,0,2,12000,3000,{},1,10000,1,9000,0,9000,9000,9000,19000,2022-01-03,0,aav_token_1,1,contract_info_inconsistent,2020,22,0010,Blake Bombers,ROSTER,3000,2,Veteran GF,,2,6000,3000,{},0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2021-06-20,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2021-06-20,trade2021_21,0,current,2026-04-21 22:09:02
2022,TE,13671,"Andrews, Mark",TE,BAL,1,2022-09-01,2022-09-08,2023-01-02,17,0001,Ulterior Warrior,ROSTER,9000,2,Veteran,CL 2| TCV 18K| AAV 9K/15K|  Y1-9 Y2-9,"CL 2| TCV 28K| AAV 9K/19K| Y1-9K, Y2-19K| Inferred Extension",1,0,0,0,0,,2,0,0,28000,0,0,0,2,18000,9000,"{""Y1"":9000,""Y2"":9000}",1,10000,1,9000,0,9000,9000,9000,19000,2023-01-02,0,aav_token_1,1,contract_info_inconsistent,2021,23,0001,Ulterior Warrior,ROSTER,9000,2,FL,"CL 2| TCV 12K| AAV 3K/9K| (9,3)",2,12000,3000,{},0,0,aav_token_1,0,1,1,0,1,extension_inferred,2022-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:09:06
2023,TE,13671,"Andrews, Mark",TE,BAL,1,2023-09-01,2023-09-07,2023-12-31,17,0002,CBP,ROSTER,9000,3,Veteran,"CL 3| TCV 63K| AAV 9K, 27K| Y1-9K, Y2-27K, Y3-27K| Ext: BB, UW","CL 3| TCV 67K| AAV 9K/29K| Y1-9K, Y2-29K, Y3-29K| Inferred Extension",1,0,0,0,0,,3,0,0,67000,0,0,0,3,63000,9000,"{""Y1"":9000,""Y2"":27000,""Y3"":27000}",2,20000,1,9000,0,9000,9000,9000,58000,2023-12-31,0,aav_token_1,1,extension_inferred_but_contract_info_has_ext|contract_info_inconsistent,2022,23,0001,Ulterior Warrior,ROSTER,9000,2,Veteran,CL 2| TCV 18K| AAV 9K/15K|  Y1-9 Y2-9,2,18000,9000,"{""Y1"":9000,""Y2"":9000}",0,0,aav_token_1,0,1,1,0,1,extension_inferred,2023-04-01,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2023-04-01,trade2023_8,0,current,2026-04-21 22:09:10
2019,TE,9474,"Cook, Jared",TE,NOS,1,2019-09-01,2019-09-05,2019-12-23,16,0012,Hawks,ROSTER,4000,3,Veteran,"TCV 36K [4K,16K, 16K]","CL 3| TCV 52K| AAV 4K/24K| Y1-4K, Y2-24K, Y3-24K| Inferred Extension",1,0,0,0,0,,3,0,0,52000,0,0,0,3,36000,12000,"{""Y1"":4000,""Y2"":16000,""Y3"":16000}",2,20000,1,4000,0,4000,4000,4000,48000,2019-12-23,0,tcv_div_cl,1,contract_info_inconsistent,2018,16,0006,Good in Da Hood,ROSTER,4000,2,Veteran,,2,8000,4000,{},0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2019-08-31,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2019-08-31,trade2019_53,0,current,2026-04-21 22:08:53
2019,TE,13189,"Engram, Evan",TE,NYG,1,2019-09-01,2019-09-05,2019-12-23,16,0008,#BLM,ROSTER,7000,3,Rookie/Veteran GF,"Ext. Cleon '20/'21 [7K,19K, 19K]","CL 3| TCV 61K| AAV 7K/27K| Y1-7K, Y2-27K, Y3-27K| Inferred Extension",1,0,0,0,0,,3,1,1,61000,0,0,0,3,45000,15000,"{""Y1"":7000,""Y2"":19000,""Y3"":19000}",2,20000,1,7000,0,7000,7000,7000,54000,2019-12-23,0,tcv_div_cl,1,contract_info_inconsistent,2018,16,0011,Cleon Ca$h,ROSTER,7000,2,Rookie,,2,14000,7000,{},0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2019-03-18,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2019-03-18,trade2019_11,0,legacy,2026-04-21 22:08:53
2022,TE,11247,"Ertz, Zach",TE,ARI,1,2022-09-01,2022-09-08,2023-01-02,17,0012,Hawks,ROSTER,11000,3,Veteran,CL 3| TCV 57K| AAV 11K/23K|  Y1-11 Y2-23 Y3-23,"CL 3| TCV 73K| AAV 11K/31K| Y1-11K, Y2-31K, Y3-31K| Inferred Extension",1,0,0,0,0,,3,0,0,73000,0,0,0,3,57000,11000,"{""Y1"":11000,""Y2"":23000,""Y3"":23000}",2,20000,1,11000,0,11000,11000,11000,62000,2023-01-02,0,aav_token_1,1,contract_info_inconsistent,2021,23,0012,Hawks,ROSTER,5000,2,Veteran,"CL 2| TCV 16K| AAV 5K/11K| (5,11)",2,16000,5000,{},0,0,aav_token_1,0,1,1,0,1,extension_inferred,2022-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:09:06
2021,TE,14137,"Fant, Noah",TE,DEN,1,2021-09-01,2021-09-09,2022-01-03,17,0005,Run CMC,ROSTER,2000,2,Veteran,"CL 2| TCV 10K| AAV 2K/8K| (2,8)","CL 2| TCV 14K| AAV 2K/12K| Y1-2K, Y2-12K| Inferred Extension",1,0,0,0,0,,2,0,0,14000,0,0,0,2,10000,2000,{},1,10000,1,2000,0,2000,2000,2000,12000,2022-01-03,0,aav_token_1,1,contract_info_inconsistent,2020,22,0011,Cleon Ca$h,ROSTER,2000,2,Rookie GF,,2,4000,2000,{},0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2021-06-03,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2021-06-03,trade2021_5,0,current,2026-04-21 22:09:02
2024,TE,15799,"Ferguson, Jake",TE,DAL,1,2024-09-01,2024-09-05,2024-12-30,17,0010,Blake Bombers,ROSTER,1000,2,Veteran,"CL 2| TCV 12K| AAV 1K/ 11K| Y1-1, Y2-11| Ext: Blake","CL 2| TCV 12K| AAV 1K/11K| Y1-1K, Y2-11K| Inferred Extension",1,0,0,0,0,,2,0,0,12000,0,0,0,2,12000,1000,"{""Y1"":1000,""Y2"":11000}",1,10000,1,1000,0,1000,1000,1000,11000,2024-12-30,0,aav_token_1,1,extension_inferred_but_contract_info_has_ext,2023,23,0010,Blake Bombers,ROSTER,1000,2,Veteran,CL 2| TCV 2K| AAV 1K,2,2000,1000,{},0,0,aav_token_1,0,1,1,0,1,extension_inferred,2024-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:09:14
2025,TE,15799,"Ferguson, Jake",TE,DAL,1,2025-08-31,2025-09-04,2025-12-29,17,0008,Real Deal Creel,ROSTER,11000,2,Veteran,"CL 2| TCV 32K| AAV 11K, 21K| Y1-11, Y2-21| Ext: Blake, UW","CL 2| TCV 32K| AAV 11K/21K| Y1-11K, Y2-21K| Inferred Extension",1,0,0,0,0,,2,0,0,32000,0,0,0,2,32000,11000,"{""Y1"":11000,""Y2"":21000}",1,10000,1,11000,0,11000,11000,11000,21000,2025-12-29,0,aav_token_1,1,extension_inferred_but_contract_info_has_ext,2024,23,0010,Blake Bombers,ROSTER,1000,2,Veteran,"CL 2| TCV 12K| AAV 1K/ 11K| Y1-1, Y2-11| Ext: Blake",2,12000,1000,"{""Y1"":1000,""Y2"":11000}",1,0,aav_token_1,0,1,1,0,1,extension_inferred,2025-05-16,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2025-05-16,trade2025_14,0,current,2026-04-21 22:09:17
2024,TE,15331,"Freiermuth, Pat",TE,PIT,1,2024-09-01,2024-09-05,2024-12-30,17,0005,HammerTime 🔨 ⏰,ROSTER,12000,1,Veteran,CL 1| TCV 12K| Ext: Hammer,CL 1| TCV 12K| AAV 12K| Y1-12K| Inferred Extension,1,0,0,0,0,,1,0,0,8000,0,0,0,1,12000,12000,{},1,10000,1,12000,0,12000,12000,16000,0,2024-12-30,0,tcv_div_cl,1,extension_inferred_but_contract_info_has_ext,2023,23,0005,HammerTime 🔨 ⏰,ROSTER,2000,1,Rookie,CL 3| TCV 6K,3,6000,2000,{},0,0,tcv_div_cl,4000,1,0,1,1,extension_inferred,2024-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:09:14
