season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2017,WR,11675,"Adams, Davante",WR,GBP,1,2017-09-01,2017-09-07,2017-12-25,16,0002,Crystal Blue Persuasian,ROSTER,25000,2,STANDARD,"Ext PG '17, '18","CL 2| TCV 50K| AAV 25K| Y1-25K, Y2-25K",0,0,0,0,0,,2,0,1,50000,0,0,0,2,50000,25000,{},0,0,1,25000,0,25000,25000,25000,25000,2017-12-25,0,tcv_div_cl,1,change_category_manual_review,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,6,2017-08-04,trade2017_32,0,legacy,2026-04-21 22:08:01
2018,WR,11675,"Adams, Davante",WR,GBP,1,2018-09-01,2018-09-06,2018-12-24,16,0006,Good in Da Hood,ROSTER,25000,3,Veteran,"Ext PG '17, '18 Hood '19 & '20 [25K, 45K, 45K]","CL 3| TCV 115K| AAV 25K/45K| Y1-25K, Y2-45K, Y3-45K| Inferred Extension",1,0,0,0,0,,3,0,1,115000,0,0,0,3,115000,38333,"{""Y1"":25000,""Y2"":45000,""Y3"":45000}",2,20000,1,25000,0,25000,25000,25000,90000,2018-12-24,0,tcv_div_cl,0,,2017,16,0002,Crystal Blue Persuasian,ROSTER,25000,2,STANDARD,"Ext PG '17, '18",2,50000,25000,{},0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2018-04-19,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2018-04-19,trade2018_4,0,legacy,2026-04-21 22:08:03
2019,WR,11675,"Adams, Davante",WR,GBP,1,2019-09-01,2019-09-05,2019-12-23,16,0009,C-Town Chivalry,ROSTER,45000,2,Veteran GF,"Ext PG '17, '18 Hood '19 & '20 [25K, 45K, 45K]","CL 2| TCV 115K| AAV 25K/45K| Y1-25K, Y2-45K, Y3-45K",0,0,0,0,0,,2,1,1,115000,0,0,0,2,115000,57500,"{""Y1"":25000,""Y2"":45000,""Y3"":45000}",0,0,1,25000,0,25000,25000,25000,90000,2019-12-23,0,tcv_div_cl,0,,2018,16,0006,Good in Da Hood,ROSTER,25000,3,Veteran,"Ext PG '17, '18 Hood '19 & '20 [25K, 45K, 45K]",3,115000,38333,"{""Y1"":25000,""Y2"":45000,""Y3"":45000}",0,0,tcv_div_cl,0,1,1,0,1,carryover_contract,2019-03-08,TRADE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2019-03-08,trade2019_5,0,legacy,2026-04-21 22:08:07
2020,WR,11675,"Adams, Davante",WR,GBP,1,2020-09-01,2020-09-10,2020-12-28,16,0008,#BLM,ROSTER,50000,2,Veteran,"Ext PG '17, '18 Hood '19 & '20 BLM '21 TCV 100K AAV 45K/55K [50K, 50K]","CL 2| TCV 110K| AAV 50K/60K| Y1-50K, Y2-60K| Inferred Extension",1,0,0,0,0,,2,0,0,110000,0,0,0,2,100000,45000,"{""Y1"":50000,""Y2"":50000}",1,10000,1,50000,0,50000,50000,50000,60000,2020-12-28,0,aav_token_1,1,contract_info_inconsistent,2019,16,0009,C-Town Chivalry,ROSTER,45000,2,Veteran GF,"Ext PG '17, '18 Hood '19 & '20 [25K, 45K, 45K]",2,115000,57500,"{""Y1"":25000,""Y2"":45000,""Y3"":45000}",0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2020-08-16,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2020-08-16,trade2020_36,0,current,2026-04-21 22:08:11
2021,WR,11675,"Adams, Davante",WR,GBP,1,2021-09-01,2021-09-09,2022-01-03,17,0001,Ulterior Warrior,ROSTER,65000,2,FL,"CL 2| TCV 115K| AAV 55K/65K| (65,50)","CL 2| TCV 140K| AAV 65K/75K| Y1-65K, Y2-75K| Inferred Extension",1,0,0,0,0,,2,0,0,140000,0,0,0,2,115000,55000,{},1,10000,1,65000,0,65000,65000,65000,75000,2022-01-03,0,aav_token_1,1,contract_info_inconsistent,2020,22,0008,#BLM,ROSTER,50000,2,Veteran,"Ext PG '17, '18 Hood '19 & '20 BLM '21 TCV 100K AAV 45K/55K [50K, 50K]",2,100000,45000,"{""Y1"":50000,""Y2"":50000}",0,0,aav_token_1,0,1,1,0,1,extension_inferred,2021-07-16,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2021-07-16,trade2021_33,0,current,2026-04-21 22:08:16
2022,WR,11675,"Adams, Davante",WR,LVR,1,2022-09-01,2022-09-08,2023-01-02,17,0001,Ulterior Warrior,ROSTER,50000,1,FL,CL 2| TCV 115K| AAV 65K| L 65K| Y1-65 Y2-50,"CL 2| TCV 115K| AAV 65K/50K| Y1-65K, Y2-50K",0,0,0,0,0,,1,0,0,115000,0,0,0,2,115000,65000,"{""Y1"":65000,""Y2"":50000}",0,0,2,50000,65000,50000,50000,50000,65000,2023-01-02,0,aav_token_1,0,,2021,23,0001,Ulterior Warrior,ROSTER,65000,2,FL,"CL 2| TCV 115K| AAV 55K/65K| (65,50)",2,115000,55000,{},0,0,aav_token_1,0,1,1,0,1,carryover_contract,2022-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:08:23
2023,WR,11675,"Adams, Davante",WR,LVR,1,2023-09-01,2023-09-07,2023-12-31,17,0006,The Main Event Mafia,ROSTER,72000,1,Tag,CL 1|Returns to FA in '24,CL 1| TCV 72K| AAV 72K| Y1-72K,0,0,0,0,0,,1,0,0,7000,0,0,0,1,72000,72000,{},0,0,1,72000,0,72000,72000,137000,0,2023-12-31,0,tcv_div_cl,0,,2022,23,0001,Ulterior Warrior,ROSTER,50000,1,FL,CL 2| TCV 115K| AAV 65K| L 65K| Y1-65 Y2-50,2,115000,65000,"{""Y1"":65000,""Y2"":50000}",0,0,aav_token_1,65000,1,0,1,1,tagged,2023-05-14,AUCTION:TagOrExpiredRookie,tagged | last_drop=2023-05-07 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,TagOrExpiredRookie,72000,2023-05-14,2,2023-05-07,Ulterior Warrior,FREE_AGENT,FREE_AGENT,0,,,,,0,2,2023-05-15,trade2023_25,0,current,2026-04-21 22:08:27
2024,WR,11675,"Adams, Davante",WR,NYJ,1,2024-09-01,2024-09-05,2024-12-30,17,0004,Pure Greatness,ROSTER,50000,3,FL,"CL 3| TCV 90K| AAV 30K| Y1-50, Y2-20, Y3-20","CL 3| TCV 90K| AAV 50K/20K| Y1-50K, Y2-20K, Y3-20K",0,0,0,0,0,,3,0,0,90000,0,0,0,3,90000,30000,"{""Y1"":50000,""Y2"":20000,""Y3"":20000}",0,0,1,50000,0,50000,50000,50000,40000,2024-12-30,0,aav_token_1,0,,2023,23,0001,Ulterior Warrior,ROSTER,72000,1,Tag,CL 1|Returns to FA in '24,1,72000,72000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2024-07-28,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,30000,2024-07-28,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:08:32
2025,WR,11675,"Adams, Davante",WR,LAR,1,2025-08-31,2025-09-04,2025-12-29,17,0012,Hawks,ROSTER,20000,2,FL,"CL 3| TCV 90K| AAV 30K| Y1-50, Y2-20, Y3-20","CL 3| TCV 90K| AAV 50K/20K| Y1-50K, Y2-20K, Y3-20K",0,0,0,0,0,,2,0,0,90000,0,0,0,3,90000,30000,"{""Y1"":50000,""Y2"":20000,""Y3"":20000}",0,0,2,20000,50000,20000,20000,20000,70000,2025-12-29,0,aav_token_1,0,,2024,23,0012,Hawks,ROSTER,50000,3,FL,"CL 3| TCV 90K| AAV 30K| Y1-50, Y2-20, Y3-20",3,90000,30000,"{""Y1"":50000,""Y2"":20000,""Y3"":20000}",0,0,aav_token_1,0,1,1,0,1,carryover_contract,2025-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:08:39
2023,WR,16186,"Addison, Jordan",WR,MIN,1,2023-09-01,2023-09-07,2023-12-31,17,0009,C-Town Chivalry,ROSTER,7000,3,Rookie,CL 3| TCV 21K| AAV 7K,"CL 3| TCV 21K| AAV 7K| Y1-7K, Y2-7K, Y3-7K",0,0,0,0,0,,3,0,0,21000,0,0,0,3,21000,7000,{},0,0,1,7000,0,7000,7000,7000,14000,2023-12-31,0,aav_token_1,1,change_category_manual_review,2022,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:08:27
