season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2023,WR,11675,"Adams, Davante",WR,LVR,1,2023-09-01,2023-09-07,2023-12-31,17,0006,The Main Event Mafia,ROSTER,72000,1,Tag,CL 1|Returns to FA in '24,CL 1| TCV 72K| AAV 72K| Y1-72K,0,0,0,0,0,,1,0,0,7000,0,0,0,1,72000,72000,{},0,0,1,72000,0,72000,72000,137000,0,2023-12-31,0,tcv_div_cl,0,,2022,23,0001,Ulterior Warrior,ROSTER,50000,1,FL,CL 2| TCV 115K| AAV 65K| L 65K| Y1-65 Y2-50,2,115000,65000,"{""Y1"":65000,""Y2"":50000}",0,0,aav_token_1,65000,1,0,1,1,tagged,2023-05-14,AUCTION:TagOrExpiredRookie,tagged | last_drop=2023-05-07 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,TagOrExpiredRookie,72000,2023-05-14,2,2023-05-07,Ulterior Warrior,FREE_AGENT,FREE_AGENT,0,,,,,0,2,2023-05-15,trade2023_25,0,current,2026-04-21 22:08:27
2018,WR,12181,"Agholor, Nelson",WR,PHI,1,2018-09-01,2018-09-06,2018-12-24,16,0010,Blake Bombers,ROSTER,26000,3,FL,"[26K, 18K, 7K] AAV (17)","CL 3| TCV 51K| AAV 26K/18K| Y1-26K, Y2-18K, Y3-7K",0,0,0,0,0,,3,0,1,51000,0,0,0,3,51000,17000,"{""Y1"":26000,""Y2"":18000,""Y3"":7000}",0,0,1,26000,0,26000,26000,26000,25000,2018-12-24,0,tcv_div_cl,0,,2017,16,0005,C'mon Son,ROSTER,2000,1,STANDARD,,1,2000,2000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2018-08-07,AUCTION:FreeAgent,fa_auction | last_drop=2018-05-03 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,17000,2018-08-07,1,2018-05-03,C'mon Son,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,legacy,2026-04-21 22:08:03
2019,WR,12181,"Agholor, Nelson",WR,PHI,1,2019-09-01,2019-09-05,2019-12-23,16,0007,Sex Manther,ROSTER,1000,3,Veteran,TCV 3K,"CL 3| TCV 3K| AAV 1K| Y1-1K, Y2-1K, Y3-1K",0,0,0,0,0,,3,0,0,3000,0,0,0,3,3000,1000,{},0,0,1,1000,0,1000,1000,1000,2000,2019-12-23,0,tcv_div_cl,0,,2018,16,0001,Ulterior Warrior,ROSTER,26000,3,FL,"[26K, 18K, 7K] AAV (17)",3,51000,17000,"{""Y1"":26000,""Y2"":18000,""Y3"":7000}",0,0,tcv_div_cl,0,1,1,0,1,fa_auction,2019-08-27,AUCTION:FreeAgent,fa_auction | last_drop=2019-07-31 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2019-08-27,1,2019-07-31,Ulterior Warrior,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:08:07
2025,WR,14840,"Aiyuk, Brandon",WR,SFO,1,2025-08-31,2025-09-04,2025-12-29,17,0004,Pure Greatness,INJURED_RESERVE,1000,1,WW,CL 1|,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,0,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,16000,0,2025-12-29,0,tcv_div_cl,0,,2024,23,0002,CBP,INJURED_RESERVE,25000,1,Veteran,CL 2| TCV 40K| AAV 25K |Y1-15 Y2-25| Ext: CBP,2,40000,25000,"{""Y1"":15000,""Y2"":25000}",1,0,aav_token_1,15000,1,0,1,0,fa_auction,2025-08-06,AUCTION:FreeAgent,fa_auction | last_drop=2025-08-26 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,11000,2025-08-06,3,2025-08-26,Pure Greatness,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:08:39
2021,WR,11222,"Allen, Keenan",WR,LAC,1,2021-09-01,2021-09-09,2022-01-03,17,0002,The Bash Bros,ROSTER,60000,2,Veteran,CL 2| TCV 120K| AAV 60K,"CL 2| TCV 120K| AAV 60K| Y1-60K, Y2-60K",0,0,0,0,0,,2,0,0,120000,0,0,0,2,120000,60000,{},0,0,1,60000,0,60000,60000,60000,60000,2022-01-03,0,aav_token_1,0,,2020,22,0001,Ulterior Warrior,ROSTER,55000,1,Veteran GF,"Ext. PG '16 & '17, BB '18 Manther '19/'20",1,55000,55000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2021-08-01,AUCTION:FreeAgent,fa_auction | last_drop=2021-06-01 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,60000,2021-08-01,1,2021-06-01,Ulterior Warrior,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:08:16
2023,WR,11222,"Allen, Keenan",WR,LAC,1,2023-09-01,2023-09-07,2023-12-31,17,0004,Pure Greatness,ROSTER,28000,2,Veteran,CL 2| TCV 56K| AAV 28K,"CL 2| TCV 56K| AAV 28K| Y1-28K, Y2-28K",0,0,0,0,0,,2,0,0,0,0,0,0,2,56000,28000,{},0,0,1,28000,0,28000,28000,88000,0,2023-12-31,0,aav_token_1,0,,2022,23,0009,C-Town Chivalry,ROSTER,60000,1,Veteran,CL 2| TCV 120K| AAV 60K,2,120000,60000,{},0,0,aav_token_1,60000,1,0,1,1,fa_auction,2023-07-30,AUCTION:FreeAgent,fa_auction | last_drop=2023-02-19 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,28000,2023-07-30,1,2023-02-19,C-Town Chivalry,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:08:27
2025,WR,11222,"Allen, Keenan",WR,LAC,1,2025-08-31,2025-09-04,2025-12-29,17,0012,Hawks,ROSTER,5000,1,Veteran,CL 1|,CL 1| TCV 5K| AAV 5K| Y1-5K,0,0,0,0,0,,1,0,0,0,0,0,0,1,5000,5000,{},0,0,1,5000,0,5000,5000,33000,0,2025-12-29,0,tcv_div_cl,0,,2024,23,0007,Sex Manther,ROSTER,28000,1,Veteran,CL 2| TCV 56K| AAV 28K,2,56000,28000,{},0,0,aav_token_1,28000,1,0,1,1,fa_auction,2025-08-09,AUCTION:FreeAgent,fa_auction | last_drop=2025-02-18 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,5000,2025-08-09,1,2025-02-18,Sex Manther,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:08:39
2019,WR,12665,"Allison, Geronimo",WR,GBP,1,2019-09-01,2019-09-05,2019-12-23,16,0003,Gride,ROSTER,9000,2,Veteran,TCV 18K,"CL 2| TCV 18K| AAV 9K| Y1-9K, Y2-9K",0,0,0,0,0,,2,0,0,18000,0,0,0,2,18000,9000,{},0,0,1,9000,0,9000,9000,9000,9000,2019-12-23,0,tcv_div_cl,0,,2018,16,0011,Cleon Ca$h,INJURED_RESERVE,5000,1,Veteran,,1,5000,5000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2019-08-19,AUCTION:FreeAgent,fa_auction | last_drop=2019-03-03 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,9000,2019-08-19,1,2019-03-03,Cleon Ca$h,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:08:07
2021,WR,12665,"Allison, Geronimo",WR,DET,1,2021-09-01,2021-09-09,2022-01-03,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2022-01-03,0,,0,,2020,22,0008,#BLM,INJURED_RESERVE,9000,1,Veteran,TCV 18K,1,18000,18000,{},0,0,tcv_div_cl,0,1,0,1,0,dropped_off_roster,,,dropped_off_roster | last_drop=2021-05-06 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2021-05-06,#BLM,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:08:16
2018,WR,9308,"Amendola, Danny",WR,MIA,1,2018-09-01,2018-09-06,2018-12-24,16,0007,Sex Manther,ROSTER,1000,1,Veteran,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,1,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2018-12-24,0,tcv_div_cl,0,,2017,16,0012,White Power,ROSTER,4000,1,STANDARD,,1,4000,4000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2018-08-07,AUCTION:FreeAgent,fa_auction | last_drop=2018-08-27 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,6000,2018-08-07,5,2018-08-27,White Power,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,legacy,2026-04-21 22:08:03
