season,player_name,event_type,event_source,event_date,team_name,salary,contract_year,contract_status,contract_info,inferred_contract_info,contract_length,tcv,aav,position_filter,player_id,nfl_team,event_seq,event_time,franchise_id,event_detail,snapshot_week,snapshot_source,year_values_json,extension_flag,restructure_flag,mym_flag,post_add_multi_year_flag,post_add_multi_year_reason,generated_at_utc
2017,,DROP,FREE_AGENT,2017-03-06,Blake Bombers,0,0,,,,0,0,0,WR,11957,,1,08:16:29,0010,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-08,Sex Manther,0,0,,,,0,0,0,WR,10973,,1,07:32:28,0007,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-08,Sex Manther,0,0,,,,0,0,0,WR,11231,,1,07:34:55,0007,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-18,Sex Manther,0,0,,,,0,0,0,WR,7873,,1,13:33:58,0007,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-18,Good in Da Hood,0,0,,,,0,0,0,WR,4974,,1,21:34:45,0006,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-21,White Power,0,0,,,,0,0,0,WR,10735,,1,21:59:27,0012,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-23,Blake Bombers,0,0,,,,0,0,0,WR,11475,,1,20:26:33,0010,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-26,Sex Manther,0,0,,,,0,0,0,WR,12204,,1,23:20:13,0007,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-30,Gride,0,0,,,,0,0,0,WR,6982,,1,21:49:07,0003,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,TRADE,2017-04-09,Gordon Is The New Blackmon,0,0,,,,0,0,0,WR,12177,,1,10:28:17,0008,trade2017_6,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:BBID,2017-04-22,Gordon Is The New Blackmon,0,0,,,,0,0,0,WR,9467,,1,09:00:02,0008,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,TRADE,2017-06-17,Gride,0,0,,,,0,0,0,WR,11678,,1,19:17:53,0003,trade2017_20,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-06-19,C-Town Chivalry,0,0,,,,0,0,0,WR,12649,,1,08:28:36,0009,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,FREE_AGENT,2017-06-19,Blake Bombers,0,0,,,,0,0,0,WR,12195,,1,16:49:54,0010,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-06-19,White Power,0,0,,,,0,0,0,WR,12182,,1,22:01:13,0012,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-01,C-Town Chivalry,0,0,,,,0,0,0,WR,11676,,1,10:43:44,0009,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-19,Gride,0,0,,,,0,0,0,WR,12180,,1,21:16:39,0003,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-21,C'mon Son,0,0,,,,0,0,0,WR,9269,,1,12:56:31,0005,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-22,Blake Bombers,0,0,,,,0,0,0,WR,10721,,1,21:09:46,0010,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-25,Blake Bombers,0,0,,,,0,0,0,WR,11689,,1,20:41:12,0010,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-26,Ulterior Warrior,0,0,,,,0,0,0,WR,12185,,1,11:46:10,0001,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-31,Ulterior Warrior,0,0,,,,0,0,0,WR,12673,,1,00:57:38,0001,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-08-02,Pure Greatness,0,0,,,,0,0,0,WR,12188,,1,05:40:10,0004,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-06,C'mon Son,17000,1,ADD_DEFAULT_1YR,,CL 1| TCV 17K| AAV 17K| Y1-17K| Default Add,1,17000,17000,WR,11676,,2,20:20:34,0005,bid=17000|default_1yr,1,preseason,"{""Y1"":17000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-08,Crystal Blue Persuasian,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,WR,11975,,1,19:57:19,0002,bid=4000|default_1yr,1,preseason,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-10,C-Town Chivalry,6000,1,ADD_DEFAULT_1YR,,CL 1| TCV 6K| AAV 6K| Y1-6K| Default Add,1,6000,6000,WR,10973,,2,08:28:30,0009,bid=6000|default_1yr,1,preseason,"{""Y1"":6000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-10,Blake Bombers,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,WR,9467,,2,08:56:32,0010,bid=4000|default_1yr,1,preseason,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-11,Crystal Blue Persuasian,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,8657,,1,04:18:47,0002,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-11,Pure Greatness,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,WR,12188,,2,07:04:51,0004,bid=2000|default_1yr,1,preseason,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-13,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,10412,,1,00:32:03,0010,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-13,C'mon Son,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,10289,,1,07:44:10,0005,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-14,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,6982,,2,07:06:17,0010,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-14,Cleon Ca$h,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,10651,,1,07:55:03,0011,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-14,C'mon Son,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,11957,,2,11:21:10,0005,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-15,Gride,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,11754,,1,00:12:36,0003,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-15,Cleon Ca$h,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,12665,,1,06:31:45,0011,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-15,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,13238,,1,06:31:45,0007,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-15,C'mon Son,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,12921,,1,07:17:33,0005,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-16,Pure Greatness,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,12949,,1,20:40:25,0004,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-17,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,10080,,1,06:44:12,0008,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-08-17,White Power,0,0,,,,0,0,0,WR,12178,,1,21:27:50,0012,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,ADDDROP:BBID,2017-08-23,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,12430,,1,09:00:04,0008,salary=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:BBID,2017-08-23,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,6982,,3,09:00:04,0010,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:BBID,2017-08-26,Gordon Is The New Blackmon,0,0,,,,0,0,0,WR,11225,,1,09:00:06,0008,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:BBID,2017-08-26,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,10080,,2,09:00:06,0008,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-08-29,Pure Greatness,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,12949,,2,19:54:47,0004,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-08-30,Crystal Blue Persuasian,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,8657,,2,22:17:43,0002,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-01,C'mon Son,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,12921,,2,23:27:55,0005,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-02,Cleon Ca$h,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,10651,,2,06:07:31,0011,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-02,Cleon Ca$h,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,12665,,2,06:07:50,0011,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-02,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,13238,,2,15:23:38,0007,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-02,C'mon Son,0,0,,,,0,0,0,WR,12731,,1,23:37:09,0005,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,ADDDROP:BBID,2017-09-03,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,12178,,2,09:00:05,0007,salary=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-03,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,12430,,2,22:22:29,0008,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-05,C'mon Son,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,11957,,3,18:04:03,0005,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-07,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,12178,,3,00:54:51,0007,,1,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-19,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,10412,,2,16:03:51,0010,,2,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,ADDDROP:BBID,2017-09-20,Gride,6000,1,ADD_DEFAULT_1YR,,CL 1| TCV 6K| AAV 6K| Y1-6K| Default Add,1,6000,6000,WR,12656,,1,09:00:00,0003,salary=6000|default_1yr,2,schedule,"{""Y1"":6000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,ADDDROP:BBID,2017-09-20,Ulterior Warrior,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,WR,12665,,3,09:00:00,0001,salary=4000|default_1yr,2,schedule,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,TRADE,2017-09-23,Cleon Ca$h,0,0,,,,0,0,0,WR,12665,,4,18:38:37,0011,trade2017_41,3,schedule,{},0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,ADDDROP:BBID,2017-09-27,Good in Da Hood,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,11406,,1,09:00:00,0006,salary=1000|default_1yr,3,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:BBID,2017-10-01,Good in Da Hood,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,11406,,2,09:00:00,0006,,4,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,ADDDROP:BBID,2017-10-01,Good in Da Hood,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,11689,,2,09:00:00,0006,salary=1000|default_1yr,4,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:BBID,2017-10-04,White Power,0,0,,,,0,0,0,WR,11213,,1,09:00:00,0012,,4,schedule,{},0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:FREE_AGENT,2017-10-06,C-Town Chivalry,6000,1,ADD_DEFAULT_1YR,,CL 1| TCV 6K| AAV 6K| Y1-6K| Default Add,1,6000,6000,WR,10973,,3,22:41:01,0009,,5,schedule,"{""Y1"":6000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,ADDDROP:BBID,2017-10-11,Blake Bombers,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,WR,12649,,2,09:00:00,0010,salary=4000|default_1yr,5,schedule,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,ADDDROP:BBID,2017-10-11,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,11406,,3,09:00:00,0008,salary=1000|default_1yr,5,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:BBID,2017-10-12,Gride,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,WR,11754,,2,09:00:00,0003,,6,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:02
2017,,DROP,ADDDROP:BBID,2017-10-12,Pure Greatness,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,WR,12188,,3,09:00:00,0004,,6,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:02
2017,,ACQUIRE,ADDDROP:BBID,2017-10-18,Good in Da Hood,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,WR,11931,,1,09:00:00,0006,salary=3000|default_1yr,6,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:08:02
