season,pick_label,pick_overall,draft_round,round_segment,tier,player_id,player_name,position,offense_defense,rookie_salary_y1,event,event_season,event_year_offset,event_dollar_value,resolving_franchise_id,notes,generated_at_utc
2025,1.01,1,1,Early,early_1st,17042,"Jeanty, Ashton",RB,Offense,15000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,1.02,2,1,Early,early_1st,17074,"Hunter, Travis",WR,Offense,14000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,1.03,3,1,Early,early_1st,17044,"Hampton, Omarion",RB,Offense,13000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,1.04,4,1,Early,early_1st,17043,"Henderson, TreVeyon",RB,Offense,12000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,1.05,5,1,Middle,mid_1st,17068,"Harvey, RJ",RB,Offense,11000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,1.06,6,1,Middle,mid_1st,17030,"Ward, Cam",QB,Offense,10000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,1.07,7,1,Middle,mid_1st,17032,"Dart, Jaxson",QB,Offense,9000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,1.08,8,1,Middle,mid_1st,17051,"Judkins, Quinshon",RB,Offense,8000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,1.09,9,1,Late,late_1st,17071,"McMillan, Tetairoa",WR,Offense,7000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,1.10,10,1,Late,late_1st,17048,"Johnson, Kaleb",RB,Offense,6000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,1.11,11,1,Late,late_1st,17102,"Warren, Tyler",TE,Offense,5000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,1.12,12,1,Late,late_1st,17070,"Burden, Luther",WR,Offense,0,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,2.01,13,2,Early,early_2nd,17081,"Egbuka, Emeka",WR,Offense,5000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,2.02,14,2,Early,early_2nd,17045,"Skattebo, Cam",RB,Offense,5000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,2.03,15,2,Early,early_2nd,17104,"Loveland, Colston",TE,Offense,5000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,2.04,16,2,Early,early_2nd,17083,"Higgins, Jayden",WR,Offense,5000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,2.05,17,2,Middle,mid_2nd,17075,"Golden, Matthew",WR,Offense,5000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,2.06,18,2,Middle,mid_2nd,17033,"Milroe, Jalen",QB,Offense,5000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,2.07,19,2,Middle,mid_2nd,17072,"Harris, Tre",WR,Offense,5000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
2025,2.08,20,2,Middle,mid_2nd,17134,"Williams, Kyle",WR,Offense,5000,pending,2025,0,0,,right-censored; only rookie-year row visible,2026-04-30T16:14:22+00:00
