season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2019,QB,13589,"Allen, Josh",QB,BUF,1,2019-09-01,2019-09-05,2019-12-23,16,0006,Good in Da Hood,ROSTER,10000,1,Veteran GF,,CL 1| TCV 10K| AAV 10K| Y1-10K,0,0,0,0,0,,1,1,1,10000,0,0,0,1,10000,10000,{},0,0,1,10000,0,10000,10000,10000,0,2019-12-23,0,tcv_div_cl,0,,2018,16,0011,Cleon Ca$h,ROSTER,2000,1,Veteran,,1,2000,2000,{},0,0,tcv_div_cl,0,1,0,1,1,expired_rookie_or_tag_auction,2019-05-05,AUCTION:TagOrExpiredRookie,expired_rookie_or_tag_auction | last_drop=2019-04-29 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,TagOrExpiredRookie,10000,2019-05-05,1,2019-04-29,Cleon Ca$h,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,legacy,2026-03-11 14:13:16
2020,QB,13589,"Allen, Josh",QB,BUF,1,2020-09-01,2020-09-10,2020-12-28,16,0002,The Bash Bros,ROSTER,8000,3,Veteran,TCV 24K,"CL 3| TCV 24K| AAV 8K| Y1-8K, Y2-8K, Y3-8K",0,0,0,0,0,,3,0,0,24000,0,0,0,3,24000,8000,{},0,0,1,8000,0,8000,8000,8000,16000,2020-12-28,0,tcv_div_cl,0,,2019,16,0009,C-Town Chivalry,ROSTER,10000,1,Veteran GF,,1,10000,10000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2020-08-19,AUCTION:FreeAgent,fa_auction | last_drop=2020-03-27 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,8000,2020-08-19,1,2020-03-27,C-Town Chivalry,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-03-11 14:13:22
2020,QB,13879,"Allen, Kyle",QB,CAR,1,2020-09-01,2020-09-10,2020-12-28,16,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2020-12-28,0,,0,,2019,16,0004,Pure Greatness,ROSTER,1000,3,Veteran,TCV 3K,3,3000,1000,{},0,0,tcv_div_cl,0,1,1,0,0,dropped_off_roster,,,dropped_off_roster | last_drop=2020-06-01 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2020-06-01,Pure Greatness,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-03-11 14:13:22
2018,QB,11642,"Bortles, Blake",QB,JAC,1,2018-09-01,2018-09-06,2018-12-24,16,0006,Good in Da Hood,ROSTER,1000,1,Veteran,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,1,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2018-12-24,0,tcv_div_cl,0,,2017,16,0004,Pure Greatness,ROSTER,1000,1,STANDARD,,1,1000,1000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2018-08-10,AUCTION:FreeAgent,fa_auction | last_drop=2018-03-11 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,4000,2018-08-10,1,2018-03-11,Pure Greatness,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,legacy,2026-03-11 14:13:10
2019,QB,5848,"Brady, Tom",QB,NEP,1,2019-09-01,2019-09-05,2019-12-23,16,0012,Hawks,ROSTER,20000,3,Veteran,TCV 60K,"CL 3| TCV 60K| AAV 20K| Y1-20K, Y2-20K, Y3-20K",0,0,0,0,0,,3,0,0,60000,0,0,0,3,60000,20000,{},0,0,1,20000,0,20000,20000,20000,40000,2019-12-23,0,tcv_div_cl,0,,2018,16,0012,White Power,ROSTER,32000,1,Veteran,"Restructured Ext WP '17 & '18 [31K, 31K, 32K] (AAV 42K)",1,94000,42000,"{""Y1"":31000,""Y2"":31000,""Y3"":32000}",0,0,aav_token_1,0,1,0,1,1,fa_auction,2019-08-20,AUCTION:FreeAgent,fa_auction | last_drop=2019-04-29 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,20000,2019-08-20,1,2019-04-29,Hawks,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-03-11 14:13:16
2022,QB,5848,"Brady, Tom",QB,TBB,1,2022-09-01,2022-09-08,2023-01-02,17,0007,Sex Manther,ROSTER,66000,1,Veteran,CL 1,CL 1| TCV 66K| AAV 66K| Y1-66K,0,0,0,0,0,,1,0,0,26000,0,0,0,1,66000,66000,{},0,0,1,66000,0,66000,66000,106000,0,2023-01-02,0,tcv_div_cl,0,,2021,23,0012,Hawks,ROSTER,20000,1,Veteran,CL 3| TCV 60K,3,60000,20000,{},0,0,tcv_div_cl,40000,1,0,1,1,fa_auction,2022-07-31,AUCTION:FreeAgent,fa_auction | last_drop=2022-02-23 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,66000,2022-07-31,2,2022-02-23,Hawks,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-03-11 14:13:31
2023,QB,5848,"Brady, Tom",QB,TBB,1,2023-09-01,2023-09-07,2023-12-31,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2023-12-31,0,,0,,2022,23,0009,C-Town Chivalry,ROSTER,66000,1,Veteran,CL 1,1,66000,66000,{},0,0,tcv_div_cl,0,1,0,1,0,dropped_then_waiver_readd,2023-08-10,BBID_WAIVER,dropped_then_waiver_readd | last_add=2023-08-10 BBID_WAIVER | last_drop=2023-02-19 FREE_AGENT,0,0,0,0,,0,1,0.0,0,0,0,0,0,0,,0,,1,2023-02-19,C-Town Chivalry,FREE_AGENT,FREE_AGENT,1,2023-08-10,Real Deal Creel,BBID,BBID_WAIVER,1000,0,,,0,current,2026-03-11 14:13:37
2018,QB,4925,"Brees, Drew",QB,NOS,1,2018-09-01,2018-09-06,2018-12-24,16,0002,The Bash Bros,ROSTER,13000,2,BL,"[13K, 23K] AAV (18)","CL 2| TCV 36K| AAV 13K/23K| Y1-13K, Y2-23K",0,0,0,0,0,,2,0,1,36000,0,0,0,2,36000,18000,"{""Y1"":13000,""Y2"":23000}",0,0,1,13000,0,13000,13000,13000,23000,2018-12-24,0,tcv_div_cl,0,,2017,16,0004,Pure Greatness,ROSTER,30000,1,RESTRUCTURED,"Ext. RB '17 [30K, 30K] Avg. 25/35",1,60000,60000,"{""Y1"":30000,""Y2"":30000}",0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2018-08-06,AUCTION:FreeAgent,fa_auction | last_drop=2018-03-11 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,18000,2018-08-06,1,2018-03-11,Pure Greatness,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,legacy,2026-03-11 14:13:10
2021,QB,4925,"Brees, Drew",QB,NOS,1,2021-09-01,2021-09-09,2022-01-03,17,,,,0,0,,,,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2022-01-03,0,,0,,2020,22,0001,Ulterior Warrior,ROSTER,24000,1,Veteran GF,Ext CMC '20,1,24000,24000,{},0,0,tcv_div_cl,0,1,0,1,0,dropped_off_roster,,,dropped_off_roster | last_drop=2021-06-01 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2021-06-01,Ulterior Warrior,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,legacy,2026-03-11 14:13:26
2018,QB,11640,"Bridgewater, Teddy",QB,MIN,1,2018-09-01,2018-09-06,2018-12-24,16,,,,0,0,,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2018-12-24,0,,0,,2017,16,0001,Ulterior Warrior,ROSTER,5000,3,FRONT LOAD,"[5K, 3K, 1K]",3,9000,3000,"{""Y1"":5000,""Y2"":3000,""Y3"":1000}",0,0,tcv_div_cl,0,1,1,0,0,dropped_off_roster,,,dropped_off_roster | last_drop=2018-07-30 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2018-07-30,Blake Bombers,FREE_AGENT,FREE_AGENT,0,,,,,0,2,2018-05-28,trade2018_13,0,legacy,2026-03-11 14:13:10
