season,league_id,league_name,base_url,salary_cap_amount,uses_salaries,uses_contract_year,roster_size,taxi_squad,injured_reserve,start_week,end_week,last_regular_season_week,max_keepers,min_keepers,h2h,starters_count,idp_starters_count,divisions_count,conferences_count,history_json
2010,60671,UPS WCBDFY Salary Cap League,https://www45.myfantasyleague.com,210,1,0,17,0,1,1,16,16,0,0,Doubleheaders,9,,2,,"{""league"":{""url"":""https://www45.myfantasyleague.com/2010/home/60671"",""year"":""2010""}}"
2011,40832,UPS Dynasty Cap,https://www46.myfantasyleague.com,300000,1,1,23,0,15,1,16,13,23,0,Doubleheaders,14,5,4,2,"{""league"":[{""url"":""https://www46.myfantasyleague.com/2011/home/40832"",""year"":""2011""},{""year"":""2010"",""url"":""https://www45.myfantasyleague.com/2010/home/60671""},{""url"":""http://www55.myfantasyleague.com/2012/home/37227"",""year"":""2012""}]}"
2012,37227,UPS Dynasty Cap,https://www45.myfantasyleague.com,300000,1,1,31,5,15,1,16,13,23,0,YES,14,5,4,2,"{""league"":[{""year"":""2012"",""url"":""https://www45.myfantasyleague.com/2012/home/37227""},{""year"":""2010"",""url"":""https://www45.myfantasyleague.com/2010/home/60671""},{""url"":""https://www46.myfantasyleague.com/2011/home/40832"",""year"":""2011""}]}"
2013,42721,UPS Dynasty Cap,https://www46.myfantasyleague.com,300000,1,1,26,5,15,1,16,13,23,0,Doubleheaders,14,5,4,2,"{""league"":[{""year"":""2013"",""url"":""https://www46.myfantasyleague.com/2013/home/42721""},{""year"":""2010"",""url"":""https://www45.myfantasyleague.com/2010/home/60671""},{""year"":""2011"",""url"":""https://www46.myfantasyleague.com/2011/home/40832""},{""year"":""2012"",""url"":""https://www45.myfantasyleague.com/2012/home/37227""}]}"
2014,30590,UPS Salary Cap Dynasty,https://www45.myfantasyleague.com,300000,1,1,26,9,15,1,16,13,23,0,Doubleheaders,14,5,4,2,"{""league"":[{""url"":""https://www45.myfantasyleague.com/2014/home/30590"",""year"":""2014""},{""year"":""2010"",""url"":""https://www45.myfantasyleague.com/2010/home/60671""},{""url"":""https://www46.myfantasyleague.com/2011/home/40832"",""year"":""2011""},{""year"":""2012"",""url"":""https://www45.myfantasyleague.com/2012/home/37227""},{""url"":""https://www46.myfantasyleague.com/2013/home/42721"",""year"":""2013""},{""year"":""2015"",""url"":""http://www64.myfantasyleague.com/2015/home/29015""}]}"
2015,29015,UPS Salary Cap Dynasty,https://www44.myfantasyleague.com,300000,1,1,26,9,15,1,16,13,23,0,Doubleheaders,15,5,4,2,"{""league"":[{""year"":""2015"",""url"":""https://www44.myfantasyleague.com/2015/home/29015""},{""url"":""https://www45.myfantasyleague.com/2010/home/60671"",""year"":""2010""},{""year"":""2011"",""url"":""https://www46.myfantasyleague.com/2011/home/40832""},{""url"":""https://www45.myfantasyleague.com/2012/home/37227"",""year"":""2012""},{""year"":""2013"",""url"":""https://www46.myfantasyleague.com/2013/home/42721""},{""url"":""https://www45.myfantasyleague.com/2014/home/30590"",""year"":""2014""}]}"
2016,27191,UPS Salary Cap Dynasty,https://www48.myfantasyleague.com,300000,1,1,26,9,15,1,16,13,23,0,Doubleheaders,15,5,4,2,"{""league"":[{""year"":""2016"",""url"":""https://www48.myfantasyleague.com/2016/home/27191""},{""url"":""https://www45.myfantasyleague.com/2010/home/60671"",""year"":""2010""},{""year"":""2011"",""url"":""https://www46.myfantasyleague.com/2011/home/40832""},{""url"":""https://www45.myfantasyleague.com/2012/home/37227"",""year"":""2012""},{""year"":""2013"",""url"":""https://www46.myfantasyleague.com/2013/home/42721""},{""year"":""2014"",""url"":""https://www45.myfantasyleague.com/2014/home/30590""},{""year"":""2015"",""url"":""https://www44.myfantasyleague.com/2015/home/29015""},{""url"":""http://www68.myfantasyleague.com/2017/home/74598"",""year"":""2017""}]}"
2017,74598,UPS Salary Cap Dynasty,https://www48.myfantasyleague.com,300000,1,1,26,9,15,1,16,13,23,0,Doubleheaders,15,5,4,,"{""league"":[{""url"":""https://www48.myfantasyleague.com/2017/home/74598"",""year"":""2017""},{""url"":""https://www45.myfantasyleague.com/2010/home/60671"",""year"":""2010""},{""year"":""2011"",""url"":""https://www46.myfantasyleague.com/2011/home/40832""},{""url"":""https://www45.myfantasyleague.com/2012/home/37227"",""year"":""2012""},{""year"":""2013"",""url"":""https://www46.myfantasyleague.com/2013/home/42721""},{""year"":""2014"",""url"":""https://www45.myfantasyleague.com/2014/home/30590""},{""url"":""https://www44.myfantasyleague.com/2015/home/29015"",""year"":""2015""},{""url"":""https://www48.myfantasyleague.com/2016/home/27191"",""year"":""2016""},{""year"":""2018"",""url"":""http://www68.myfantasyleague.com/2018/home/74598""}]}"
2018,74598,UPS Salary Cap Dynasty,https://www48.myfantasyleague.com,300000,1,1,30,10,15,1,16,13,23,0,Doubleheaders,17,7,4,,"{""league"":[{""year"":""2018"",""url"":""https://www48.myfantasyleague.com/2018/home/74598""},{""url"":""https://www45.myfantasyleague.com/2010/home/60671"",""year"":""2010""},{""url"":""https://www46.myfantasyleague.com/2011/home/40832"",""year"":""2011""},{""url"":""https://www45.myfantasyleague.com/2012/home/37227"",""year"":""2012""},{""url"":""https://www46.myfantasyleague.com/2013/home/42721"",""year"":""2013""},{""year"":""2014"",""url"":""https://www45.myfantasyleague.com/2014/home/30590""},{""url"":""https://www44.myfantasyleague.com/2015/home/29015"",""year"":""2015""},{""url"":""https://www48.myfantasyleague.com/2016/home/27191"",""year"":""2016""},{""url"":""https://www48.myfantasyleague.com/2017/home/74598"",""year"":""2017""},{""year"":""2019"",""url"":""http://www68.myfantasyleague.com/2019/home/74598""}]}"
2019,74598,UPS Salary Cap Dynasty,https://www48.myfantasyleague.com,300000.49,1,1,30,10,15,1,16,13,23,0,Doubleheaders,17,7,4,,"{""league"":[{""url"":""https://www48.myfantasyleague.com/2019/home/74598"",""year"":""2019""},{""year"":""2010"",""url"":""https://www45.myfantasyleague.com/2010/home/60671""},{""url"":""https://www46.myfantasyleague.com/2011/home/40832"",""year"":""2011""},{""url"":""https://www45.myfantasyleague.com/2012/home/37227"",""year"":""2012""},{""year"":""2013"",""url"":""https://www46.myfantasyleague.com/2013/home/42721""},{""year"":""2014"",""url"":""https://www45.myfantasyleague.com/2014/home/30590""},{""url"":""https://www44.myfantasyleague.com/2015/home/29015"",""year"":""2015""},{""url"":""https://www48.myfantasyleague.com/2016/home/27191"",""year"":""2016""},{""year"":""2017"",""url"":""https://www48.myfantasyleague.com/2017/home/74598""},{""year"":""2018"",""url"":""https://www48.myfantasyleague.com/2018/home/74598""},{""year"":""2020"",""url"":""https://www68.myfantasyleague.com/2020/home/74598""}]}"
