season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2022,QB,13589,"Allen, Josh",QB,BUF,1,2022-09-01,2022-09-08,2023-01-02,17,0012,Hawks,ROSTER,8000,3,Veteran,CL 3| TCV 48K| AAV 8K/28K| Y1-8 Y2-28 Y3-28,"CL 3| TCV 64K| AAV 8K/28K| Y1-8K, Y2-28K, Y3-28K| Inferred Extension",1,0,0,0,0,,3,0,0,56000,0,0,0,3,48000,8000,"{""Y1"":8000,""Y2"":28000,""Y3"":28000}",2,20000,1,8000,0,8000,8000,16000,48000,2023-01-02,0,aav_token_1,1,contract_info_inconsistent,2021,23,0001,Ulterior Warrior,ROSTER,8000,2,Veteran,CL 3| TCV 24K,3,24000,8000,{},0,0,tcv_div_cl,8000,1,1,0,1,extension_inferred,2022-05-03,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2022-05-03,trade2022_8,0,current,2026-02-06 02:31:02
2019,QB,4925,"Brees, Drew",QB,NOS,1,2019-09-01,2019-09-05,2019-12-23,16,0005,Run CMC,ROSTER,23000,2,BL GF,"Ext CMC '20 [13K, 23K, 24K] AAV 18K/24K Underpay 5K","CL 2| TCV 56K| AAV 23K/33K| Y1-23K, Y2-33K| Inferred Extension",1,0,0,0,0,,2,1,1,56000,0,0,0,2,60000,18000,"{""Y1"":13000,""Y2"":23000,""Y3"":24000}",1,10000,1,23000,0,23000,23000,23000,33000,2019-12-23,0,aav_token_1,1,contract_info_inconsistent,2018,16,0011,Cleon Ca$h,ROSTER,13000,2,BL,"[13K, 23K] AAV (18)",2,36000,18000,"{""Y1"":13000,""Y2"":23000}",0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2019-03-13,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2019-03-13,trade2019_10,0,legacy,2026-02-06 02:30:52
2023,QB,14777,"Burrow, Joe",QB,CIN,1,2023-09-01,2023-09-07,2023-12-31,17,0001,Ulterior Warrior,ROSTER,15000,2,BL,"CL 2| TCV 50K| AAV 25K| Y1-15K, Y2-35K| No Further Extension Allowed","CL 2| TCV 50K| AAV 15K/35K| Y1-15K, Y2-35K| Inferred Extension",1,0,0,0,0,,2,0,0,40000,0,0,0,2,50000,25000,"{""Y1"":15000,""Y2"":35000}",2,20000,1,15000,0,15000,15000,25000,25000,2023-12-31,0,aav_token_1,0,,2022,23,0001,Ulterior Warrior,ROSTER,5000,1,Rookie,CL 3| TCV 15K,3,15000,5000,{},0,0,tcv_div_cl,10000,1,0,1,1,extension_inferred,2023-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-02-06 02:31:06
2024,QB,11644,"Carr, Derek",QB,NOS,1,2024-09-01,2024-09-05,2024-12-30,17,0007,Sex Manther,ROSTER,5000,2,Veteran,CL 2|,"CL 2| TCV 20K| AAV 5K/15K| Y1-5K, Y2-15K| Inferred Extension",1,0,0,0,1,multi_year_after_drop|add=2024-09-05|drop=2024-08-31,2,0,0,0,0,0,0,2,10000,5000,{},1,10000,1,5000,0,5000,5000,53000,0,2024-12-30,0,tcv_div_cl,1,mid_year_multi|contract_info_inconsistent,2023,23,0001,Ulterior Warrior,ROSTER,38000,2,FL,CL 3| TCV 114K| AAV 38K| Y1-48 Y2-38 Y3-28,3,114000,38000,"{""Y1"":48000,""Y2"":38000,""Y3"":28000}",0,0,aav_token_1,48000,1,1,0,1,extension_inferred,2024-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver | last_drop=2024-08-31 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2024-08-31,Ulterior Warrior,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-02-06 02:31:09
2024,QB,15238,"Fields, Justin",QB,PIT,1,2024-09-01,2024-09-05,2024-12-30,17,0004,Pure Greatness,ROSTER,25000,2,Veteran,CL 2| TCV 50K| Ext: PG,"CL 2| TCV 70K| AAV 25K/45K| Y1-25K, Y2-45K| Inferred Extension",1,0,0,0,0,,2,0,0,60000,0,0,0,2,50000,25000,{},2,20000,1,25000,0,25000,25000,35000,35000,2024-12-30,0,tcv_div_cl,1,extension_inferred_but_contract_info_has_ext|contract_info_inconsistent,2023,23,0004,Pure Greatness,ROSTER,5000,1,Rookie,CL 3| TCV 15K,3,15000,5000,{},0,0,tcv_div_cl,10000,1,0,1,1,extension_inferred,2024-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-02-06 02:31:09
2019,QB,12611,"Goff, Jared",QB,LAR,1,2019-09-01,2019-09-05,2019-12-23,16,0001,Ulterior Warrior,ROSTER,11000,1,Veteran GF,Ext. UW '19,CL 1| TCV 11K| AAV 11K| Y1-11K| Inferred Extension,1,0,0,0,0,,1,1,1,11000,0,0,0,1,11000,11000,{},1,10000,1,11000,0,11000,11000,11000,0,2019-12-23,0,tcv_div_cl,0,,2018,16,0001,Ulterior Warrior,ROSTER,5000,1,Rookie,,1,5000,5000,{},0,0,tcv_div_cl,0,1,0,1,1,extension_inferred,2019-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-02-06 02:30:52
2023,QB,12611,"Goff, Jared",QB,DET,1,2023-09-01,2023-09-07,2023-12-31,17,0002,CBP,ROSTER,29000,3,BL,"CL 3| TCV 85K| AAV 15K, 35K|Y1-29K, Y2-12K, Y3-44K| Ext: Sex","CL 3| TCV 127K| AAV 29K/49K| Y1-29K, Y2-49K, Y3-49K| Inferred Extension",1,0,0,0,0,,3,0,0,127000,0,0,0,3,85000,15000,"{""Y1"":29000,""Y2"":12000,""Y3"":44000}",2,20000,1,29000,0,29000,29000,29000,98000,2023-12-31,0,aav_token_1,1,extension_inferred_but_contract_info_has_ext|contract_info_inconsistent,2022,23,0010,Blake Bombers,ROSTER,15000,2,Veteran,CL 2| TCV 30K| AAV 15K,2,30000,15000,{},0,0,aav_token_1,0,1,1,0,1,extension_inferred,2023-08-09,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,4,2023-08-09,trade2023_70,0,current,2026-02-06 02:31:06
2023,QB,14779,"Herbert, Justin",QB,LAC,1,2023-09-01,2023-09-07,2023-12-31,17,0006,The Main Event Mafia,ROSTER,22000,2,Veteran,CL 2| TCV 44K| AAV 22K| No Further Extension Allowed,"CL 2| TCV 64K| AAV 22K/42K| Y1-22K, Y2-42K| Inferred Extension",1,0,0,0,0,,2,0,0,60000,0,0,0,2,44000,22000,{},2,20000,1,22000,0,22000,22000,26000,38000,2023-12-31,0,aav_token_1,1,contract_info_inconsistent,2022,23,0006,Good in Da Hood,ROSTER,2000,1,Rookie,CL 3| TCV 6K,3,6000,2000,{},0,0,tcv_div_cl,4000,1,0,1,1,extension_inferred,2023-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,4,2023-04-22,trade2023_17,0,current,2026-02-06 02:31:06
2023,QB,14783,"Hurts, Jalen",QB,PHI,1,2023-09-01,2023-09-07,2023-12-31,17,0003,Gride,ROSTER,22000,2,Veteran,CL 2| TCV 44K| AAV 22K|Ext: Gride,"CL 2| TCV 64K| AAV 22K/42K| Y1-22K, Y2-42K| Inferred Extension",1,0,0,0,0,,2,0,0,60000,0,0,0,2,44000,22000,{},2,20000,1,22000,0,22000,22000,26000,38000,2023-12-31,0,aav_token_1,1,extension_inferred_but_contract_info_has_ext|contract_info_inconsistent,2022,23,0003,Gride,ROSTER,2000,1,Rookie,CL 3| TCV 6K,3,6000,2000,{},0,0,tcv_div_cl,4000,1,0,1,1,extension_inferred,2023-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-02-06 02:31:06
2024,QB,14783,"Hurts, Jalen",QB,PHI,1,2024-09-01,2024-09-05,2024-12-30,17,0005,HammerTime 🔨 ⏰,ROSTER,22000,3,Veteran,"CL 3| TCV 106K| AAV 22K/42K| Y1-22K, Y2-42K, Y3-42K| Ext: Gride, Hammer","CL 3| TCV 106K| AAV 22K/42K| Y1-22K, Y2-42K, Y3-42K| Inferred Extension",1,0,0,0,0,,3,0,0,106000,0,0,0,3,106000,22000,"{""Y1"":22000,""Y2"":42000,""Y3"":42000}",2,20000,1,22000,0,22000,22000,22000,84000,2024-12-30,0,aav_token_1,1,extension_inferred_but_contract_info_has_ext,2023,23,0005,HammerTime 🔨 ⏰,ROSTER,22000,2,Veteran,CL 2| TCV 44K| AAV 22K|Ext: Gride,2,44000,22000,{},1,0,aav_token_1,0,1,1,0,1,extension_inferred,2024-03-01,ROLLOVER_BASELINE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-02-06 02:31:09
