position,season,prior_season,player_id,player_name,franchise_id,prior_team_name,team_name,prior_status,cur_status,prior_salary,cur_salary,salary_jump_x,prior_cy,cur_cy,extension_flag,restructure_flag,mym_flag,contract_info,inferred_extension_term,inferred_extension_rate,reasons
QB,2018,2017,10313,"Dalton, Andy",0004,Good in Da Hood,Pure Greatness,STANDARD,Veteran,16000,1000,0.06,1,3,0,0,0,,0,0,contract_year_reset_no_flag
QB,2020,2019,10697,"Tannehill, Ryan",0010,Ulterior Warrior,Blake Bombers,WW,Veteran,6000,2000,0.33,1,3,0,0,0,TCV 6K,0,0,contract_year_reset_no_flag
QB,2022,2021,10697,"Tannehill, Ryan",0012,Gride,Hawks,Veteran,Veteran,2000,16000,8.0,2,1,0,0,0,CL 1,0,0,salary_jump_no_flag
QB,2018,2017,10700,"Cousins, Kirk",0005,C'mon Son,C'mon Son,STANDARD,Tagged,14000,28000,2.0,1,1,0,0,0,T-Tag Son '18,0,0,salary_jump_no_flag
QB,2020,2019,10700,"Cousins, Kirk",0004,Good in Da Hood,Pure Greatness,Veteran,Veteran,6000,4000,0.67,1,3,0,0,0,TCV 12K,0,0,contract_year_reset_no_flag
QB,2022,2021,10700,"Cousins, Kirk",0003,Blake Bombers,Gride,Veteran,FL,4000,47000,11.75,2,3,0,0,0,CL 3| TCV 111K| AAV 37K| Y1-47 Y2-37 Y3-27,0,0,salary_jump_no_flag
QB,2024,2023,10700,"Cousins, Kirk",0006,Gride,The Long Haulers,FL,FL,13000,51000,3.92,2,1,0,0,0,CL 2| TCV 64K| AAV 37K |Y1-13 Y2-51,0,0,salary_jump_no_flag
QB,2021,2020,10703,"Wilson, Russell",0008,C-Town Chivalry,#BLM,FL,FL,10000,64000,6.4,1,3,0,0,0,"CL 3| TCV 84K| AAV 28K| (64,10,10)",0,0,salary_jump_no_flag;contract_year_reset_no_flag
QB,2023,2022,11150,"Smith, Geno",0001,Ulterior Warrior,Ulterior Warrior,Veteran,Veteran,5000,15000,3.0,2,1,0,0,0,CL 2| TCV 20K| AAV 5K|  Y1-5 Y2-15| Ext: UW,0,0,salary_jump_no_flag
QB,2025,2024,11150,"Smith, Geno",0005,Ulterior Warrior,HammerTime 🔨 ⏰,Tag,BL,17000,9000,0.53,1,3,0,0,0,"CL 3| TCV 45K| AAV 15K| Y1-9K, Y2-1K, Y3-35K",0,0,contract_year_reset_no_flag
QB,2020,2019,11760,"Garoppolo, Jimmy",0011,Cleon Ca$h,Cleon Ca$h,FL GF,FL,4000,4000,1.0,1,3,0,0,0,"TCV 6K [4K, 1K, 1K] AAV 2K",0,0,contract_year_reset_no_flag
QB,2022,2021,11760,"Garoppolo, Jimmy",0008,Cleon Ca$h,#BLM,FL,Veteran,1000,5000,5.0,2,3,0,0,0,CL 3| TCV 15K| AAV 5K,0,0,salary_jump_no_flag
QB,2020,2019,12140,"Winston, Jameis",0012,Blake Bombers,Hawks,Veteran GF,WW,1000,8000,8.0,2,1,0,0,0,,0,0,salary_jump_no_flag
QB,2022,2021,12140,"Winston, Jameis",0005,Blake Bombers,Run CMC,Veteran,FL,2000,33000,16.5,2,3,0,0,0,CL 3| TCV 36K| AAV 12K| Y1-33 Y2-1 Y3-2,0,0,salary_jump_no_flag
QB,2022,2021,12476,"Heinicke, Taylor",0009,Good in Da Hood,C-Town Chivalry,WW,WW,2000,18000,9.0,1,1,0,0,0,CL 1,0,0,salary_jump_no_flag
QB,2020,2019,12610,"Wentz, Carson",0009,Cleon Ca$h,C-Town Chivalry,Veteran GF,Veteran,8000,5000,0.62,1,3,0,0,0,TCV 15K,0,0,contract_year_reset_no_flag
QB,2020,2019,12611,"Goff, Jared",0008,Ulterior Warrior,#BLM,Veteran GF,Veteran,11000,1000,0.09,1,3,0,0,0,TCV 3K,0,0,contract_year_reset_no_flag
QB,2022,2021,12611,"Goff, Jared",0010,#BLM,Blake Bombers,Veteran,Veteran,1000,15000,15.0,2,2,0,0,0,CL 2| TCV 30K| AAV 15K,0,0,salary_jump_no_flag
QB,2018,2017,12620,"Prescott, Dak",0010,Gordon Is The New Blackmon,Blake Bombers,ROOKIE,Veteran,2000,4000,2.0,2,1,0,0,0,,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
QB,2019,2018,12620,"Prescott, Dak",0007,Pure Greatness,Sex Manther,Veteran,Veteran,4000,9000,2.25,1,1,0,0,0,,0,0,salary_jump_no_flag
QB,2020,2019,12620,"Prescott, Dak",0001,Sex Manther,Ulterior Warrior,Veteran,Transition,9000,15000,1.67,1,1,0,0,0,Tag Manther '20,0,0,salary_jump_no_flag
QB,2021,2020,12620,"Prescott, Dak",0005,Ulterior Warrior,Run CMC,Transition,Veteran,15000,45000,3.0,1,3,0,0,0,CL 3| TCV 135K| AAV 45K,0,0,salary_jump_no_flag;contract_year_reset_no_flag
QB,2020,2019,13113,"Watson, Deshaun",0008,#BLM,#BLM,Rookie/Veteran GF,Veteran GF,2000,14000,7.0,3,2,0,0,0,Ext. Rico '20/'21,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
QB,2024,2023,13113,"Watson, Deshaun",0006,The Main Event Mafia,The Long Haulers,FL,Veteran,16000,44000,2.75,2,1,0,0,0,CL 2| TCV 60K |AAV 44K| Y1-16 Y2-44| No Further Extension Allowed,0,0,salary_jump_no_flag
QB,2025,2024,13113,"Watson, Deshaun",0008,The Long Haulers,Real Deal Creel,Veteran,Veteran,44000,1000,0.02,1,3,0,0,0,CL 3| TCV 3K| AAV 1K,0,0,contract_year_reset_no_flag
QB,2020,2019,13116,"Mahomes, Patrick",0007,Sex Manther,Sex Manther,Rookie/Veteran GF,Veteran GF,2000,14000,7.0,3,2,0,0,0,"Ext. Mather '20/'21 [2K,14K, 14K]",0,0,rookie_to_vet_no_flag;salary_jump_no_flag
QB,2024,2023,13116,"Mahomes, Patrick",0007,Sex Manther,Sex Manther,FL,BL,2000,40000,20.0,3,2,0,0,0,"CL 2| TCV 108K| AAV 54K| Y1-40K,| Y2-68K| No Further Extension Allowed",0,0,salary_jump_no_flag
QB,2025,2024,13116,"Mahomes, Patrick",0012,Hawks,Hawks,BL,BL,40000,68000,1.7,2,1,0,0,0,"CL 2| TCV 108K| AAV 54K| Y1-40K,| Y2-68K| No Further Extension Allowed",0,0,salary_jump_no_flag
QB,2019,2018,13589,"Allen, Josh",0006,Cleon Ca$h,Good in Da Hood,Veteran,Veteran GF,2000,10000,5.0,1,1,0,0,0,,0,0,salary_jump_no_flag
QB,2020,2019,13589,"Allen, Josh",0002,C-Town Chivalry,The Bash Bros,Veteran GF,Veteran,10000,8000,0.8,1,3,0,0,0,TCV 24K,0,0,contract_year_reset_no_flag
QB,2023,2022,13589,"Allen, Josh",0012,Hawks,Hawks,Veteran,Veteran,8000,28000,3.5,3,2,0,0,0,CL 3| TCV 48K| AAV 28K| Y1-8 Y2-28 Y3-28| No Further Extension Allowed,0,0,salary_jump_no_flag
QB,2025,2024,13589,"Allen, Josh",0009,C-Town Chivalry,C-Town Chivalry,Veteran,Tag,28000,46000,1.64,1,1,0,0,0,No Further Extension Allowed,0,0,salary_jump_no_flag
QB,2022,2021,13590,"Mayfield, Baker",0009,Cleon Ca$h,C-Town Chivalry,Veteran,WW,14000,40000,2.86,2,1,0,0,0,CL 1,0,0,salary_jump_no_flag
QB,2024,2023,13590,"Mayfield, Baker",0010,Blake Bombers,Blake Bombers,Veteran,Veteran,5000,15000,3.0,2,1,0,0,0,CL 2| TCV 20K| AAV 15K|Y1-5 Y2-15|Ext: Blake,0,0,salary_jump_no_flag
QB,2025,2024,13590,"Mayfield, Baker",0004,Blake Bombers,Pure Greatness,Veteran,FL,15000,36000,2.4,1,2,0,0,0,"CL 2| TCV 62K| AAV 31K| Y1-36, Y2-26,",0,0,salary_jump_no_flag
QB,2025,2024,13592,"Darnold, Sam",0003,Cleon Ca$h,Gride,Veteran,Veteran,7000,18000,2.57,1,2,0,0,0,CL 2| TCV 36K| AAV 18K,0,0,salary_jump_no_flag
QB,2023,2022,13593,"Jackson, Lamar",0008,#BLM,Real Deal Creel,Veteran,Veteran,17000,37000,2.18,3,2,0,0,0,CL 3| TCV 91K| AAV 37K| Y1-17 Y2-37 Y3-37| No Further Extension Allowed,0,0,salary_jump_no_flag
QB,2022,2021,14056,"Murray, Kyler",0004,Pure Greatness,Pure Greatness,Rookie/Veteran,Veteran,5000,25000,5.0,3,2,0,0,0,CL 3| TCV 55K| AAV 25K| Y1-5 Y2-25 Y3-25,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
QB,2024,2023,14056,"Murray, Kyler",0008,Real Deal Creel,Real Deal Creel,Veteran,BL,23000,39000,1.7,3,2,0,0,0,CL 2| TCV 92K| AAV 45K |Y1-39 Y2-53| No Further Extension Allowed,0,0,salary_jump_no_flag
QB,2022,2021,14059,"Jones, Daniel",0010,Pure Greatness,Blake Bombers,Veteran,FL,1000,31000,31.0,3,2,0,0,0,CL 2| TCV 32K| AAV 16K| Y1-31 Y2-1,0,0,salary_jump_no_flag
QB,2023,2022,14063,"Stidham, Jarrett",0007,The Bash Bros,Sex Manther,WW,WW,1000,38000,38.0,1,1,0,0,0,,0,0,salary_jump_no_flag
QB,2024,2023,14777,"Burrow, Joe",0001,Ulterior Warrior,Ulterior Warrior,BL,BL,15000,35000,2.33,2,1,0,0,0,"CL 2| TCV 50K| AAV 25K| Y1-15K, Y2-35K| No Further Extension Allowed",0,0,salary_jump_no_flag
QB,2022,2021,14778,"Tagovailoa, Tua",0002,Cleon Ca$h,The Bash Bros,Rookie,FL,5000,40000,8.0,2,3,0,0,0,CL 3| TCV 87K| AAV 29K| Y1-40 Y2-29 Y3-18,0,0,salary_jump_no_flag
QB,2025,2024,14779,"Herbert, Justin",0011,HammerTime 🔨 ⏰,Cleon Ca$h,Veteran,FL,22000,61000,2.77,1,3,0,0,0,"CL 3| TCV 153K| AAV 51K| Y1-61, Y2-51, Y3-41",0,0,salary_jump_no_flag;contract_year_reset_no_flag
QB,2025,2024,14782,"Love, Jordan",0002,CBP,CBP,Veteran,Veteran,1000,21000,21.0,3,2,0,0,0,"CL 3| TCV 43K| AAV 21K| Y1-1, Y2-21, Y3-21| Ext: PG",0,0,salary_jump_no_flag
QB,2024,2023,15241,"Jones, Mac",0007,Sex Manther,Sex Manther,Veteran,WW,1000,4000,4.0,2,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
QB,2025,2024,15694,"Willis, Malik",0007,C-Town Chivalry,Sex Manther,Rookie,WW,2000,37000,18.5,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
QB,2025,2024,15698,"Purdy, Brock",0010,CBP,Blake Bombers,Veteran,FL,26000,40000,1.54,1,3,0,0,0,"CL 3| TCV 84K| AAV 28K| Y1-40K, Y2-22K, Y3-22K|",0,0,salary_jump_no_flag;contract_year_reset_no_flag
QB,2024,2023,16159,"O'Connell, Aidan",0009,C-Town Chivalry,C-Town Chivalry,Rookie,WW,1000,25000,25.0,3,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
QB,2017,2016,4925,"Brees, Drew",0004,,Pure Greatness,,RESTRUCTURED,0,30000,,0,1,0,1,0,"Ext. RB '17 [30K, 30K] Avg. 25/35",0,0,restructure_only
QB,2017,2016,5848,"Brady, Tom",0012,,White Power,,RESTRUCTURED,0,31000,,0,2,0,1,0,"Ext WP '17 & '18 [31K, 31K, 32K] Avg. 22/42/42",0,0,restructure_only
QB,2018,2017,5848,"Brady, Tom",0012,White Power,White Power,RESTRUCTURED,Veteran,31000,32000,1.03,2,1,0,1,0,"Restructured Ext WP '17 & '18 [31K, 31K, 32K] (AAV 42K)",0,0,restructure_only
QB,2019,2018,5848,"Brady, Tom",0012,White Power,Hawks,Veteran,Veteran,32000,20000,0.62,1,3,0,0,0,TCV 60K,0,0,contract_year_reset_no_flag
QB,2022,2021,5848,"Brady, Tom",0007,Hawks,Sex Manther,Veteran,Veteran,20000,66000,3.3,1,1,0,0,0,CL 1,0,0,salary_jump_no_flag
QB,2018,2017,7394,"Rivers, Philip",0008,Good in Da Hood,Gordon Is The New Blackmon,STANDARD,BL,6000,4000,0.67,1,3,0,0,0,"[4,8,12] (AAV 8K)",0,0,contract_year_reset_no_flag
QB,2019,2018,7394,"Rivers, Philip",0002,Gordon Is The New Blackmon,The Bash Bros,BL,BL GF,4000,8000,2.0,3,2,0,0,0,"[8K,12K] AAV 8K Underpay 4K",0,0,salary_jump_no_flag
QB,2020,2019,7394,"Rivers, Philip",0002,The Bash Bros,The Bash Bros,BL GF,BL GF,8000,12000,1.5,2,1,0,0,0,AAV 8K Underpay 4K,0,0,salary_jump_no_flag
QB,2017,2016,7813,"Smith, Alex",0001,,Ulterior Warrior,,RESTRUCTURE,0,7000,,0,2,0,1,0,"Ext UW '18 [7K, 1K]",0,0,restructure_only
QB,2021,2020,7836,"Rodgers, Aaron",0011,Blake Bombers,Cleon Ca$h,Veteran,FL,18000,60000,3.33,1,2,0,0,0,"CL 2| TCV 78K| AAV 39K| (60,18)",0,0,salary_jump_no_flag
QB,2023,2022,7836,"Rodgers, Aaron",0011,Cleon Ca$h,Cleon Ca$h,FL,Veteran,18000,9000,0.5,1,3,0,0,0,CL 3| TCV 27K| AAV 9K,0,0,contract_year_reset_no_flag
QB,2025,2024,9064,"Flacco, Joe",0007,Cleon Ca$h,Sex Manther,WW,Veteran,2000,6000,3.0,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
QB,2017,2016,9099,"Ryan, Matt",0001,,Ulterior Warrior,,RESTRUCTURED,0,12000,,0,1,0,1,0,"Ext UW '17 [22K, 12K]",0,0,restructure_only
QB,2019,2018,9099,"Ryan, Matt",0002,Good in Da Hood,The Bash Bros,Veteran,Veteran,12000,10000,0.83,1,3,0,0,0,TCV 30K,0,0,contract_year_reset_no_flag
QB,2022,2021,9099,"Ryan, Matt",0002,Hawks,The Bash Bros,Veteran,Veteran,10000,28000,2.8,1,1,0,0,0,CL 1,0,0,salary_jump_no_flag
QB,2023,2022,9431,"Stafford, Matthew",0012,Hawks,Hawks,FL,FL,14000,26000,1.86,3,2,0,0,0,CL 3| TCV 67K| AAV 22K| Y1-14 Y2-26 Y3-27| No Further Extension Allowed,0,0,salary_jump_no_flag
